Check this.	Sjáðu þetta.
Sure, why not?	Því ekki það?
Hey.	Sæll.
Hey.	Sæl.
So, this is the place, huh?	Svo þetta er staðurinn?
As good as it gets?	Sá allra besti?
I mean, it's a little busy tonight.	Það eru margir í kvöld.
You're Papale, right?	Ert þú ekki Papale?
I don't care what anybody says.	Mér er sama hvað hver segir.
You're doing a great job.	Þú ert að gera góða hluti.
Thank you.	Takk.
Keep sticking it to those guys.	Haltu áfram að standa í þeim.
All right?	Allt í lagi?
All right.	Allt í lagi.
Sorry about that.	Afsakaðu þetta.
I guess you're still on the team, huh?	Þú ert sem sé enn í liðinu?
Yeah, well, there's a lot more cuts to go, but...	Já, sko, það eru enn margir niðurskurðir eftir, en...
I was just thinking, you know.	Ég var bara að hugsa.
I didn't think I was gonna make it past the first week of all this, and now that I have, I mean...	Ég hélt ég myndi ekki endast fyrstu vikuna í þessu, og nú þegar það hefur tekist...
Did you think this was a date or something?	Hélstu að þetta væri stefnumót?
Vince, I'm the last one that wants to start something right now.	Vince, ég er sú síðasta sem vil stofna til sambands núna.
Barely a month ago, I was with the wrong guy, you were married.	Fyrir tæpum mánuði var ég með röngum manni og þú giftur.
We're not exactly the perfect match.	Við erum ekki beinlínis fullkomið par.
I didn't mean for it to sound like that.	Þetta átti ekki að hljóma svona.
That's not what I meant.	Ég meinti það ekki.
No, you know, Max thought it was gonna be busy at his place tonight, too, so I'm gonna go over there and see if I can help him out.	Nei, Max hélt að það yrði mikið að gera á barnum, svo ég ætla að fara þangað og sjá hvort ég get hjálpað.
No, we'll do this another night.	Nei, við gerum þetta seinna.
I'll tell everyone you said hi.	Ég skila kveðju frá þér.
Denny Franks, right?	Denny Franks, ekki satt?
Vermeil's trying to mix things up.	Vermeil reynir að breyta til.
He's putting rooks with veterans, veterans with rooks.	Hann setur nýliða hjá reyndum, reynda hjá nýliðum.
Crazy.	Rugl.
So, are you like everyone else around here?	Ert þú eins og allir aðrir hérna?
You mean, do I hate you?	Áttu við að ég þoli þig ekki?
I'm a centre.	Ég er sóknarlínumaður.
I hate everybody.	Ég þoli engan.
Yeah, well, your weak-side block, it's not good enough.	Þú verð veiku hliðina ekki nógu vel.
Says who?	Segir hver?
I heard some coaches talking...	Ég heyrði í þjálfurum...
What colour are my knuckles?	Hvernig eru hnúarnir á litinn?
What?	Ha?
What colour are my knuckles?	Hvernig eru hnúarnir á litinn?
They're white.	Hvítir.
They're white.	Hvítir.
You see, white 'cause my weight's forward.	Af því að þunginn er frammi.
Means I'm coming after you.	Það þýðir að ég ætla í þig.
If I'm laying back, the colour comes back.	Ef þunginn er aftur, kemur litur í þá aftur.
Tired of watching you get hammered every day.	Ég er orðinn þreyttur á að sjá þig alltaf liggjandi.
I appreciate that.	Ég met það mikils.
Is there anything else I should know?	Er eitthvað meira sem ég ætti að vita?
Yeah, lose the Giants shirt hanging in my closet.	Já, losaðu þig við Giants-bolinn sem hangir í skápnum mínum.
You want a job? You want a job?	Viljið þið halda vinnunni?
Let's go.	Áfram.
Let's go.	Af stað.
Go, next group.	Áfram, næsti hópur.
Set.	Viðbúnir.
Move it, move it, move it.	Áfram, áfram, áfram.
All the way.	Alla leið!
Touch the line!	Snertið línuna!
Come on, gentlemen.	Svona, herrar mínir.
Let's act like you wanna be here!	Látið eins og ykkur langi að vera hér!
First group again.	Aftur fyrsti hópur.
All right, let's go.	Allt í lagi, af stað.
Let's go.	Af stað.
Set.	Viðbúnir.
You heard him, first group.	Þið heyrðuð í honum, fyrsti hópur.
Right.	Einmitt.
All the way, all the way.	Alla leið, alla leið.
Do it again.	Aftur.
We're still looking for the last five players, right, A.C.?	Erum við ekki enn að leita þeirra fimm síðustu?
I know.	Jú.
But do we need to kill the first 40 to find the last five?	En þurfum við að drepa þá 40 fyrstu til að finna þá?
Fred!	Fred!
Nutcracker, other side of the field!	Æfum hnetubrjótinn hinum megin á vellinum!
Get in there.	Komið hingað.
Come on, rook.	SIGURINN ER FUGLANNA Svona, nýliði.
Put it on him, 57.	Láttu hann hafa það, 57.
Come on, boy.	Svona, strákur.
Feel it. Come on.	Skynjaðu það.
Out of nowhere...	Upp úr engu...
You gotta feel it, Papale.	Þú þarft að skynja það, Papale.
What are you doing?	Hvað ertu að gera?
That's not quick enough, German.	Þú ert of hægur, German.
Come on.	Svona.
Run it again.	Aftur.
Now.	Núna.
Let's go.	Áfram.
Rook came to play today, man.	Nýliðinn ætlar að standa sig.
German, he's about to dial your number.	German, hann ætlar að ná númerinu þínu.
Pastahead Papale!	Papale pastahaus!
Hey, German.	German.
Go, German!	Áfram, German!
Go!	Áfram!
Get him, get him.	Náðu honum, náðu honum.
Hey, 57, I don't know.	Ég veit ekki, 57.
He's got your number, baby.	Hann hefur númerið þitt.
Get up!	Á fætur!
Let's go.	Af stað.
It ain't over. It ain't over.	Þessu er ekki lokið.
It ain't over.	Þessu er ekki lokið.
Come on.	Svona.
Come on!	Áfram!
Come on!	Áfram!
Set.	Viðbúnir.
Take that rookie down.	Láttu nýliðann hafa það.
You showed him, German.	Þú kenndir honum, German.
Let's move them downstairs.	Færum þá neðar á völlinn.
All right, gentlemen.	Jæja, herrar mínir.
Lower field.	Neðar á völlinn.
Yeah.	Já.
Let's move.	Af stað.
All right, Vince.	Allt í lagi, Vince.
It's all right.	Allt í lagi.
A less-than-perfect start for new head coach Dick Vermeil, the Eagles losing their preseason opener today to San Diego, 20-7.	Ekki glæsileg byrjun hjá nýja aðalþjálfaranum, Dick Vermeil, er Eagles töpuðu fyrsta leik undirbúningstímabilsins fyrir San Diego, 20-7.
Still with the team, for one more week, at least, South Philly's own favourite son, Vince Papale.	Hann er enn með liðinu, allavega í viku, uppáhald heimamanna, Vince Papale.
To Vinnie.	Skál fyrir Vinnie.
Cheers, brother.	Skál, bróðir.
New week, same story.	Ný vika, sama sagan.
The Eagles, losers of their opener a week ago, dropped their second straight game today, a 14-7 decision to the Steelers.	Eagles, sem töpuðu opnunarleiknum fyrir viku, töpuðu öðrum leik sínum í röð í dag, 14-7 fyrir Steelers.
Well, let's just hope this isn't the beginning of a long season, folks.	Við skulum vona að þetta sé ekki byrjunin á löngu leiktímabili.
If Dick Vermeil was hoping for a honeymoon, he'll have to win a game first, Miami handing the Eagles their third straight preseason loss today, 24 16.	Ef Vermeil vonaðist eftir hveitibrauðsdögum þarf hann fyrst að vinna leik. Í dag færði Miami Eagles þriðja tapleikinn í röð, 24 16.
With final cuts only days away, South Philly's Vince Papale saw a noticeable drop in playing time as the Eagles lose to Cleveland tonight, 21 17, bringing their preseason record to 0 and 6.	Nú er lokaniðurskurðurinn eftir nokkra daga og Vince Papale, úr suðurbænum, lék minna með en áður, nú þegar Eagles töpuðu fyrir Cleveland, 21 17, og þeir hafa því tapað sex undirbúningsleikjum og unnið engan.
What brings you back to the old neighbourhood?	Hvað dregur þig hingað í gamla hverfið þitt?
Don't you guys have kind of a curfew out there?	Eruð þið ekki með útgöngubann?
How you doing, Pop?	Hvað er að frétta, pápi?
You know.	Þetta venjulega.
That was a hell of a time to borrow money from you, Pop, with the strike and all.	Þetta var slæmur tími til að fá lánað hjá þér, út af verkfallinu og því öllu.
I talked to Maxie.	Ég talaði við Maxie.
I'm gonna get my hours back.	Ég fæ vaktirnar mínar aftur.
They let you go?	Létu þeir þig fara?
No, not yet.	Nei, ekki enn.
They will, though, tomorrow.	Þeir gera það samt, á morgun.
Roger Staubach, Ed Jones, Randy White.	Roger Staubach, Ed Jones, Randy White.
They need a football player.	Þeir þurfa fótboltamann.
They don't need me.	Þeir þurfa mig ekki.
Look, Vince...	Sjáðu til, Vince...
Look, it was gonna happen sooner rather than later, Pop, right?	Þetta hlaut að gerast fyrr en seinna, pápi.
I'm just tired of letting everybody down.	Ég er þreyttur á að bregðast öllum.
You know, Sharon, the school.	Þú veist, Sharon, skólanum.
And everything that's going on with you and Tommy and everybody.	Og allt sem er í gangi hjá þér og Tommy og öllum.
I mean, that's what's gonna make tomorrow hard.	Það á eftir að gera morgundaginn erfiðan.
You know how I used to tell you about Van Buren scoring that touchdown back in' 48?	Manstu að ég var vanur að segja þér frá snertimarki sem Van Buren skoraði ' 48?
Yeah, I know.	Já, ég man.
I know.	Ég veit.
That touchdown got me through 30 years at that factory.	Þetta snertimark kom mér gegnum 30 ára verksmiðjuvinnu.
Got me through all those times your mother being sick.	Kom mér gegnum öll veikindi móður þinnar.
When I told you not to get your hopes up, didn't mean that I wasn't.	Þegar ég sagði þér að gera þér engar vonir, þá gerði ég mér samt vonir.
Okay?	Allt í lagi?
Okay, so we got one receiver slot open.	Jæja, það er laus ein staða grípara.
It's either Sampson or Papale.	Það er annað hvort Sampson eða Papale.
Let's just go around the table.	Förum hring um borðið.
Sampson.	Sampson.
But it's closer than I thought it would be.	En það er naumara en ég bjóst við.
Your job's hard enough, Dick.	Starf þitt er nógu erfitt, Dick.
Go with a guy like Papale next year, once you've established yourself.	Veldu mann eins og Papale á næsta ári þegar þú nýtur stuðnings.
You've got Mr Tose, the media, everyone breathing down your neck.	Menn eins og hr. Tose, fjölmiðlar, og allir eru að pressa á þig.
A good share of the veterans don't even like him.	Og mörgum reyndu leikmannanna er illa við hann.
He's got heart.	Hann spilar með hjartanu.
People don't want heart, Dick.	Fólki er sama um það, Dick.
They want wins.	Það vill sigra.
Knock, knock.	Bank, bank.
Hey.	Halló.
Remember us?	Manstu eftir okkur?
Yes.	Já.
I needed this.	Ég þurfti þetta.
Hey, Dad, can I try on the helmets? Yes.	Pabbi, má ég máta hjálmana?
They're right over there.	Já, þeir eru þarna.
Put them back where you found them, though, all right?	Settu þá samt aftur á sama stað.
Right.	Flott.
They wanted to bring you dinner.	Þeir vildu færa þér kvöldmat.
Wow!	Vá!
I guess we're a little late.	Mér sýnist að við séum of sein.
No, I want it.	Nei, ég vil hann.
No, I want it.	Nei, ég.
No, this is great.	Nei, þetta er flott.
This is great.	Þetta er flott.
You look exhausted.	Þú virðist útkeyrður.
Well, thank you.	Takk fyrir.
What's going on?	Hvað er að gerast?
No, we're just...	Nei, við erum bara...
We're thinking about letting go of Papale."	Við erum að hugsa um að láta Papale fara."
We "?	Við "?
Isn't that your decision?	Er ekki þitt að ákveða það?
This time it's a little different.	Það er öðruvísi núna.
But you said he was somebody you could build a team around.	Þú sagðir að hann væri maður sem þú gætir byggt liðið í kringum.
And that's not the problem here.	Og það er ekkert vandamál hér.
He's got plenty of character.	Skapgerð hans er góð.
Who said I was talking about him?	Hver segir að ég hafi meint hann?
Papale, coach wants to see you.	Papale, þjálfarinn vill hitta þig.
Hey.	Heyriði.
About time he's out of here.	Kominn tími til að hann færi.
Yeah.	Já.
Got ourselves a roster.	Við erum komnir með lið.
Hear that?	Heyrið þið það?
Good times, baby.	Nú verður gaman.
Hey, coach.	Sæll, þjálfi.
Hey, Vince.	Sæll, Vince.
Close the door.	Lokaðu dyrunum.
We haven't had much of a chance to talk, have we?	Við höfum ekki haft tækifæri til að spjalla.
Not really.	Nei, eiginlega ekki.
How you holding up?	Hvernig líður þér?
Well, couple bumps here and there, nothing bad.	Smá árekstrar öðru hvoru, ekkert slæmt.
So, how you doing, coach?	Hvernig líður þér, þjálfi?
Everything about it's a little...	Þetta er allt...
A little faster, little harder.	Hraðara og erfiðara.
I'm sure you can relate.	Þú hlýtur að skilja það.
Just wanna thank you for sticking with me for this long, coach.	Ég vil bara þakka þér fyrir að halda mér svona lengi, þjálfi.
Why don't you hang on to that for a few more months?	Viltu ekki halda þessu í nokkra mánuði í viðbót?
Welcome to the Eagles.	Velkominn í Eagles-liðið.
When's the last time you've gone two days without you needing a jump?	Hvenær gastu síðast ekið í tvo daga án þess að þurfa start?
Sorry.	Fyrirgefðu.
I tried Pete.	Ég prófaði Pete.
Are you kidding me?	Ertu að grínast?
His car's worse than yours.	Hans bíll er verri en þinn.
You 'd both be stuck here.	Þið sætuð báðir fastir hérna.
Your cable's good.	Kapallinn virkar.
Looks like you got a charge.	Batteríið virðist hlaðið.
Hey, buddy, you sure this thing won't start?	Ertu viss um að hann starti ekki, félagi?
You kidding me?	Ertu að grínast í mér?
You kidding with me right now?	Þú ert að grínast í mér núna.
Nope.	Nei.
You're a freaking Eagle, aren't you?	Þú ert kominn í Eagles-liðið, ekki satt?
You're a freaking Philadelphia Eagle!	Þú ert kominn í liðið!
I wanted you to know first.	Ég vildi segja þér það fyrst.
This is huge.	Þetta er rosalegt.
This is bigger than when Tony Pantalano came back from Nam with the Bronze Star.	Merkilegra en þegar Tony Pantalano kom frá Víetnam með bronsstjörnu.
Give me the keys.	Fáðu mér lyklana.
Let's go to Max's.	Förum á Max-barinn.
You're buying.	Þú blæðir.
I'm good now.	Ég hef það fínt núna.
Philadelphia Eagles!	Philadelphia Eagles!
Yo, get in here!	Komdu hingað inn!
He's at the 40.	Hann er á 40 stikum.
He's at the 30.	Hann er á 30 stikum.
Yo, look who it is. Yo!	Sjáið hver þetta er.
He's at the 20.	Á 20 stikum.
He's at the 20.	Á 20 stikum.
Number 83, Vince Papale of the Philadelphia Eagles!	Númer 83, Vince Papale hjá Philadelphia Eagles!
My bartender, right here.	Þetta er barþjónninn minn.
Congratulations.	Til hamingju.
I was gonna call you this week.	Ég ætlaði að hringja í þig í vikunni.
E-A-G-L-E-S, Eagles!	E-A-G-L-E-S, Eagles!
Yo!	Hey!
You!	Þú!
Harold Carmichael, Bill Bergey.	Harold Carmichael, Bill Bergey.
You're gonna be playing with these guys.	Þú spilar með þessum mönnum.
That's right.	Það er rétt.
You did it.	Þér tókst það.
Your seats are gonna be so much better than ours this year.	Þú færð mun betri sæti en við þetta árið.
Yeah, don't go giving mine away, all right?	Já, ekki gefa mitt sæti samt.
I know where you're sitting.	Ég veit hvar þú situr.
Hey, Pop.	Sæll, pápi.
Come here.	Komdu hingað.
Stevie Van Buren's got nothing on you.	Stevie Van Buren hefur ekkert í þig.
Thanks, Pop.	Takk, pápi.
Maxie, line'em up.	Maxie, komdu með drykki.
It's my turn to buy.	Kominn tími á mig að bjóða.
From the Eagle's dad?	Frá pabba kappans?
From the Eagle.	Frá kappanum.
Thanks, Maxie.	Takk, Maxie.
Tonight was great.	Kvöldið var frábært.
Forget it.	Gleymdu því.
There is something important I wanna talk to you about, though.	Ég þarf samt að ræða við þig mikilvægt mál.
I've decided you can pay me back anytime you want.	Ég hef ákveðið að þú mátt endurgreiða mér hvenær sem er.
First cheque.	Þegar ég fæ fyrstu útborgun.
I'm proud of you, Vince.	Ég er stoltur af þér, Vince.
Thanks.	Takk.
Let me ask you a question, Maxie.	Má ég spyrja þig að einu, Maxie?
About Johnny.	Um Johnny.
He's scared, that's all.	Hann er bara hræddur.
Put yourself in his place.	Settu þig í hans spor.
I don't even know what's going on, you know, in his mind.	Ég veit ekki einu sinni hvað hann er að hugsa.
I mean, he's been doing nothing but riding me the past few weeks.	Hann er búinn að skjóta á mig síðustu vikur.
Yeah, I know.	Já, ég veit.
He thinks you're gonna leave.	Hann heldur að þú farir.
This is the worst time in his life right now.	Þetta er versti tími lífs hans.
He's got no job.	Hann er atvinnulaus.
He's got no family.	Fjölskyldulaus.
He's just got us.	Hann á bara okkur að.
You're one of us.	Þú ert einn af okkur.
You know how it works in South Philly.	Þú veist hvernig þetta er í suðurbænum.
Our strength has always been in our numbers.	Styrkur okkar hefur alltaf legið í fjöldanum.
Must have been something I ate.	Hlýtur að vera eitthvað sem ég borðaði.
Oh, yeah.	Ó, já.
Room service.	Herbergisþjónustan.
Definitely.	Örugglega.
Cowboy fans...	Cowboy-stuðningsmenn...
Blue skies, 81 degrees, a great day for the season opener.	Heiður himinn, 27 stiga hiti, frábær dagur fyrir opnunarleikinn.
There he is.	Þarna er hann.
No one's expecting miracles today, but all eyes will be on coach Dick Vermeil's team as they take on the defending NFC champions.	Enginn b ýst við kraftaverkum en athygli allra verður á liði Dicks Vermeil þar sem það tekur á móti NFC-meisturum síðasta árs.
And now the crowd welcomes Tom Landry, NFC Coach of the Year.	Og nú tekur mannfjöldinn vel á móti Tom Landry, þjálfara ársins í NFC.
Come on, guys.	Svona, strákar.
Philadelphia calls it.	Philadelphia velur.
Heads.	Framhlið.
Philadelphia calls heads.	Philadelphia velur framhliðina.
Tails.	Afturhlið.
We want the ball.	Við viljum boltann.
Dallas will receive.	Dallas fær boltann.
All right, kick team.	Jæja, sparklið.
Bring it in here.	Komið hingað.
Come on, come on.	Komið.
Attack on three.	Berjast á þremur.
One, two, three.	Einn, tveir, þrír.
Attack!	Berjast!
Let's go win!	Förum og sigrum!
Watch your outsides!	Passið útjaðarinn!
Watch your lanes.	Passið ykkar varnarlínu.
Watch your lanes.	Passið ykkar varnarlínu.
Go, Vinnie.	Áfram, Vinnie.
All right, here we go.	Allt í lagi, nú byrjar það.
There he is.	Þarna er hann.
And the first game of the regular season is underway.	Og opnunarleikur tímabilsins er hafinn.
Let's go, defence!	Áfram, vörn!
Rookie Vince Papale had an absolute bead on the runner, but he froze like a deer in the headlights.	Vince Papale var með beina stefnu á hlauparann en hann fraus eins og skelfingu lostinn.
Oh, man, that wasn't good.	Æi, þetta var ekki gott.
All right, let's go, guys.	Allt í lagi, áfram strákar.
Let's go.	Áfram.
Sorry, coach.	Mér þykir þetta leitt.
You're sorry?	Er það?
I stuck my neck out for you.	Ég tók áhættu með að velja þig.
You start playing football or you're gone.	Byrjaðu að spila fótbolta eða þú ferð.
Losers!	Aumingjar!
What happened, coach?	Hvað gerðist, þjálfari?
We missed the wedge.	Misstum af fleygnum.
He froze.	Hann fraus.
He got outside us.	Hann fór framhjá okkur.
Blue 17.	Blár 17.
Set.	Viðbúnir.
We lose all six of our preseason games, now this.	Við töpum öllum sex undirbúningsleikjunum og nú þetta.
0 and 7.	0 sigrar og 7 tapleikir.
It's not exactly the direction I was hoping for.	Ekki beint það sem ég vonaðist eftir.
It'll get better.	Þetta skánar.
Come on.	Komdu.
Could be another long season, Eagle fans.	Gæti orðið annað langt tímabil, Eagles-menn.
Hey.	Sæll.
What are you doing here?	Hvað ertu að gera hér?
I was just walking around.	Ég var bara á röltinu.
I needed to tell you something.	Ég varð að segja þér svolítið.
You know that night at Colombo's, I...	Kvöldið á Colombo' s, ég...
You don't need to explain.	Þú þarft ekki að útskýra.
I know, but please.	Ég veit, en leyfðu mér það.
It wasn't that I was just thinking about that one thing.	Ég var ekki bara að einbeita mér að fótboltanum.
I was just scared because I knew the way I could feel about you, and it was just too soon.	Ég var hræddur því að ég vissi að ég gæti fallið fyrir þér og það var of snemmt.
At least for me.	Allavega fyrir mig.
I don't know what's gonna happen with all this.	Ég veit ekki hvernig boltinn á eftir að gagna.
Even if I never got to see you again, you go off, you get married, you have five kids, I just wanted to let you know how I felt.	Þótt ég sjái þig aldrei framar, þótt þú farir, giftir þig og eignist 5 börn þá vildi ég láta þig vita hvernig mér liði.
I can't, Vince.	Ég get þetta ekki, Vince.
Well, maybe I'll see you at work?	Við sjáumst kannski í vinnunni.
If he falls off, Mike, you stick your foot in the ground and you get rid of the ball fast.	Sé hann valdaður, tekurðu þér stöðu, Mike, og losar þig strax við boltann.
You hesitated last week.	Þú hikaðir í síðustu viku.
We can't afford it.	Það má ekki.
Charlie will be right here.	Charlie verður hérna.
Take the short man if the long man's not there.	Sendið á innherja ef útherjinn er valdaður.
We can't hesitate, guys.	Við megum ekki hika.
Let's take what the defence gives us and let's move the chains.	Metum varnarleik þeirra og sækjum á þá.
Hustle, hustle, Jared.	Vertu snöggur, Jared.
Wait up!	Bíðið!
Go, go, go.	TANKER-BARINN Áfram, áfram, áfram.
Bring it on!	Láttu það koma!
Go, go.	Áfram, áfram.
Take your boy back.	Bakkaðu.
Take your boy back.	Bakkaðu.
What?	Hvað?
What's up with that?	Hví dæmdir þú ekki?
Huh?	Ha?
Mick.	Mick.
Was that, like, a late hit?	Tæklaði hann of seint?
Time-out, Mick!	Hlé, Mick!
All right, come on, let's go.	Allt í lagi, komið, af stað.
Everybody over to the side.	Farið allir hinum megin.
Oh, dear.	Ja hérna.
You come to watch us get dragged through the mud?	Komstu til að horfa á okkur skíttapa?
No, I was just driving around.	Nei, ég er bara að rúnta um.
You know, Vince, I don't know how much longer the Eagles are gonna need you, but your friends could use a little help.	Veistu, Vince, ég veit ekki hvað Eagles-liðið þarfnast þín mikið lengur en vinir þínir gætu þegið smá hjálp.
I got a game this weekend.	Það er leikur um helgina, Johnny.
I can't, Johnny.	Ég get það ekki.
Come on now, guys.	Komiði, strákar.
Come on now.	Komiði nú.
Get in there.	Inn á völlinn.
Shake it off.	Hristið af ykkur slenið.
I'm not throwing you the ball at all.	Ég kasta boltanum ekki til þín.
It's my ball.	Ég á boltann.
Come on, we got this.	Svona, við tökum þetta.
Come on, come on.	Svona.
