BOOK I	FYRRI ÞÁTTUR
"Yes," returned Alcide Jolivet, "my cousin Madeleine. It is with her that I correspond, and she likes to be quickly and well informed, does my cousin. I therefore remarked to her that, during this fete, a sort of cloud had appeared to overshadow the sovereign's brow."	»Já, Madeleine frænku mína - ég skrifast á við hana, og hún gengur ríkt eftir að fá nýjungar fljótt og vel útilátnar, má ég segja þér .... þrátt fyrir allt fann ég mér skylt að segja henni, að mér virtist ský yfirskyggja svip keisarans, meðan á veizlunni stóð.«
"To me, it seemed radiant," replied Harry Blount, who perhaps, wished to conceal his real opinion on this topic.	»En mér virðist allt vera glóandi dýrð,« svaraði Blount, sem ef til vill vildi hylja skoðun sína fyrir Frakkanum.
"And, naturally, you made it â radiant,' in the columns of the Daily Telegraph."	»Og auðvitað gerðir þú þá svipinn allan dýralegan á dálkunum í »Daily Telegraph«.
"Exactly."	»Vitaskuld.«
"Do you remember, Mr. Blount, what occurred at Zakret in 1812?"	»Manstu, Mr. Blount, hvað gerðist að Zakret árið 1812?«
"I remember it as well as if I had been there, sir," replied the English correspondent.	»Já, eins og ef ég hefði verið þar sjálfur,« svaraði Blount.
"Then," continued Alcide Jolivet, "you know that, in the middle of a fete given in his honor, it was announced to the Emperor Alexander that Napoleon had just crossed the Niemen with the vanguard of the French army.	»Ja, þá veiztu líka,« sagði Jolivet, »að mitt í veizlunni, sem honum var haldin í heiðursskyni, var Alexander keisara kunngert, að Napoleon væri kominn yfir Niemen með brjóstfylking franska hersins.
Nevertheless the Emperor did not leave the fete, and notwithstanding the extreme gravity of intelligence which might cost him his empire, he did not allow himself to show more uneasiness."	Samt yfirgaf keisarinn ekki samsætið þrátt fyrir þá voðafregn, vitandi þó, að herferð sú gæti máske svift hann veldinu. Undir kringumstæðunum lét hann þó ekki meira á sér sjá - -.«
"Than our host exhibited when General Kissoff informed him that the telegraphic wires had just been cut between the frontier and the government of Irkutsk."	»En gjafari þessarar veizlu gerði,« tók Blount fram í, »þegar Kissoff hershöfðingi kunngerði honum að búið væri að höggva fréttaþráðinn milli Evrópu-landamæranna og Irkutsk.«
"Ah! you are aware of that?"	»Svo þú veizt þá um það?«
"Then you know also that orders have been sent to the troops of Nikolaevsk?"	»Svo þú veizt þá einnig um skipunina, sem send var hermönnunum í Nikalaevsk?«
"I do, sir; and at the same time a telegram was sent to the Cossacks of the government of Tobolsk to concentrate their forces."	»Já, kunnugt er mér það, og hitt líka, að samtímis var sent skeyti til Kósakkanna í Tobolsk-hérarðinu um að draga saman liðið.« »Öldungis rétt, Mr.
"Nothing can be more true, Mr. Blount; I was equally well acquainted with these measures, and you may be sure that my dear cousin shall know of them to-morrow."	Blount. Ég vissi líka um þessa ráðagerð og máttu vera viss um, að Madeleine frænka fréttir eitthvað um það á morgun.«
"Well, when one sees all that is going on...."	»Já, þegar maður sér allt, sem gerist ...«
"And when one hears all that is said...."	»Og heyrir allt, sem sagt er ...«
It was a cabinet with plain oak furniture, situated in an angle of the New Palace.	Það var herbergi ekki all-lítið í krika nokkrum í nýju höllinni og var í því óbrotinn og stásslaus húsbúnaður úr eik.
Several pictures, amongst others some by Horace Vernet, hung on the wall.	Þar héngu margar myndir á veggjunum og meðal þeirra nokkrar eftir Horace Vernet.
The officer hastily opened a window, as if he felt the want of air, and stepped out on a balcony to breathe the pure atmosphere of a lovely July night.	Riddaraforinginn gekk að glugga og opnaði hann í skyndi, eins og fyndist honum loftlaust inni í húsinu og gekk svo út á pall fyrir utan gluggann til að anda að sér hinu ferska miðsumarslofti.
Beneath his eyes, bathed in moonlight, lay a fortified inclosure, from which rose two cathedrals, three palaces, and an arsenal.	Umhverfis hann og fyrir neðan hann lá víggirt svæði í ljómandi tunglsskinsbaði, en innan girðingarinnar var að sjá þrjár hallir, hergagnabúr og tvær miklar dómkirkjur, sem hreyktu háum turnum upp í hið bláa hvolf.
CHAPTER II RUSSIANS AND TARTARS	II. Rússar og Tartarar.
and possesses two countries, now under the Muscovite dominion-that of the Kirghiz and that of the Tshouktshes.	Okhotsk og Kamtschatka, og tvö héruð enn, sem lúta Rússum: Kirghiz og Tshouktshes.
This immense extent of steppes, which includes more than one hundred and ten degrees from west to east, is a land to which criminals and political offenders are banished.	Á þetta ógna hásléttu-flæmi, sem nær yfir meir en hundrað mælistig frá austri til vesturs, eru fluttir sakamenn Rússa og þangað eru líka sendir sem útlagar allir pólitískir afbrotamenn.
An electric telegraph, with a single wire more than eight thousand versts in length, alone affords communication between the western and eastern frontiers of Siberia.	Einn einasti símþráður er strengdur austur í Síberíu frá Moskva, og er lengd hans yfir 8000 verst[Verst er rétt rúmur kílómetri (athugasemd 2014).
It was this wire, extending from Ekaterenburg to Nikolaevsk, which had been cut, first beyond Tomsk, and then between Tomsk and Kolyvan.	Það var þessi aðalþráður, sem högginn hafði verið, fyrst fyrir austan Tomsk og síðar vestar, milli Tomsk og Kalyvan.
This was why the Czar, to the communication made to him for the second time by General Kissoff, had answered by the words, "A courier this moment!"	Og þessi fregn var ástæðan til þess, að keisarinn svaraði henni ekki öðru en því að heimta sendiboða á augnablikinu.
The Czar remained motionless at the window for a few moments, when the door was again opened. The chief of police appeared on the threshold. "Enter, General," said the Czar briefly, "and tell me all you know of Ivan Ogareff."	Eftir að hafa um stund staðið hreyfingarlaus við gluggann, opnuðust dyrnar og lögreglustjóri borgarinnar staðnæmdist á þrepskildinum. »Komdu inn, hershöfðingi,« sagði þá keisarinn, »og seg mér alt, sem þér er kunnugt um Ivan Ogareff.«
"He is an extremely dangerous man, sire," replied the chief of police.	»Hann er skaðræðismaður, herra,« svaraði lögreglustjórinn.
"Was he an intelligent officer?"	»Var hann skörulegur stjórnari?«
"Very intelligent, but a man whose spirit it was impossible to subdue;	»Já, sérlega, en stórlyndari en svo, að hann yrði beygður.
and possessing an ambition which stopped at nothing, he became involved in secret intrigues, and was degraded from his rank by his Highness the Grand Duke, and exiled to Siberia."	Og svo metorðagjarn var hann, að hann sveifst einskis, og varð því innan skamms viðriðinn ýms samsæri. Það var þess vegna að stórhertoginn svifti hann stöðunni og gerði hann að útlaga í Síberíu.«
"How long ago was that?"	»Hvað er langt síðan?«
"Two years since.	»Tvö ár.
Pardoned after six months of exile by your majesty's favor, he returned to Russia."	Eftir 6 mánaða útlegð gafst þú, herra, honum upp sakir og kom hann þá aftur til Rússlands.«
"And since that time, has he not revisited Siberia?"	»Og hefir hann ekki farið til Síberíu síðan?«
"Yes, sire; but he voluntarily returned there," replied the chief of police, adding, and slightly lowering his voice, "there was a time, sire, when NONE returned from Siberia."	»Jú, herra, en það gerði hann ótilkvaddur,« svaraði lögreglustjórinn og bætti svo við í nokkuð lægri róm:
"Well, whilst I live, Siberia is and shall be a country whence men CAN return."	»Það var einu sinni, herra, að enginn kom aftur úr Síberíu!«
The Czar had the right to utter these words with some pride, for often, by his clemency, he had shown that Russian justice knew how to pardon.	»Já, en á meðan ég lifi, skal öllum mönnum mögulegt að koma aftur frá Síberíu.« Á þessi orð lagði keisarinn nokkra áherzlu, enda hafði hann ástæðu til þess, því með góðmennsku sinni hafði hann svo oft sýnt, að réttlætið í Rússlandi má tempra með miskunnsemi.
The head of the police did not reply to this observation, but it was evident that he did not approve of such half-measures.	Lögreglustjórinn svaraði þessu ekki, en það leyndi sér ekki, að honum þótti ekkert varið í slíka hálfvelgju.
According to his idea, a man who had once passed the Ural Mountains in charge of policemen, ought never again to cross them.	Það var hans skoðun, að enginn maður ætti afturkvæmt, sem einu sinni hafði fylgt lögregluþjóni austur yfir Uralfjöll.
Now, it was not thus under the new reign, and the chief of police sincerely deplored it.	En því var ekki þannig varið undir hinni nýju stjórn og það sveið lögreglustjóranum.
What! no banishment for life for other crimes than those against social order! What! political exiles returning from Tobolsk, from Yakutsk, from Irkutsk!	Honum leizt ekki á að sjá pólitíska útlaga koma frjálsa menn aftur austan frá Tobolsk, Yakutsk eða Irkutsk.
In truth, the chief of police, accustomed to the despotic sentences of the ukase which formerly never pardoned, could not understand this mode of governing.	Í einu orði: lögreglustjórinn, svo vanur sem hann var orðinn fyrri ára harðstjórn og þrælsböndum, gat ekki skilið í þessari nýtízku ráðsmennsku.
But he was silent, waiting until the Czar should interrogate him further. The questions were not long in coming.	En samt sagði hann ekkert, en beið þess, að keisarinn legði fram fleiri spurningar, og hann þurfti ekki lengi að bíða.
"Did not Ivan Ogareff," asked the Czar, "return to Russia a second time, after that journey through the Siberian provinces, the object of which remains unknown?"	»Kom ekki Ivan Ogareff til Rússlands í annað skifti eftir þessa ferð um Síberíu, sem enginn veit í hvaða tilgangi var gerð?«
"He did."	»Jú, herra.«
"And have the police lost trace of him since?"	»Og hefir lögreglan týnt förum hans síðan?«
"No, sire; for an offender only becomes really dangerous from the day he has received his pardon."	»Nei, herra. Því sakamaðurinn verður fyrst alvarlega skaðlegur eftir að hann hefir verið náðaður!«
The Czar frowned.	Keisarinn hleypti brúnum.
But the Czar, disdaining to reply to these indirect reproaches cast on his policy, continued his questions.	En hann taldi það næga afsökun, að ást sín á keisaranum væri að minnsta kosti eins mikil og þrályndi hans í þessu efni.
"In the province of Perm."	»Í héraðinu Perm.«
"In what town?"	»Í hvaða þorpi?«
"At Perm itself."	»Í Perm.«
"What was he doing?"	»Hvað var hann þá, að gera?«
"When did he leave Perm?"	»Hvenær fór hann úr Perm?«
and I will now tell you something which you are ignorant of.	Og svo skal ég segja þér nokkuð, sem þér er ókunnugt.
After leaving Perm, Ivan Ogareff crossed the Ural mountains, entered Siberia, and penetrated the Kirghiz steppes, and there endeavored, not without success, to foment rebellion amongst their nomadic population.	Ivan Ogareff fór austur yfir Uralfjöll frá Perm og suðaustur um Síberíu, allt upp á Kirghiz-hásléttuna. Á þessari ferð gerði hann tilraunir og ekki árangurslausar, að æsa hirðingjaflokkana til uppreistar.
He then went so far south as free Turkestan; there, in the provinces of Bokhara, Khokhand, and Koondooz, he found chiefs willing to pour their Tartar hordes into Siberia, and excite a general rising in Asiatic Russia.	Ferðinni hélt hann áfram allt suður í Turkestan og þar í héruðunum, Khokhand og Koondooz, hitti hann flokkshöfðingja, sem fúsir voru að senda flóð af Törturum norður um Síberíu í þeim tilgangi, að hleypa öllu í bál og brand.
The storm has been silently gathering, but it has at last burst like a thunderclap, and now all means of communication between Eastern and Western Siberia have been stopped.	Óveðursskýin hafa verið að dragast saman með hægð, en nú eru þau dunin á með þrumum og eldingum, og allar samgöngur milli Vestur-Síberíu og Rússlands eru bannaðar.
Moreover, Ivan Ogareff, thirsting for vengeance, aims at the life of my brother!"	Auk þessa situr Ivan Ogareff um líf bróður hins, í hefndarskyni.«
The Czar had become excited whilst speaking, and now paced up and down with hurried steps.	Á meðan hann talaði þannig, smá-æstist hann og stikaði stórum aftur og fram um herbergið.
The chief of police said nothing, but he thought to himself that, during the time when the emperors of Russia never pardoned an exile, schemes such as those of Ivan Ogareff could never have been realized.	Lögreglustjórinn sagði ekkert, en hugsaði sem svo, að fyrrum, meðan engir Síberíu-útlagar voru náðaðir, hefði verið ómögulegt að ráða og framkvæma það, sem Ogareff framkvæmdi nú.
Approaching the Czar, who had thrown himself into an armchair, he asked, "Your majesty has of course given orders so that this rebellion may be suppressed as soon as possible?"	Þannig liðu nokkur augnablik að ekkert var sagt, og á meðan hafði keisarinn kastað sér í hægindastól. Gekk þá lögreglustjórinn til hans og sagði spyrjandi, að hans hátign hefði auðvitað lagt drög fyrir að uppreist þessi yrði tafarlaust kæfð.
"Yes," answered the Czar. "The last telegram which reached Nijni-Udinsk would set in motion the troops in the governments of Yenisei, Irkutsk, Yakutsk, as well as those in the provinces of the Amoor and Lake Baikal.	»Já,« svaraði keisarinn, »seinasta skeytið sem vér gátum sent til Nijni-Udinsk, hefir sett í hreyfing alla herflokkana í umdæmunum Yanesse, Irkutsk og Yarutsk, sömuleiðis þá Amoor og Lake Baikal.
At the same time, the regiments from Perm and Nijni-Novgorod, and the Cossacks from the frontier, are advancing by forced marches towards the Ural Mountains;	Jafnframt eru herdeildir frá Perm og Nijni-Novgorod og Kósakkar á landmærunum á hraðri ferð áleiðis til Uralfjalla.
but some weeks must pass before they can attack the Tartars."	En því miður hljóta nokkrar vikur að líða áður en þeir komast í Tartara-héruðin.«
"But by the last dispatches, he must know what measures have been taken by your majesty, and what help he may expect from the governments nearest Irkutsk?"	»En seinustu skeytin hafa þó efalaust skýrt fyrir honum, hvað verið er að gera og á hvaða hjálp hann megi eiga von hjá héraðsstjórnunum næstu við Irkutsk.«
"He knows that," answered the Czar; "but what he does not know is, that Ivan Ogareff, as well as being a rebel, is also playing the part of a traitor, and that in him he has a personal and bitter enemy.	»Hann veit það allt saman, en hann veit ekki, að auk þess að vera uppreistarmaður, er Ivan Ogareff bæði svikari og heiftrækinn, persónulegur fjandmaður hans.
It is to the Grand Duke that Ogareff owes his first disgrace; and what is more serious is, that this man is not known to him.	Stórhertoginn er valdur að niðurlæging Ogareffs og það hörmulegasta er, að þó hann sjái þennan fjandmann sinn, þekkir hann hann ekki.
Ogareff's plan, therefore, is to go to Irkutsk, and, under an assumed name, offer his services to the Grand Duke.	Fyrirætlun Ogareffs er þess vegna sú, að halda til Irkutsk undir fölsuðu nafni og bjóða stórhertoganum þjónustu sína.
Then, after gaining his confidence, when the Tartars have invested Irkutsk, he will betray the town, and with it my brother, whose life he seeks.	Eftir að hafa þannig náð hylli hans, svíkur hann bæinn í hendur Tartara, þegar þeir koma og með honum bróðir minn, sem þannig er í sífeldum lífsháska.
This is what I have learned from my secret intelligence;	Þetta hefi ég allt frétt í prívat-bréfum og skeytum.
this is what the Grand Duke does not know; and this is what he must know!"	Þetta hefir stórhertoginn ekki hugmynd um, en þetta má hann til með að fregna.«
"Well, sire, an intelligent, courageous courier..."	»Já, herra, greindur og hugdjarfur sendiboði ...«
"I momentarily expect one."	»Ég á von á honum á hverri stundu.«
"There are other offenders besides political exiles in Siberia," said the chief of police.	»En það eru aðrir afbrotamenn í Síberíu en pólitískir útlagar,« sagði lögreglustjórinn.
"The criminals?	»Hvað, glæpamennirnir?
Oh, General, I give those up to you!	Jú, en ég eftirlæt þér þá, hershöfðingi!
They are the vilest, I grant, of the human race. They belong to no country.	Þeir eru úrhrak mannfélagsins, það gef ég eftir, og þeir eiga ekkert föðurland.
But the insurrection, or rather, the rebellion, is not to oppose the emperor;	En þessi uppreist er ekki gerð gegn keisaranum;
it is raised against Russia, against the country which the exiles have not lost all hope of again seeing-and which they will see again.	hún er hafin gegn Rússaveldi, veldinu sem hinir pólitísku útlagar vona að sjá aftur og sem þeir skulu fá að sjá aftur. Nei, nei.
No, a Russian would never unite with a Tartar, to weaken, were it only for an hour, the Muscovite power!"	Rússneskur maður gengur aldrei í bandalag með Törturum í því skyni að veikja, þó ekki væri nema eina klukkustund, afl stjórnarinnar í Moskva!«
The Czar was right in trusting to the patriotism of those whom his policy kept, for a time, at a distance.	Keisarinn gerði rétt þar sem hann treysti ættjarðarást þeirra, sem um stund voru útlagar af föðurlandinu.
Clemency, which was the foundation of his justice, when he could himself direct its effects, the modifications he had adopted with regard to applications for the formerly terrible ukases, warranted the belief that he was not mistaken.	Vægðin, sem hann hafði sýnt þegar hann gat því við komið og sem sýndi réttlætistilfinning hans, og tilslökunin í stjórnarskipununum, sem fyrrum voru svo hræðilegar - hvorttveggja þetta réttlætti þessa trú hans.
Of the different tribes some are independent and others recognize either the sovereignty of Russia or that of the Khans of Khiva, Khokhand, and Bokhara, the most formidable chiefs of Turkestan.	Sumir eru flokkar þessir mjög óháðir en aðrir telja sig skjólstæðinga Rússa eða Khananna í Kína, Khokhand og Bokhara, - en höfðingjar þeirra héraða eru hinir harðsnúnustu í Turkistan.
The middle horde, the richest, is also the largest, and its encampments occupy all the space between the rivers Sara Sou, Irtish, and the Upper Ishim, Lake Saisang and Lake Aksakal. The greater horde, occupying the countries situated to the east of the middle one, extends as far as the governments of Omsk and Tobolsk.	Miðlungsflokkurinn er mannflestur og ríkastur og bústaðir hans, eða »tjöld«, grípa yfir allt svæðið á milli ánna Sara Sou, Irtish og Efri-Ishim og á milli vatnanna Saisang og Aksakal. »Stóri«-flokkurinn byggir svæðið fyrir austan Miðlungs-flokkinn og nær allt að takmörkum héraðanna Omsk og Tobolsk.
Therefore, if the Kirghiz population should rise, it would be the rebellion of Asiatic Russia, and the first thing would be the separation of Siberia, to the east of the Yenisei.	Ef þess vegna Kirghizar snérust í lið með Törturum þýddi það almenna uppreist í Síberíu og aðskilnað hennar frá Rússlandi, vestur að Yeneseifljóti að minnsta kosti.
It is true that these Kirghiz, mere novices in the art of war, are rather nocturnal thieves and plunderers of caravans than regular soldiers.	Satt er það að vísu, að Kirghizar eru fákunnandi í hernaðiíþrótt og eru fremur þjófar og ræningjar á vegum lestamanna, en hermenn.
Now, except by the direct route from Ekaterenburg to Irkutsk, the often marshy steppes are not easily practicable, and some weeks must certainly pass before the Russian troops could reach the Tartar hordes.	En nú er vegurinn, nema um Ekaterenborg og Irkutsk, mýrkendur og blautur suður slétturnar, og þess vegna oft illfær. Þar af leiðir, að nokkrar vikur hlutu að líða áður en hermenn Rússa kæmust í skotfæri við Tartara-sæginn.
Omsk is the center of that military organization of Western Siberia which is intended to overawe the Kirghiz population.	Omsk er aðalherstöðin í Vestur-Síberíu, og á hermanna-aflinn í þeirri grend að ógna Kirghizum.
Here are the bounds, more than once infringed by the half-subdued nomads, and there was every reason to believe that Omsk was already in danger.	Þar eru takmörkin, sem hálf-unnir hirðingjaflokkar höfðu nokkrum sinnum yfirstigið, og nú var hætta á að Omsk væri í hættu.
