We both know it.	Við vitum það bæði.
Is it true you ordered Percy Wetmore off the block? It is.	Er það rétt að þú hafir vísað Percy Wetmore út úr álmunni? það er rétt.
Now, I'm sure you had reason, Paul but like it or not, the wife of the governor has only one nephew and his name is Percy Wetmore.	Ég er viss um að þú hafðir góða ástæðu fyrir þessu, Paul en því miður á kona fylkis - stjórans bara eitt systkinabarn og það vill svo til að það heitir Percy Wetmore.
Little Percy calls his aunt and squeals like a schoolroom sissy.	Percy litli hringir í frænku sína og klagar eins og skólastrákur.
He mention he assaulted a prisoner this morning out of sheer petulance?	Minntist hann á að hann hefði ráðist á fanga af tómri fýlu?
Broke three fingers on Eduard Delacroix's left hand.	Hann braut þrjá fingur á vinstri hönd Eduards Delacroix.
I didn't hear that.	Ég fékk ekki að heyra þann hluta.
I'm sure she didn't either.	Hún áreiðanlega ekki heldur.
He is mean, careless and stupid and that's a bad combination in a place like this.	Hann er grimmur og kærulaus og heimskur og það er slæm blanda á svona stað.
Sooner or later, he'll get somebody hurt or worse.	Hann á eftir að fara illa með einhvern.
Stick with it, Paul.	Haltu þetta út, Paul.
It may not be much longer.	Hann verður kannski ekki mikið lengur hjá þér.
I have it on good authority that Percy has an application in at Briar Ridge.	Mér skilst að Percy hafi sótt um vinnu á Briar Ridge.
Briar Ridge?	Briar Ridge?
Then why is he still here?	Af hverju er hann þá ennþá hérna?
He can get that application pushed through.	Hann gæti látið flytja sig þangað.
With his connections, he could have any state job he wants.	Með sín sambönd gæti hann fengið hvaða vinnu sem er.
You know what I think?	Veistu hvað ég held?
I think he just wants to see one cook up close.	Ég held að hann vilji sjá eina steikingu í návígi.
Well, he'll get his chance, then. Won't he? Maybe then he'll be satisfied and move on.	Nú, hann fær þá tækifæri til þess, ekki satt? þá verður hann kannski ánægður og fer annað.
In the meantime you'll keep the peace?	En þangað til ætlarðu að halda friðinn?
Of course.	Auðvitað.
Thank you, Paul.	Takk, Paul.
Worried about Melinda and Hal?	Hefurðu áhyggjur af Melindu og Hal?
Is that what's got you up?	Halda þær fyrir þér vöku?
Yeah, that and things.	Já, þær og fleira.
Things. We got a new inmate today.	Fleira. það kom nýr fangi í dag.
Simple-minded fella.	Treggáfaður maður.
Do I wanna know what he did?	Vil ég vita hvað hann gerði?
No. Things that happen in this world.	Nei. það sem gerist í þessum heimi.
It's a wonder God allows it.	Að Guð skuli leyfa því að gerast.
Why don't you come to bed?	Af hverju kemurðu ekki í rúmið?
No.	Nei.
Look again.	Lítið aftur.
He's right there.	Hann er þarna.
It ain't normal for a mouse to come up on people.	Músum er ekki eðlilegt að koma svona nálægt manneskjum.
Maybe it's rabid. Oh, my Christ.	Kannski er hún með hundaæði.
It could be.	Drottinn minn. - það gæti verið.
Oh, the big mouse expert.	Ert þú nú músasérfræðingur?
All right.	Allt í lagi.
Let's go get the damn mouse.	Náum í fjandans músina.
Boss.	Stjóri.
Saw me a mouse go by.	Ég sá mús hlaupa framhjá.
Can't put anything over on you.	Já, þú lætur nú ekki plata þig.
You let him get past you.	Hún komst framhjá þér.
No, I did not. I been here all the time.	Nei, ég er búinn að vera hérna allan tímann.
Then where the hell is he?	Hvar er hún þá?
Well, I don't know. Three grown men outsmarted by a mouse.	Ekki veit ég það. þrír fullorðnir menn láta mús hafa sig að fífli.
Bright side is, all this commotion probably scared him off for good.	En öll þessi læti hafa nú samt sennilega hrætt hana í burtu.
Yeah, that's the last we'll see of him.	Já, við sjáum greyið ekki oftar.
Well, I'll be damned. There he is, big as Billy-be-frigged.	Litla ófétið þitt. þarna er dýrið ljóslifandi komið.
I thought Brutal was pulling my leg. That's a goddamn mouse.	Ég hélt að Billy væri að grínast. þetta er músarfjandi.
Goddamn! You little scurvy!	Litla meindýrið þitt!
Percy, are you crazy, you little son of a bitch?!	Percy, ertu brjálaður?
I'm gonna kill you!	Ég skal drepa þig!
I'm gonna take you out!	Ég skal ganga af þér dauðri!
You little vermin!	Litla meindýr!
It's just a little mouse, dumb merde. You ugly little piece of sh...	Ég skal kremja úr þér líftóruna! þetta er bara lítil mús þú heimski merde.
Are you listening to me?	Heyrirðu í mér?
Fuck!	Andskotinn!
I'm gonna rip your diseased head off you little piece of shit!	Ég skal rífa af þér pestarhausinn litla skítaskepna!
Percy met your mouse.	Percy hitti músina ykkar.
It's in here somewhere.	Hún er þarna inni.
I'm gonna squish the little son of a bitch.	Ég ætla að kremja hana í klessu.
Percy, we already tried that.	Percy, við erum búnir að reyna þetta.
What 'd you say?	Hvað varstu að segja?
I said that we...	Ég sagði að við...
He ain't in there, huh?	Er dýrið ekki þarna?
Don't that beat the mousy band?	Detti mér allar dauðar mýs úr höfði.
You wanna think about what you were doing?	Viltu nú ekki aðeins hugsa um hvað þú ert að gera?
I was trying to get the mouse.	Ég var að reyna að ná músinni.
Are you blind? You also scared the living crap out of me and Bill not to mention the inmates.	Ertu blindur eða hvað? þér tókst líka að gera okkur Bill skíthrædda svo ekki sé minnst á fangana.
So what? They aren't in cradle school, case you didn't notice. Although you treat them that way.	Hvað með það? þetta er engin vöggudeild. þótt þið komið þannig fram við þá yfirleitt.
We don't scare them any more than we have to. They're under enough strain.	Við hræðum þá ekki meira en við þurfum, Percy. það er nóg álag á þeim samt.
Men under strain can snap.	Menn undir álagi geta brotnað saman.
Hurt themselves and hurt others. That's why our job is talking not yelling. You 'd do better to think of this place like an intensive care ward.	Meitt sjálfa sig og aðra. þess vegna temjum við okkur að tala ekki að öskra. þú ættir að líta á þennan stað sem gjörgæsludeild.
You'll be on the bread lines before the week is out.	Reyndu það. þú verður orðinn atvinnulaus innan viku.
You done?	Ertu búinn?
Get all this shit back in the room. You are cluttering up my Mile.	Settu draslið allt inn aftur, það er ekki hægt að ganga um míluna.
Arlen your daughter and her family are here.	Arlen dóttir þín er komin með fjölskylduna sína.
Let's move.	Snöggir.
I want at least two rehearsals before he gets back.	Ég vil helst ná tveimur æfingum áður en hann kemur aftur.
Sitting down, sitting down!	Sest niður, sest niður!
Rehearsing now!	Við erum að æfa!
Everybody settle!	Allir á sinn stað!
Arlen Bitterbuck, step forward.	Arlen Bitterbuck, stígðu fram.
Stepping forward, stepping forward, stepping forward.	Stíg fram, stíg fram, stíg fram.
Is his head properly shaved?	Er höfuð hans vel rakað?
It's all dandruffy, and it smells.	Nei, það er fullt af flösu og fýla af því.
I will take that as a yes.	Ég skil þetta sem "já".
Let's go, Arlen.	Komum, Arlen.
Walking the Mile, walking the Mile walking the Mile, walking the Mile, walking the Mile walking the Mile.	Geng míluna, geng míluna geng míluna, geng míluna geng míluna.
I'm getting to my knees.	Ég leggst á hné.
I'm praying, praying.	Biðst fyrir.
Lord is my shepherd and so forth and so on.	Drottinn er minn hirðir og svo framvegis og allt það.
I'm sorry for all the bad shit I've done and people I've tramped on.	Ég iðrast alls þess vonda sem ég gerði og að hafa meitt fólk.
And I hope they forgive me and I'll never do it again, that's for sure.	Og ég vona að þau fyrirgefi mér og lofa að gera þetta aldrei aftur og það stend ég við.
We're not gonna have some Cherokee medicine man in here hollering and shaking his dick.	Ekki kemur einhver Cherokee töfralæknir hingað til að öskra og hrista hann á sér, er það?
Actually...	Reyndar...
Still praying, still praying.	Bið enn og bið.
Getting right with Jesus.	Sættist við Jesús.
Do it quietly!	Gerðu það hljóðlega!
You old gink!	Gamli vitleysingur!
As I was saying I don't believe they actually shake their dicks.	Eins og ég var að segja þá held ég reyndar að þeir hristi hann ekki á sér, Harry.
Mr. Bitterbuck is a Christian, so Reverend Schuster's coming in.	Herra Bitterbuck er kristinn svo séra Schuster kemur til hans.
He's good.	Hann er góður.
He's fast too.	Og snöggur.
Getting to my feet!	Stend upp!
Walking the Mile walking the Mile, walking the Green Mile.	Geng míluna, geng míluna geng míluna, geng grænu míluna.
Walking the Mile.	Geng míluna.
Walking in the Mile.	Geng míluna.
Sitting down now.	Sest niður núna.
Sitting down.	Sest niður.
I'm taking a seat in Old Sparky.	Ég fæ mér sæti í Blossa gamla.
What do I do?	Hvað á ég að gera?
Watch and learn.	Fylgjast með og læra.
Arlen Bitterbuck you've been condemned to die by a jury sentence imposed by a judge in good standing in this state.	Arlen Bitterbuck þú hefur verið dæmdur til dauða af kviðdómi jafningja þinna og dómurinn upp kveðinn af virtum dómara í þessu fylki.
Anything to say before your sentence is carried out?	Viltu segja eitthvað áður en dómnum verður framfylgt?
I want fried chicken with gravy on the taters, and I want to shit in your hat.	Ég vil steiktan kjúkling og kartöflur og ég vil skíta í húfuna þína.
I don't like it. We'll be doing this for real.	Við gerum þetta í alvöru annað kvöld.
Why's he putting that sponge on his head?	Svarta hettan sett á. Af hverju setur hann svamp á höfuðið á honum?
Conducts electricity to the brain fast like a bullet. You don't ever throw the switch on a man without that. Hush up there, Toot.	Hann leiðir rafmagnið beint til heilans eins og byssuskot. það má aldrei hleypa straumi á nokkurn án svampsins. þegiðu nú, Toot.
Getting screwed.	Hert að mér.
I'm getting the cap.	Húfan á.
Arlen Bitterbuck electricity shall be passed through your body until you are dead in accordance with state law.	Arlen Bitterbuck nú verður hleypt rafmagni gegnum líkama þinn þar til þú deyrð eins og fylkislög gera ráð fyrir.
God have mercy on your soul.	Megi Guð vera þér náðugur.
Amen.	Amen.
Roll on two.	Rofi tvö.
And that's that.	Og þá deyr hann.
I'm frying! I'm frying!	Ég stikna, ég stikna!
I'm a done tom turkey! This is a shocking experience!	Ég er steiktur kalkún! þetta er sjokkerandi reynsla!
One of the witnesses showed up a day early.	Eitt aftökuvitnanna hefur komið degi of snemma.
Let's do it again, and let's get it right this time.	Jæja, gerum þetta aftur og enga vitleysu núna.
Get that idiot out of the chair.	Takið þennan fáráðling úr stólnum.
Do you think if a man sincerely repents on what he done wrong that he might get to go back to the time that was happiest for him and live there forever?	Heldur þú að ef maður iðrast misgjörða sinna af einlægni þá geti maður horfið aftur til síns mesta hamingjutíma og verið þar að eilífu?
Could that be what heaven's like?	Gæti himnaríki verið þannig?
I just about believe that very thing.	Ég gæti einmitt sem best trúað því.
Had me a young wife when I was 18.	Ég átti unga konu þegar ég var 18 ára.
Spent our first summer in the mountains.	Fyrsta sumarið vorum við á fjöllum.
Made love every night.	Elskuðumst hvert kvöld.
And she 'd lie there after bare-breasted in the firelight.	Og eftir á lá hún og eldsbjarminn féll á ber brjóstin hennar.
And we 'd talk sometimes till the sun come up. That was my best time. It'll be fine. You'll do fine.	Og stundum töluðum við saman þar til sólin kom upp. þetta var besti tími lífs míns. þetta verður allt í lagi. þú stendur þig.
Arlen Bitterbuck, electricity shall now be passed through your body until you are dead, in accordance with state law.	Arlen Bitterbuck, nú verður hleypt rafmagni gegnum líkama þinn þar til þú deyrð, eins og fylkislög gera ráð fyrir.
Again.	Aftur.
Adios, chief.	Vertu sæll, höfðingi.
Drop us a card from hell.	Sendu kort úr helvíti.
Let us know if it's hot enough.	Segðu okkur hvort þar er nógu heitt.
He's paid what he owed.	Hann hefur borgað sitt.
He's square with the house again so keep your goddamn hands off him!	Hann er skuldlaus núna svo þú skalt láta hann í friði!
What's up his ass? You.	Hvað er að honum? þú.
You, Percy.	Alltaf. þú, Percy.
Oh, yeah. I know all about it.	Já, ég veit allt um það mál.
Sounds to me like a pretty good job.	Mér heyrist það vera fínasta vinna.
I might just take it too, soon as you put me out front.	Og kannski tek ég henni, ef þú leyfir mér að stjórna.
Yeah, you heard me.	Já, það er alveg rétt.
I want Brutal's spot for the next execution.	Ég vil fá hlutverk Brutals í næstu aftöku.
Seeing a man die, that's not enough. You gotta smell his nuts cook.	Er þér ekki nóg að sjá mann deyja? þú vilt einnig finna brunalyktina?
I just wanna be out front, is all.	Ég vil bara fá að stjórna.
Come on.	Láttu ekki svona.
One time.	Einu sinni.
And then you know what?	Og veistu hvað?
You'll be rid of me. I swear.	Eftir það losnarðu við mig, ég sver það.
And if I say no? Well, I might just stick around for good.	Og ef ég segi nei? þá tek ég kannski upp á því að vera hér það sem eftir er.
Make me a career of this boss. You won't believe this.	Helga mig þessu starfi stjóri. þið trúið þessu aldrei.
Look.	Sjáið.
I done tame me that mouse.	Ég er búinn að temja músina.
We see that.	Við sjáum það.
Watch this.	Sjáið.
Watch what he do.	Sjáið hvað hann gerir.
Ain't he something now?	Er hann ekki ótrúlegur?
He's smart, Mr. Jingles.	Hann er klár, hann herra Jingles.
Mr. Jingles?	Herra Jingles.
That his name.	Hann heitir það.
He whispered in my ear.	Hann hvíslaði því að mér.
Hey, captain could I have a box for my mouse so he can sleep in here with me?	Heyrðu, kapteinn má ég fá kassa undir músina mína svo hún geti sofið hérna hjá mér?
Your English gets better when you want something.	Ég heyri að enskan þín snarbatnar þegar þig vantar eitthvað.
Wanna see what else he can do?	Viljið þið sjá hvað hann getur fleira?
Watch, watch.	Sjáið.
Mr. Jingle?	Herra Jingle?
He fetch it every time.	Hann sækir það alltaf.
Every time. That's some smart mouse, Del.	Alltaf. þetta er klár mús, Del.
Like he a circus mouse or something.	Eins og einhver sirkusmús.
Correct. That just what he is too.	Einmitt. það er hann.
He's a circus mouse.	Hann er sirkusmús.
When I get out, he'll make me rich. You just watch and see if he don't do that.	Og þegar ég slepp héðan þá gerir hann mig ríkan. þið skuluð bara sjá, hann mun gera það.
We play fetch again?	Viltu sækja aftur?
Well, well, well.	Jæja.
Looks like you found yourself a new friend.	Mér sýnist þú hafa eignast nýjan vin, Del.
Don't hurt him.	Ekki meiða hann.
Is that the one I chased?	Er þetta músin sem ég var að eltast við?
Yeah, that's the one.	Já, þetta er hún.
Only Del says his name is Mr. Jingles.	En Del segir að þetta sé herra Jingles.
Is that so?	Er það virkilega?
Del's been asking for a box.	Del bað um kassa undir hana.
Thinks the mouse will sleep in it.	Heldur sennilega að músin vilji sofa í honum.
Might keep it for a pet.	Og hann geti haft hana sem gæludýr.
What do you think?	Hvað finnst þér?
You know what?	Veistu hvað?
Close the door.	Lokaðu dyrunum.
So you know you got a new prisoner coming in here tomorrow."	Eins og þú veist kemur nýr fangi til þín á morgun.
William Wharton."	William Wharton.
He's what you call a problem child.	Hann er það sem kallað er vandræðabarn.
Got "Billy the Kid" tattooed on his left arm.	Hann lét flúra "Billy the Kid" á vinstri handlegginn.
