Publication detail	Nánar um útgáfu
Measurements of labour cost are now based on Statistics Iceland's survey on wages, earnings and labour costs instead of official pay scales from union contracts.	Mæling á vinnuliðum breytist og byggist nú á launarannsókn Hagstofu Íslands í stað þess að fylgja töxtum úr opinberum kjarasamningum.
22 December 2010	22. desember 2010
years in accordance with state budget and the accounts of the State Social Security Institute.	áður í samræmi við framsetningu fjárlaga og reiknings Tryggingastofnunar ríkisins.
Cooperation with users	Samstarf við notendur
International cooperation	Laus störf
Statistics Iceland appreciates good cooperation with users of official statistics.	Hagstofa Íslands leggur mikið upp úr góðu samstarfi við notendur hagtalna.
Discussions can both be regular and on an ad hoc basis.	Samtöl við notendur geta bæði verið reglubundin og tilfallandi.
Regular communication is usually on Statistics Iceland initiative as a formal consultation on meetings or with user surveys.	Reglubundin samtöl eru venjulega að frumkvæði Hagstofunnar sem formlegt samráð með fundum eða könnunum.
Ad hoc communication can both be on the initiative of Statistics Iceland or its users; this can be through a telephone, e-mail, or meetings.	Tilfallandi samtöl eru ýmist að frumkvæði Hagstofunnar eða notenda og fara fram með óformlegum eða formlegum hætti í gegnum síma, tölvupóst eða á fundum.
Cooperation with users will help increase understanding of user needs and gives users information on statistics and its production.	Samstarf við notendur eykur skilning á þörfum þeirra og veitir notendum upplýsingar um hagtölur og hagskýrslugerð.
Advisory committees	Ráðgjafarnefndir
Advisory committee on the consumer price index	Ráðgjafarnefnd um vísitölu neysluverðs
The committee is composed of one member appointed by the Supreme Court, one appointed by the Icelandic Federation of Labour and one appointed by the SA-Confederation of Icelandic Employers.	Nefndin er skipuð einum fulltrúa tilnefndum af Hæstarétti, einum tilnefndum af Alþýðusambandi Íslands og einum tilnefndum af Samtökum atvinnulífsins.
The advisory committee is subject to the Statistics Iceland Director-General.	Ráðgjafarnefnd um vísitölu neysluverðs heyrir undir hagstofustjóra.
Advisory committee on labour market statistics	Ráðgjafarnefnd um vinnumarkaðstölfræði
The committee operates according to an agreement between Statistics Iceland and Institute of Labour Market Research on wage surveys and other labour market research since 9 September 2004.	Nefndin starfar samkvæmt samningi Hagstofu Íslands og Kjararannsóknarnefndar um launakannanir og aðrar vinnumarkaðsrannsóknir frá 9. september 2004.
The purpose of the committee is to advise on and monitor the process of this agreement and advise Statistics Iceland on labour market research, particularly wage surveys.	Hlutverk nefndarinnar er að fylgjast með framkvæmd þessa samnings og vera Hagstofunni til ráðgjafar um gerð vinnumarkaðsrannsókna, einkum launakannana.
The committee is composed of two specialists from the Icelandic Federation of Labour and two specialists from the SA-Confederation of Icelandic Employers.	Í ráðgjafarnefndinni sitja tveir sérfræðingar frá Alþýðusambandi Íslands og tveir frá Samtökum atvinnulífsins.
The Advisory committee is subject to the Statistics Iceland Director of Business Statistics.	Ráðgjafarnefnd þessi heyrir undir skrifstofustjóra félagsmálasviðs.
Methodological advisory committee	Ráðgjafarnefnd um aðferðafræði
The committee operates on Statistics Iceland initiative.	Nefndin starfar að ósk Hagstofunnar.
Its role is to encourage the use of sound methodology in Statistics Iceland processes according to principle 7 in the European Statistics Code of Practice.	Hlutverk nefndarinnar er að hvetja til notkunar traustra aðferða í vinnu Hagstofunnar, í samræmi við 7. meginreglu evrópskrar hagskýrslugerðar.
The committee is composed of representatives from Statistic Iceland, Faculty of Physical Sciences at University of Iceland, School of Business at Reykjavik University, The Social Science Research Institute, Faculty of Economics at University of Iceland, Central Bank of Iceland, and Decode Genetics.	Í ráðgjafarnefndinni sitja fulltrúar frá Hagstofunni, raunvísindadeild Háskóla Íslands, Viðskiptadeild Háskólans í Reykjavík, Félagsvísindastofnun, Hagfræðideild Háskóla Íslands, Seðlabanka Íslands og Íslenskri Erfðagreiningu.
To be able to ensure the quality of the statistics and the services provided, Statistics Iceland needs to know the expectations of the users.	Til að tryggja gæði þeirra hagtalna og þeirrar þjónustu sem Hagstofan veitir, þarf að þekkja væntingar þeirra sem nota þessar hagtölur og þessa þjónustu.
Government and public administration	Stjórnvöld
International organizations and foreign users	Alþjóðastofnanir og aðrir erlendir notendur
Meetings are usually once a year with participants from:	Hann er skipaður fulltrúum frá:
Ministry and official institutions	Ráðuneytum og opinberum stofnunum
Footnotes	Skýringar
For 1853-1935 the number of live births is computed from the number of mothers by means of the ratio live live births/number of mothers.	Fjöldi mæðra árin 1853-1935 er umreiknaður til tölu lifandi fæddra barna með hlutfallinu lifandi fæddir/fjöldi mæðra.
It is assumed that the age-specific distribution of mothers delivering more than one child and mothers of stillborn children is the same.	Reiknað er með að jöfn aldursdreifing sé á mæðrum fjölbura og andvana fæddra barna.
A comparison of the years 1936-50 reveales only slight deviations when this method is applied so that it is assumed to be sound for the years 1853-1935 as well.	Samanburður áranna 1936-50 með þessari aðferð leiddi í ljós lítil frávik og ætti hún því að vera haldgóð árin 1853-1935.
Border survey at Keflavik airport	Landamærarannsókn á Keflavíkurflugvelli
13. February 2017	13. febrúar 2017
Statistics Iceland and the Icelandic Tourist board have agreed to accept a bid on conducting a border survey at Keflavik airport.	Ferðamálastofa og Hagstofa Íslands hafa gengið að tilboði um framkvæmd landamærarannsóknar á Keflavíkurflugvelli.
The bid for the execution of the Border survey was announced by the Central Public Procurement last October.	Verkefnið var boðið út á vegum Ríkiskaupa á Evrópska efnahagssvæðinu í október síðastliðnum.
The project is funded by a special government initiative regarding research on tourism.	Verkefnið er fjármagnað fyrir aukafjárveitingu af fjárlögum í rannsóknir tengdum ferðaþjónustu.
The data collection will start in Keflavik airport in the spring and first results will be available this summer.	Áætlað er að framkvæmd rannsóknarinnar hefjist á vormánuðum og að fyrstu niðurstöður verði birtar í sumar.
For Statistics Iceland the results will add valuable data regarding the publication on International Trade in Services, National accounts, Tourism Satellite accounts and Tourism.	Niðurstöður munu nýtast í útgáfum Hagstofunnar varðandi þjónustuviðskipti við útlönd, gistinætur, þjóðhagsreikninga og ferðaþjónustureikninga.
Country of birth	Fæðingarland
Czech Republic	Tékkland
In 1993 Czechoslovakia was divided into the Czech and Slovak Republics.	Árið 1993 skiptist Tékkóslóvakía upp í Tékkland og Slóvakíu.
Slovenia	Slóvenía
Until 1992 Slovenia was a member of the Federal Republic of Yugoslavia.	Til ársins 1992 heyrði Slóvenía til Sambandsríkis Júgóslavíu.
Some persons born within the current boundaries of Slovenia may still be registered as born in Yugoslavia.	Einhverjir einstaklingar fæddir í Slóveníu gætu enn verið skráðir sem fæddir í Júgóslavíu.
Slovakia	Slóvakía
Some persons born within the current boundaries of Slovakia may still be registered as born in Czech or Slovak Republic, unspecified (Czechoslovakia).	Einhverjir einstaklingar fæddir í Slóvakíu gætu enn verið skráðir sem fæddir í Tékklandi, Slóvakíu ótilgreint (Tékkóslóvakíu).
Bosnia and Herzegovina	Bosnia og Herzegovina
Until 1992 Bosnia and Herzegovina was a member of the Federal Republic of Yugoslavia.	Til ársins 1992 heyrði Bosnía og Hersegóvína til Sambandsríkis Júgóslavíu.
Some persons born within the current boundaries of Bosnia and Herzegovina may still be registered as born in Yugoslavia.	Einhverjir einstaklingar fæddir í Bosníu og Hersegóvínu gætu enn verið skráðir sem fæddir í Júgóslavíu.
Serbia and Montenegro	Serbía og Svartfjallaland
Between 1992 and 2003 the Federal Republic of Yugoslavia was constituted solely by Serbia and Montenegro.	Serbía og Svartfjallaland voru frá 1992-2003 einu lýðveldi Sambandsríkis Júgóslavíu.
Persons are classified as born in Serbia and Montenegro who declared this when registering for the first time 2003 to 2006 or who have changed their registration after that.	Hér eru þeir einstaklingar flokkaðir sem eru fæddir innan landamæra Serbíu eða Svartfjallalands og gáfu það upp við skráningu í þjóðskrá eða höfðu fengið skráningu sinni breytt á árunum 2003-2006.
Some persons born within the current boundaries of Serbia may still be registered as born in former republics of Yugoslavia.	Einhverjir sem fæddir voru í Serbíu gætu enn verið skráðir sem fæddir í fyrrum ríkjum Júgóslavíu.
Former Soviet Union	Fyrrum Sovétríki
Countries in former Yugoslavia, unspecified	Ríki í fyrrum Júgóslavíu, ótilgreint
In early 2003 the Federal Republic of Yugoslavia was formally dissolved and replaced by the State Union of Serbia and Montenegro.	Í ársbyrjun 2003 var Sambandsríki Júgóslavíu lagt niður en ríkjasamband Serbíu og Svartfjallalands stofnað á grundvelli þess.
This confederation was in turn dissolved in mid 2006.	Því ríkjasambandi var hins vegar slitið á miðju ári 2006.
Persons are classified with a country of birth in former republics of Yugoslavia if they were registered with a Yugoslavian country of birth after early 2003 or with a Serbian and Montenegrin country of birth after mid 2006.	Fæddir í fyrrum ríkjum Júgóslavíu teljast þeir einstaklingar eftir stofnun ríkjasambands Serbíu og Svartfjallalands sem voru skráðir með júgóslavneskt fæðingarland í þjóðskrá eftir 2003, eða fæðingarland í Serbíu og Svartfjallalandi fram til 2006 og hafa ekki enn fengið skráningu sinni breytt.
Yugoslavia (Serbia and Montenegro)	Júgóslavía (Serbía og Svartfjallaland)
In 1992 four former republics of the Federal Republic of Yugoslavia left the Union: Bosnia and Herzegovina, Croatia, Macedonia and Slovenia.	Árið 1992 gengu fjögur lýðveldi Sambandsríkis Júgóslavíu úr sambandsríkinu: Bosnía- Hersegóvína, Króatía, Makedónía og Slóvenía.
Until early 2003 when the Union was dissolved, Serbia and Montenegro were the only remaining members of the Federal Republic of Yugoslavia.	Serbía og Svartfjallaland voru fram til 2003 einu lýðveldi Sambandsríkis Júgóslavíu, en þá var það lagt niður.
Inbound tourism expenditure was 263 billion ISK in 2015	Heildarútgjöld erlendra ferðamanna voru 263 milljarðar árið 2015
31. January 2017	31. janúar 2017
The total expenditure of inbound tourists of tourists was roughly 263 billion ISK in 2015 compared with 197 billion ISK in 2014.	Heildarútgjöld erlendra ferðamanna hér á landi námu ríflega 263 milljörðum króna árið 2015 samanborið við ríflega 197 milljarða króna árið 2014.
Additional tables will be updated soon, such as tables containing data on the expenditure of domestic tourists and the output of tourism industries.	Ferðaþjónustureikningar eru hliðarreikningar þjóðhagsreikninga og er ætlað að leggja mat á hlut ferðaþjónustunnar í hagkerfinu og þróun hennar sem atvinnugreinar.
The emphasis is on the expenditure of inbound tourists as well as number of tourists and overnights.	Sérstök áhersla er lögð á tölur um útgjöld erlendra ferðamanna á Íslandi auk talnaefnis um fjölda ferðamanna og gistinátta.
2012:1  16 May 2012	2012:1  16. maí 2012
Trade in goods in 2011	Vöruviðskipti við útlönd 2011
Table 1.	Tafla 1.
Balance of trade in goods (fob-cif) 2002-2011	Vöruskipti (fob-cif) árin 2002-2011
Million ISK at current prices	Í millj. kr.
goods cif	vörur fob
Summary	Samantekt
For national accounts and balance of payment purposes, the balance of trade in goods is calculated from the fob value of both imports and exports.	Í greiðslujöfnuði og þjóðhagsreikningum er miðað við vöruskiptajöfnuð, reiknaðan út frá fob-verði bæði vöruinnflutnings og vöruútflutnings.
Balance of trade in goods (fob-fob) 2002-2011	Vöruskipti (fob-fob) árin 2002-2011
Figure 3 shows exports and imports of goods in % of GDP over the last 50 years.	Mynd 3 sýnir hlutfall vöruútflutnings og vöruinnflutnings af vergri landsframleiðslu yfir 50 ára tímabil.
The share of imports of goods was higher than the share of exports of goods from 2003-2009.	Hlutdeild vöruinnflutnings var hærri en hlutdeild vöruútflutnings frá árinu 2003 til ársins 2009.
As the external trade share of GDP gets higher the more open the economy becomes.	Því hærri hlutdeild sem utanríkisverslun hefur af landsframleiðslu, því opnara er hagkerfið talið.
However the external trade of services has increased considerably during the last decades.	Þjónustuviðskipti við útlönd hafa hins vegar stóraukist.
For some years, fluctuations in the exchange rate can disturb such a comparison.	Miklar gengisbreytingar geta einnig skekkt þennan samanburð einstök ár.
Figure 3.	Mynd 3.
Exports and imports of goods in % of GDP 1960-2011	Vöruútflutningur fob og vöruinnflutningur fob sem hlutfall af vergri landsframleiðslu 1960-2011
Exports of goods (fob)	Útfluttar vörur fob
Imports of goods fob	Innfluttar vörur fob
Exports of goods fob	Vöruútflutningur fob
Imports of goods fob	Vöruinnflutningur fob
Most items of the export and import of goods increased in value, at constant prices, the largest increase in the export of marine products, and in the import of industrial supplies and fuels and lubricant.	Í vöruútflutningi varð mest aukning í útflutningi sjávarafurða en í vöruinnflutningi á hrá- og rekstrarvöru og eldsneyti og smurolíu.
There was also an increase in the export of manufacturing products and import of transport equipments and capital goods.	Einnig varð umtalsverð aukning í útflutningi á iðnaðarvörum og innflutningi á flutningatækjum og fjárfestingavöru.
Value of trade in goods at current value and changes at constant value in 2010 and 2011	Verðmæti vöruútflutnings fob og vöruinnflutnings fob á gengi hvors árs og breytingar á föstu gengi 2010 og 2011
Change on previous year at constant 2011 exchange rates,1 %	Breytingar frá fyrra ári á 2011 föstu gengi,1 %
Exports fob, total	Útflutningur alls fob
Marine products	Sjávarafurðir
Agricultural products	Landbúnaðarvörur
Manufacturing products Other products	Iðnaðarvörur Aðrar vörur
Imports fob, total	Innflutningur alls fob
Food and beverages	Matvörur og drykkjarvörur
Industrial supplies n.e.s.	Hrávörur og rekstrarvörur ót.a.s.
Fuels and lubricants Capital goods (except for transport)	Eldsneyti og smurolíur Fjárfestingarvörur (þó ekki flutningatæki)
Transport equipment	Flutningatæki
Consumer goods n.e.s.	Neysluvörur ót.a.s.
Goods n.e.s.	Vörur ót.a.s.
Both export and import prices of goods increased but terms of trade in goods deteriorated	Útflutningsverð og innflutningsverð á vöru hækkuðu, vöruviðskiptakjör við útlönd versnuðu
Price and volume indices of exports and imports of goods and indices for terms of trade 2002-2011	Verð- og magnvísitölur vöruútflutnings og vöruinnflutnings og vísitala vöruviðskiptakjara 2002-2011
Exports and imports of goods by main type of goods	Vöruútflutningur og vöruinnflutningur eftir helstu vöruflokkum
During the latest years, the share of exported manufacturing products has increased while the share of exported marine products has decreased.	Hlutfall sjávarafurða í vöruútflutningi hefur síðustu ár lækkað smám saman, á meðan hlutfall iðnaðarvara í vöruútflutningi hefur hækkað.
Exports of goods	Vöruútflutningur
Imports of goods	Vöruinnflutningur
The year 2011 shows some sign of recovery.	Á árinu 2011 má sjá batamerki.
Number of customs declarations in 2008-2011	Fjöldi tollafgreiðslna árin 2008-2011
Manufacturing products	Iðnaðarvörur
Exports of goods by market areas 2007-2011	Vöruútflutningur eftir markaðssvæðum árin 2007-2011
1 EEA countries are all 27 EU countries and Iceland, Norway and Liechtenstein.	1 EES-ríkin eru 27 ESB-ríki ásamt Íslandi, Noregi og Liechtenstein.
Food and beverages	Mat- og drykkjarvörur
Industrial supplies n.e.s.	Hrá- og rekstrarvörur ót.a.s.
Fuels and lubricants	Eldsneyti og smurolíur
Imports of goods by market areas 2007-2011	Vöruinnflutningur eftir markaðssvæðum árin 2007-2011
The Netherlands was the biggest buyer of Icelandic goods in 2011, as two previous years.	Holland var helsta útflutningsland Íslendinga á vörum árið 2011, eins og árin tvö á undan.
In external trade the partner country is by classification the country of final destination of the export.	Í utanríkisverslun er almenn regla að útflutningsland er skráð endanlegt neysluland vöru.
Figures for exports of aluminum and aluminium products to the Netherlands should be viewed with that in mind.	Hafa skal hliðsjón af þessari staðreynd þegar tölur um útflutning til Hollands eru skoðaðar.
Germany was the second largest buyer of Icelandic exports of goods in 2011 but as the year before.	Íslendingar seldu næst mest af vörum til Þýskalands á árinu 2011 eins og árið áður.
Manufacturing products, mainly aluminium and aluminium products, made up the largest share of exports of goods to Germany, 85%.	Iðnaðarvörur, aðallega ál og álafurðir, vógu þyngst í vöruútflutningi til Þýskalands eða 85%.
Imports from the five leading importing countries of goods amounted to 48% of the total imports of goods in 2011 (42% in 2010).	Vöruinnflutningur frá fimm helstu innflutningsríkjunum nam alls 48% af heildarinnflutningi árið 2011 samanborið við 42% árið 2010.
In 2011 Norway was the country supplying the greatest share of imports of goods to Iceland, as the year before.	Árið 2011 var mestur innflutningur af vörum til Íslands frá Noregi eins og árin tvö á undan.
119 Other pelagic fish 12 Demersal, major species 120 Cod	119 Annar uppsjávarfiskur 12 Botnfiskur, helstu tegundir 120 Þorskur
121 Haddock	121 Ýsa
122 Saithe	122 Ufsi
123 Redfish	123 Karfi
124 Catfish	124 Steinbítur
125 Ling	125 Langa
126 Blue ling	126 Blálanga
127 Tusk	127 Keila
128 Monk	128 Skötuselur
129 Skate	129 Skata
142 Plaice	142 Skarkoli
143 Sole	143 Sólflúra
161 Lobster	161 Humar
162 Scallop	162 Hörpudiskur
163 Mussels	163 Kræklingur
164 Cuttlefish	164 Smokkfiskur
165 Sea urchin	165 Ígulker
166 Iceland cyprine	166 Kúfiskur
167 Whelk	167 Beitukóngur
2 Agricultural products 21 Fish farming	2 Landbúnaðarvörur 21 Fiskeldi
22 Livestock	22 Búfé
23 Products of farm animals 24 Milk and dairy products 25 Other products of land and sea 29 Other agricultural products	23 Afurðir sláturdýra 24 Mjólk og mjólkurvörur 25 Aðrar land- og sjávarnytjar 29 Aðrar landbúnaðarvörur
Exports of goods by commodities in 2010-2011 (cont.)	Vöruútflutningur eftir vöruflokkum árin 2010-2011 (frh.)
Fob value at current prices	Fob-verð á gengi hvors árs
% change Tonnes Mill.	Breyting frá
ISK % Tonnes Mill.	Tonn Millj. kr.
ISK % in value	% Tonn Millj. kr.
Exports of goods by market areas in 2007-2011	Vöruútflutningur eftir markaðssvæðum árin 2007-2011
ISK % Mill.	% Millj. kr.
Total	Samtals
EEA	EES
Austria	Austurríki
Belgium	Belgía
Kazakhstan	Kasakstan
Russia	Rússland
Switzerland	Sviss
Turkey	Tyrkland
Ukraina	Úkraína
Other European countries	Önnur Evrópulönd
United States	Bandaríkin
Exports of goods by market areas in 2007-2011 (cont.)	Vöruútflutningur eftir markaðssvæðum árin 2007-2011 (frh.)
Other countries	Önnur lönd
Australia	Ástralía
Brazil	Brasilía
Taiwan	Taívan
Imports of goods by market areas in 2007-2011	Vöruinnflutningur eftir markaðssvæðum árin 2007-2011
Cif-value at current	Cif-verð á gengi
Latvia	Lettland
Lithuania	Litháen
Luxembourg	Lúxemborg
Imports of goods by market areas in 2007-2011 (cont.)	Vöruinnflutningur eftir markaðssvæðum árin 2007-2011 (frh.)
Taiwan Other countries	Önnur lönd
Exports of goods by main trading countries in 2009-2011	Vöruútflutningur eftir helstu viðskiptalöndum 2009-2011
ISK Rank	Röð
Germany	Þýskaland
United Kingdom	Bretland
Norway	Noregur
Spain	Spánn
Italy	Ítalía
Nigeria	Nígería
Portugal	Portúgal
Poland	Pólland
China	Kína
Faroe Islands	Færeyjar
Sweden	Svíþjóð
Canada	Kanada
Ireland	Írland
Greece	Grikkland
Greenland	Grænland
Korea, Rep. of	Suður-Kórea
Belarus	Hvíta-Rússland
Virgin Islands (British)	Jómfrúaeyjar (breskar)
Viet Nam	Víetnam
Malaysia	Malasía
Serbia	Serbía
India	Indland
Croatia	Króatía
Mexico	Mexíkó
United Arab Emirates	Sameinuðu arabísku furstadæmin
Indonesia	Indónesía
Thailand	Taíland
New Zealand	Nýja-Sjáland
Hungary	Ungverjaland
Imports of goods by main trading countries in 2009-2011	Vöruinnflutningur eftir helstu viðskiptalöndum 2009-2011
ISK Rank Mill.	Millj. kr.
ISK Rank Mill.	Röð Millj. kr.
Netherlands	Holland
Venezuela	Venezúela
Jamaica	Jamaíka
Israel	Ísrael
Tunisia	Túnis
Qatar	Katar
Argentina	Argentína
Morocco	Marokkó
Exports of goods by commodities (SI classification) and market areas in 2011	Vöruútflutningur eftir vöruflokkum (Hagstofuflokkun) og markaðssvæðum árið 2011
Fob-value	Fob-verð
164 Cuttlefish 165 Sea urchin 166 Iceland cyprine	164 Smokkfiskur 165 Ígulker 166 Kúfiskur
ISK %	% Millj. kr.
Exports of goods by commodities (SI classification) and market areas in 2011 (cont.)	Vöruútflutningur eftir vöruflokkum (Hagstofuflokkun) og markaðssvæðum árið 2011 (frh.)
357 Clothing and footwear 359 Other leather, fur and textile articles 360 Aluminium and aluminium products 361 Ferro-silicon	357 Fatnaður og skófatnaður 359 Aðrar leður-, skinna- og textílvörur 360 Ál og álafurðir 361 Kísiljárn
362 Diatomite	362 Kísilgúr
364 Rock wool	364 Steinull
365 Seaweed meal 366 Petroleum and petroleum products 367 Cryolite	365 Þang og þaramjöl 366 Jarðolíur og olíuvörur 367 Krýolít
383 Food processing machinery 391 Plastic and rubber manufactures 392 Miscellaneous articles of wood 393 Paper and print 394 Metal and metal manufactures 399 Other manufacturing products	383 Vélar til matvælaframleiðslu 391 Vörur úr plasti og gúmmí 392 Ýmsar vörur úr viði 393 Pappírs- og prentvörur 394 Málmur og málmvörur 399 Aðrar iðnaðarvörur
423 Used clothing and textiles 426 Waste and residue from power intensive industries 427 Ash, slag and metallic residues	423 Notaður fatnaður og spunavörur 426 Úrgangur og leyfar frá orkufrekum iðnaði 427 Askja, gjall og málmkenndar leifar
433 Used or re-exported vehicles 499 Miscellaneous	433 Bílar, notaðir eða endurseldir 499 Aðrar vörur
Total	Alls
Imports of goods by market areas and broad economic categories in 2011	Vöruinnflutningur eftir markaðssvæðum og hagrænni flokkun (BEC) árið 2011
Cif-value	Cif-verð
1 Food and beverages 111 Primary, mainly for industry 112 Primary, mainly for household consumption 121 Processed, mainly for industry 122 Processed, mainly for household consumption	1 Matvörur og drykkjarvörur 111 Óunnar, einkum til iðnaðar 112 Óunnar, einkum til heimilisnota 121 Unnar, einkum til iðnaðar 122 Unnar, einkum til heimilisnota
220 Processed	220 Unnar
3 Fuels and lubricants 310 Primary 321 Motor spirit	3 Eldsneyti og smurolíur 310 Óunnið eldsneyti 321 Bensín, þ.m.t. flugvélabensín
Hagtíðindi External trade	Hagtíðindi Utanríkisverslun
Supervision Auður Ólína Svavarsdóttir  audur.svavarsdottir@hagstofa.is	Umsjón Auður Ólína Svavarsdóttir  audur.svavarsdottir@hagstofa.is
Please quote the source.	Vinsamlegast getið heimildar.
Transmission hours of other channels than the Icelandic National	Útsendingartími annarra stöðva en Ríkisútvarpsins er í nokkrum
Icelandic National Broadcasting Service-Radio, nationwide channels	Ríkisútvarpið - Hljóðvarp, rásir á landsvísu
Channels reaching all regions of the country and at least 90 per cent of the population.	Miðað er við að útsendingar nái til allra landssvæða og a.m.k. 90 af
Icelandic National Broadcasting Service-Radio, regional channels	hundraði af þjóðinni.
Stations holding a long-term broadcasting license and transmitting	Stöðvar með langtímaleyfi sem sendu reglubundið út á árinu.
regularly in the year.	Einkastöðvar, stöðvar á landsvísu
Iceland among countries with fewest smokers	Fáir reykja á Íslandi í samanburði við önnur Evrópulönd
7. March 2017	7. mars 2017
People with higher income are less likely to smoke.	Fólk með háar tekjur er ólíklegra til að reykja en tekjulágir.
Swedes least likely to smoke	Svíar ólíklegastir til að reykja
Iceland has the third highest proportion of people who never smoke, just over 81%.	Rúmlega 81% fólks á Íslandi reykir aldrei, en það er þriðja hæsta hlutfall í Evrópu.
People with higher incomes less likely to smoke	Fólk með lægri tekjur líklegra til að reykja
Little over 24% of people in the lowest income quintile smoke with 16% being daily smokers.	Rúm 24% fólks í lægsta tekjufimmtungi reykja og nær 16% reykja daglega.
About the European Health Interview Survey	Um rannsóknina
Health interview surveys offer comprehensive data on the health status of a population and health-related topics based on answers by respondents of a representative sample of the population.	Evrópska heilsufarsrannsóknin er samræmd rannsókn á heilsufari og heilsutengdri hegðun sem er framkvæmd af hagstofum á Evrópska efnahagssvæðinu.
The Icelandic survey was collected in autumn 2015.	Rannsóknin fór fram á Íslandi haustið 2015.
The sample consisted of 5,700 individuals drawn randomly from the population registry.	Í úrtaki voru 5.700 einstaklingar valdir af handahófi úr þjóðskrá.
Metadata	Lýsigögn
0.3 Responsible authority; office, division, person etc.	0.3 Umsjón; stofnun, deild, sérfræðingur o.s.frv.
Price Statistics, Statistics Iceland	Vísitöludeild Hagstofu Íslands
0.4 Purpose and history	0.4 Tilgangur og aðdragandi
The building cost index shows changes to the cost of building a specific type of house (18 apartment house) in the capital area in accordance with law no. 42/1987.	Vísitölu byggingarkostnaðar er ætlað að sýna breytingar á kostnaði við byggingu ákveðinnar tegundar íbúðarhúsnæðis (18 íbúða fjölbýlishúss) á höfuðborgarsvæðinu samkvæmt lögum nr. 42 frá 1987.
Value added tax refunds for work carried out on construction sites are accounted for in the index compilation.	Tekið er tillit til endurgreiðslu virðisaukaskatts vegna vinnu á verkstað við útreikning vísitölunnar.
