Closing the Loop for ALMA	ALMA nær mikilvægum áfanga
“Our target was the middle planet of the three, which is roughly ten times more massive than Jupiter and has a temperature of about 800 degrees Celsius,” says team member Carolina Bergfors.	Hún er um tíu sinnum masasmeiri en Júpíter og hitastigið í lofthjúpnum í kringum 800 gráður á Celsíus“ segir Carolina Bergfors, stjörnufræðingur sem tók þátt í rannsókninni.
“After more than five hours of exposure time, we were able to tease out the planet's spectrum from the host star's much brighter light.”	„Eftir að hafa fylgst með kerfinu í meira en fimm klukkustundir samfellt gátum við dregið litróf reikistjörnunnar út úr miklu skærara ljósi móðurstjörnunnar.“
This is the first time the spectrum of an exoplanet orbiting a normal, almost Sun-like star has been obtained directly.	Þetta er í fyrsta sinn sem tekist hefur að mæla með beinum hætti litróf fjarreikistjörnu á braut um stjörnu sem líkist sólinni.
Previously, the only spectra to be obtained required a space telescope to watch an exoplanet pass directly behind its host star in an “exoplanetary eclipse”, and then the spectrum could be extracted by comparing the light of the star before and after.	Áður hafði eina litróf fjarreikistjörnu náðst með geimsjónauka sem fylgdist grannt með er reikistjarnan gekk á bak við móðurstjörnu sína við „fjarreikistjörnumyrkva“ og var þá hægt að skoða litróf hennar með því að bera saman ljósið frá stjörnunni fyrir og eftir myrkvann.
However, this method can only be applied if the orientation of the exoplanets orbit is exactly right, which is true for only a small fraction of all exoplanetary systems.	Þessa aðferð er hins vegar aðeins hægt að nota ef brautarhalli reikistjörnunnar er hárréttur en það á aðeins við um lítið brot af öllum fjarreikistjörnum.
The present spectrum, on the other hand, was obtained from the ground, using ESOs Very Large Telescope (VLT), in direct observations that do not depend on the orbits orientation.	Litrófið í hinu tilvikinu var mælt af jörðu niðri með beinum hætti með Very Large Telescope (VLT) ESO með aðferð sem er óháð brautarhalla reikistjörnunnar.
As the host star is several thousand times brighter than the planet, this is a remarkable achievement.	Þar sem móðurstjarnan er nokkur þúsund sinnum bjartari en reikistjarnan er þetta mikið afrek.
“It's like trying to see what a candle is made of, by observing it from a distance of two kilometres when its next to a blindingly bright 300 Watt lamp,” says Janson.	„Þessum mælingum má líkja við að finna út úr hverju kerti er með því að rannsaka það tveggja km fjarlægð við hlið skærs 300 watta lampa“ segir Janson.
The discovery was made possible by the infrared instrument NACO, mounted on the VLT, and relied heavily on the extraordinary capabilities of the instruments adaptive optics system [3].	Mælingarnar voru gerðar með innrauða mælitækinu NACO á VLT og aðlögunarsjóntækni sjónaukans [3].
Even more precise images and spectra of giant exoplanets are expected both from the next generation instrument SPHERE, to be installed on the VLT in 2011, and from the European Extremely Large Telescope.	Búast má við enn betri myndum og litrófum af risareikistjörnum þegar næsta kynslóð SPHERE mælitækisins verður komið fyrir á VLT árið 2011 og þegar European Extremely Large Telescope verður tekinn í notkun.
The newly collected data show that the atmosphere enclosing the planet is still poorly understood.	Nýju gögnin sýna að við skiljum enn lítið í lofthjúpi reikistjörnunnar.
“The features observed in the spectrum are not compatible with current theoretical models,” explains co-author Wolfgang Brandner.	„Við sjáum smáatriði í lofthjúpnum sem koma ekki heim og saman við líkön okkar í dag“ útskýrir Wolfgang Brandner, meðhöfundur greinarinnar.
“We need to take into account a more detailed description of the atmospheric dust clouds, or accept that the atmosphere has a different chemical composition from that previously assumed.”	„Við þurfum að taka með reikninginn nákvæmari lýsingu á rykskýjum í lofthjúpnum eða viðurkenna að lofthjúpurinn hefur aðra efnasamsetningu en við áttum von á.“
The astronomers hope to soon get their hands on the fingerprints of the other two giant planets so they can compare, for the first time, the spectra of three planets belonging to the same system.	Stjörnufræðingar vonast til að ná fingraförum hinna reikistjarnanna tveggja svo bera megi saman litróf allra reikistjarnanna þriggja í þessu sólkerfi. Það yrði í fyrsta sinn sem slíkt yrði gert.
“This will surely shed new light on the processes that lead to the formation of planetary systems like our own,” concludes Janson.	„Þetta mun án efa varpa nýju ljósi á þau ferli sem leiddu til myndunar sólkerfa eins og okkar eigin“ segir Janson að lokum.
Notes	Skýringar
[1] As every rainbow demonstrates, white light can be split up into different colours.	[1] Hægt er að skipta ljósi í liti sína eins og regnboginn er gott dæmi um.
Astronomers artificially split up the light they receive from distant objects into its different colours (or “wavelengths”).	Stjörnufræðingar skipta ljósi sem þeir fanga frá fjarlægum fyrirbærum í liti sína eða „bylgjulengdir“ en í stað þess að sjá aðeins þá fimm eða sex liti sem við sjáum í regnboganum, eru hundruð hárfínna litbrigða skoðuð.
However, where we distinguish five or six rainbow colours, astronomers map hundreds of finely nuanced colours, producing a spectrum - a record of the different amounts of light the object emits in each narrow colour band.	Litrófið er nokkurs konar skrá yfir hve mikið ljós fyrirbæri gefur frá sér í hverjum lit eða bylgjulengd.
The details of the spectrum - more light emitted at some colours, less light at others - provide tell-tale signs about the chemical composition of the matter producing the light.	Smáatriði í litrófinu - meira ljós í sumum litum en minna í öðrum - veitir upplýsingar um efnasamsetningu ljósuppsprettunnar.
This makes spectroscopy, the recording of spectra, an important investigative tool in astronomy.	Þess vegna er litrófsgreining afar mikilvægt verkfæri stjörnufræðinga.
[2] In 2004, astronomers used NACO on the VLT to obtain an image and a spectrum of a 5 Jupiter mass object around a brown dwarf - a “failed star”.	[2] Árið 2004 notuðu stjörnufræðingar NACO mælitækið á VLT til að taka mynd og litróf af hnetti sem er fimm sinnum massameiri en Júpíter á sveimi í kringum brúnan dverg eða „misheppnaða stjörnu“.
It is however thought that the pair probably formed together, like a petite stellar binary, instead of the companion forming in the disc around the brown dwarf, like a star–planet system (see eso0428,eso0515 and eso0619).	Hins vegar er talið að þetta tvíeyki hafi líklega myndast saman eins og tvístirni í stað þess að förunauturinn hafi myndast í skífu umhverfis brúna dvergin, eins og sólkerfi (sjá eso0428, eso0515 og eso0619).
[3] Telescopes on the ground suffer from a blurring effect introduced by atmospheric turbulence.	[3] Ókyrrð í lofthjúpi jarðar veldur því að myndir sjónauka á jörðu niðri verða móðukenndar.
This turbulence causes the stars to twinkle in a way that delights poets but frustrates astronomers, since it smears out the fine details of the images.	Ókyrrðin veldur því að stjörnurnar tindra, nokkuð sem getur veitt listamönnum innblástur en er afar pirrandi fyrir stjörnufræðinga því hún dregur úr þeim smáatriðum sem greina má.
However, with adaptive optics techniques, this major drawback can be overcome so that the telescope produces images that are as sharp as theoretically possible, i.e. approaching conditions in space.	Með aðlögunarsjóntækni er hægt að draga úr áhrifum ókyrrðarinnar og ná sjónaukarnir þá eins skörpum myndum og hægt er, nánast sambærilegar við geimsjónauka.
Adaptive optics systems work by means of a computer-controlled deformable mirror that counteracts the image distortion introduced by atmospheric turbulence.	Í aðlögunarsjóntækni aflagar tölva spegil í samræmi við bjögun lofthjúpsins.
It is based on real-time optical corrections computed at very high speed (several hundreds of times each second) from image data obtained by a wavefront sensor (a special camera) that monitors light from a reference star.	Leiðréttingar eru gerðar í mjög hratt (nokkur hundruð sinnum á sekúndu) og í rauntíma með gögnum sem sérstök myndavél sem fylgist með ljósi frá viðmiðunarstjörnu aflar.
On the Trail of a Cosmic Cat	Á slóð alheimskattarins
ESO has just released a stunning new image of the vast cloud known as the Cats Paw Nebula or NGC 6334.	ESO hefur birt nýja og glæsilega mynd af risastóru gas- og rykskýi sem nefnist Kattarloppuþokan eða NGC 6334.
This complex region of gas and dust, where numerous massive stars are born, lies near the heart of the Milky Way galaxy, and is heavily obscured by intervening dust clouds.	Á þessu svæði, sem er að miklu leyti hulið ryki, er fjöldi massamikilla stjarna að myndast skammt frá hjarta Vetrarbrautarinnar.
Few objects in the sky have been as well named as the Cats Paw Nebula, a glowing gas cloud resembling the gigantic pawprint of a celestial cat out on an errand across the Universe.	Fá fyrirbæri standa jafnvel undir nafni sínu og Kattarloppuþokan; glóandi gasský sem minnir helst á risavaxið loppufar kattar sem setur spor sitt á alheiminn.
British astronomer John Herschel first recorded NGC 6334 in 1837 during his stay in South Africa.	Árið 1837 skrásetti breski stjörnufræðingurinn John Herschel fyrstur manna NGC 6334 þegar hann dvaldi í Suður Afríku.
Despite using one of the largest telescopes in the world at the time, Herschel seems to have only noted the brightest part of the cloud, seen here towards the lower left.	Þrátt fyrir að hafa einn stærsta sjónauka heims undir höndum á þeim tíma virðist Herschel eingöngu hafa séð bjartasta hluta skýsins sem sést hér neðarlega til vinstri.
NGC 6334 lies about 5500 light-years away in the direction of the constellation Scorpius (the Scorpion) and covers an area on the sky slightly larger than the full Moon.	NGC 6334 er í um 5.500 ljósára fjarlægð í stjörnumerkinu Sporðdrekanum.
The whole gas cloud is about 50 light-years across.	Það nær yfir örlítið stærra svæði en fullt tungl en er í raun um 50 ljósár í þvermál.
The nebula appears red because its blue and green light are scattered and absorbed more efficiently by material between the nebula and Earth.	Þokan sýnist rauð vegna þess að efni sem er milli þokunnar og jarðar gleypir og dreifir bláa og græna ljósinu.
The red light comes predominantly from hydrogen gas glowing under the intense glare of hot young stars.	Rauða bjarmann má aðallega rekja til glóandi vetnisgass sem skín vegna orkuríkrar geislunar frá heitum, ungum stjörnum.
NGC 6334 is one of the most active nurseries of massive stars in our galaxy and has been extensively studied by astronomers.	NGC 6334 er einn virkasti myndunarstaður massamikilla stjarna í Vetrarbrautinni okkar og er þess vegna vinsælt rannsóknarefni stjörnufræðinga.
The nebula conceals freshly minted brilliant blue stars - each nearly ten times the mass of our Sun and born in the last few million years.	Í þokunni eru nýmyndaðar bjartar bláar stjörnur - hver næstum tíu sinnum massameiri en sólina okkar - sem urðu til á síðustu nokkrum milljónum ára.
The region is also home to many baby stars that are buried deep in the dust, making them difficult to study.	Svæðið hýsir líka margar ungar stjörnur sem eru grafnar djúpt inni í rykskýjum sem veldur því að erfitt er að rannsaka þær.
In total, the Cats Paw Nebula could contain several tens of thousands of stars.	Í heild gæti Kattarloppuþokan innihaldið nokkra tugi þúsunda stjarna.
Particularly striking is the red, intricate bubble in the lower right part of the image.	Rauða kúlan neðarlega til hægri á myndinni er sérstaklega áhugaverð.
This is most likely either a star expelling large amount of matter at high speed as it nears the end of its life or the remnant of a star that already has exploded.	Hún á annað hvort rætur að rekja til stjörnu sem nálgast endalok ævi sinnar og er að varpa frá sér miklu magni efnis á gífurlegum hraða eða leifar stjörnu sem hefur þegar sprungið.
This new portrait of the Cats Paw Nebula was created from images taken with the Wide Field Imager (WFI) instrument at the 2.2-metre MPG/ESO telescope at the La Silla Observatory in Chile, combining images taken through blue, green and red filters, as well as a special filter designed to let through the light of glowing hydrogen.	Þessi nýja mynd af Kattarloppuþokunni var búin til úr myndum sem teknar voru með Wide Field Imager (WFI) myndavélinni á 2,2 metra MPG/ESO sjónaukanum í La Silla stjörnustöðinni í Chile. Myndin er sett saman úr ljósmyndum sem teknar voru í gegnum bláa, græna og rauða síu, en líka sérstaka síu sem gleypir í gegn ljósi frá glóandi vetni.
Black Hole Hunters Set New Distance Record	Stjörnufræðingar í svartholaleit setja nýtt fjarlægðarmet
Astronomers using ESOs Very Large Telescope have detected, in another galaxy, a stellar-mass black hole much farther away than any other previously known.	Stjörnufræðingar hafa með hjálp Very Large Telescope ESO fundið svarthol í annarri vetrarbraut og er það því fjarlægasta svarthol sem fundist hefur.
With a mass above fifteen times that of the Sun, this is also the second most massive stellar-mass black hole ever found.	Svartholið er líka næst massamesta svarthol sem menn hafa fundið hingað til eða fimmtán sinnum massameira en sólin.
It is entwined with a star that will soon become a black hole itself.	Svartholið er í slagtogi við stjörnu sem sjálf verður svarthol innan tíðar.
The stellar-mass black holes [1] found in the Milky Way weigh up to ten times the mass of the Sun and are certainly not be taken lightly, but, outside our own galaxy, they may just be minor-league players, since astronomers have found another black hole with a mass over fifteen times the mass of the Sun.	Í Vetrarbrautinni okkar eru svarthol með sambærilegan massa og stjörnur [1] um það bil tíu sinnum massameiri en sólin okkar. Þessi svarthol eru þó líklega í léttari kantinum því stjörnufræðingar hafa fundið annað svarthol- okkar vetrarbrautar, sem er meira en fimmtán sinnum massameira en sólin.
This is one of only three such objects found so far.	Hingað til hafa aðeins þrjú sambærileg fyrirbæri fundist.
The newly announced black hole lies in a spiral galaxy called NGC 300, six million light-years from Earth.	Umrætt svarthol tilheyrir NGC 300, þyrilvetrarbraut í um sex milljón ljósára fjarlægð frá jörðinni.
“This is the most distant stellar-mass black hole ever weighed, and its the first one weve seen outside our own galactic neighbourhood, the Local Group,” says Paul Crowther, Professor of Astrophysics at the University of Sheffield and lead author of the paper reporting the study.	„Þetta er fjarlægasta svarthol með sambærilegan massa og stjörnur sem við höfum mælt og eitt hið fyrsta sem við höfum fundið utan Grenndarhópsins sem Vetrarbrautin okkar tilheyrir“ segir Paul Crowther, prófessor í stjarneðlisfræði við Sheffieldháskóla og aðalhöfundur greinar um rannsóknina.
The black holes curious partner is a Wolf–Rayet star, which also has a mass of about twenty times as much as the Sun.	Förunautur svartholsins er Wolf-Rayet stjarna sem er tuttugu sinnum massameiri en sólin.
Wolf–Rayet stars are near the end of their lives and expel most of their outer layers into their surroundings before exploding as supernovae, with their cores imploding to form black holes.	Wolf-Rayet stjörnur eru stjörnur sem nálgast endalok ævi sinnar og varpa ystu efnislögum sínum út í geiminn. Þær springa að lokum þegar kjarni þeirra fellur saman og myndar svarthol.
In 2007, an X-ray instrument aboard NASAs Swift observatory scrutinised the surroundings of the brightest X-ray source in NGC 300 discovered earlier with the European Space Agencys XMM-Newton X-ray observatory.	Árið 2007 kannaði röntgenmælitæki í Swift gervitungli NASA svæðið í kringum björtustu uppsprettu röntgengeislunar í NGC 300 sem XMM-Newton gervitungl European Space Agency hafði áður fundið.
“We recorded periodic, extremely intense X-ray emission, a clue that a black hole might be lurking in the area,” explains team member Stefania Carpano from ESA.	„Frá svæðinu mældist gríðarsterk en lotubundin útgeislun röntgengeislunar sem benti til þess að þar leyndist svarthol“ útskýrir Stefania Carpano frá ESA.
Thanks to new observations performed with the FORS2 instrument mounted on ESOs Very Large Telescope, astronomers have confirmed their earlier hunch.	Nýjar mælingar stjörnufræðinga með FORS 2 mælitækinu á Very Large Telescope ESO staðfesta þetta.
The new data show that the black hole and the Wolf–Rayet star dance around each other in a diabolic waltz, with a period of about 32 hours.	Gögnin sýna að þarna eru svarthol og Wolf-Rayet stjarna sem hringsóla um hvort annað á um 32 klukkustundum.
The astronomers also found that the black hole is stripping matter away from the star as they orbit each other.	Stjörnufræðingarnir komust líka að því að svartholið sýgur til sín efni frá stjörnunni þegar þau ganga um hvort annað.
“This is indeed a very ‘intimate couple,” notes collaborator Robin Barnard.	„Þetta er greinilega mjög náið par“ segir Robin Barnard samstarfsmaður Carpano og Crowthers.
“How such a tightly bound system has been formed is still a mystery.”	„Enn er á huldu hvernig þetta þétta kerfi hefur orðið til.“
Only one other system of this type has previously been seen, but other systems comprising a black hole and a companion star are not unknown to astronomers.	Hingað til hafa menn aðeins fundið eitt sambærilegt kerfi, en önnur kerfi svarthola og fylgistjörnu eru stjörnufræðingum ekki ókunn.
Based on these systems, the astronomers see a connection between black hole mass and galactic chemistry.	Við rannsóknir á slíkum kerfum hafa stjörnufræðingar fundið tengsl milli svarthola og efnasamsetningar vetrarbrauta.
“We have noticed that the most massive black holes tend to be found in smaller galaxies that contain less ‘heavy chemical elements,” says Crowther [2].	„Við höfum tekið eftir því að massamikil svarthol eru einkum í smærri vetrarbrautum sem innihalda þung frumefni í minni mæli“ segir Crowther [2].
“Bigger galaxies that are richer in heavy elements, such as the Milky Way, only succeed in producing black holes with smaller masses.”	„Stærri vetrarbrautir, eins og Vetrarbrautin okkar, innihalda jafnan mikið af þungum frumefnum og mynda fremur massalítil svarthol.“
Astronomers believe that a higher concentration of heavy chemical elements influences how a massive star evolves, increasing how much matter it sheds, resulting in a smaller black hole when the remnant finally collapses.	Stjörnufræðingar telja að mikið magn þungra frumefna hafi áhrif á þróun massamikilla stjarna og auki það efnismagn sem hún sendir frá sér. Þegar stjarnan hrynur að lokum saman myndast fremur létt svarthol.
In less than a million years, it will be the Wolf–Rayet stars turn to go supernova and become a black hole.	Eftir innan við milljón ár verður Wolf-Rayet stjarnan sprengistjarna og að lokum svarthol.
“If the system survives this second explosion, the two black holes will merge, emitting copious amounts of energy in the form of gravitational waves as they combine [3],” concludes Crowther.	„Lifi kerfið þessa seinni sprengingu af munu svartholin sameinast. Við samrunan gefa þau frá sér gríðarlegt magn orku á formi þyngdarbylgna [3]“ segir Crowther að lokum.
However, it will take some few billion years until the actual merger, far longer than human timescales.	Samruninn verður hins vegar ekki fyrr en eftir nokkra milljarða ára.
“Our study does however show that such systems might exist, and those that have already evolved into a binary black hole might be detected by probes of gravitational waves, such as LIGO or Virgo [4].”	„Rannsóknir okkar sýna að slík kerfi tveggja svarthola gætu þegar verið til. Líklega er hægt að finna þau með þyngdarbylgjukönnum eins og LIGO eða Virgo [4].“
Notes	Skýringar
[1] Stellar-mass black holes are the extremely dense, final remnants of the collapse of very massive stars.	[1] Svarthol sem eru álíka massamiklar og stjörnur eru mjög þéttar leifar massamikilla stjarna sem hafa hrunið saman.
These black holes have masses up to around twenty times the mass of the Sun, as opposed to supermassive black holes, found in the centre of most galaxies, which can weigh a million to a billion times as much as the Sun.	Slík svarthol eru upp undir tuttugu sinnum massameiri en sólin okkar öfugt við risasvartholin sem eru í miðjum flestra vetrarbrauta. Þau geta verið nokkrar milljónir eða nokkrir milljarðar sólmassar.
So far, around 20 stellar-mass black holes have been found.	Hingað til hafa menn fundið í kringum 20 sólmassa svarthol.
[2] In astronomy, heavy chemical elements, or “metals”, are any chemical elements heavier than helium.	[2] Í stjörnufræði eru þung frumefni eða „málmar“ öll frumefni þyngri en helíum.
[3] Predicted by Einsteins theory of general relativity, gravitational waves are ripples in the fabric of space and time.	[3] Þyngdarbylgjur eru gárur í tímarúminu sem almenna afstæðiskenning Einsteins spáir fyrir um.
Significant gravitational waves are generated whenever there are extreme variations of strong gravitational fields with time, such as during the merger of two black holes.	Stórar þyngdarbylgjur verða til þegar miklar breytingar verða á sterku þyngdarsviði með tíma eins og við samruna tveggja svarthola.
The detection of gravitational waves, never directly observed to date, is one of the major challenges for the next few decades.	Þyngdarbylgjur hafa aldrei mælst beint hingað til en er eitt mikilvægasta markmið stjarnvísindamanna næstu áratugi.
[4] The LIGO and Virgo experiments have the goal of detecting gravitational waves using sensitive interferometers in Italy and the United States.	[4] Markmið LIGO og Virgo verkefnanna er að mæla þyngdarbylgjur með næmum víxlmælum á Ítalíu og í Bandaríkjunum.
The Stars behind the Curtain	Stjörnurnar á bakvið tjöldin
ESO is releasing a magnificent VLT image of the giant stellar nursery surrounding NGC 3603, in which stars are continuously being born.	ESO hefur birt glæsilega mynd VLT af risastóru stjörnumyndunarsvæði í kringum NGC 3603 þar sem stjörnur eru stöðugt að myndast.
