No more murders!	Ekki fleiri morð!
There's more dolls in here.	Það eru fleiri dúkkur hérna.
They call them nesting dolls.	Þær kallast babúskur.
You want to sit down?	Viltu setjast?
We can start the meeting.	Við getum byrjað fundinn.
There's more dolls.	Það eru fleiri dúkkur.
I put this on top of this doll.	Ég set þessa dúkku ofan á þessa.
I just have to see. I have to get to the bottom of it.	Ég verð að komast til botns í þessu.
You're kidding me.	Þú ert að grínast.
Okay, why don't we start the meeting?	Eigum við ekki að hefja fundinn?
You're not going to tell me that goes again.	Það er þó ekki önnur hérna.
What's that?	Hvað sagðirðu?
Guys, there's another one.	Strákar, það er ein enn hérna.
Where can I pick one of these up?	Hvar get ég keypt svona?
I'm not sure.	Ég veit það ekki.
Want to sit down?	Viltu setjast?
We can get going.	Við getum byrjað.
I'm going to jump in here and do this.	Ég ætla að hlamma mér hérna.
Let's make party out of this thing, right?	Höfum þetta fyrir partí.
Uh-huh. All right.	Hér eru handbækur.
My name is Evan.	Ég heiti Evan.
I want to thank you all for coming... and I thought we 'd start out by just getting to know each other.	Ég vil þakka ykkur öllum fyrir að mæta og við getum byrjað á að kynnast.
Maybe we each stand up, say who we are... why we joined up, what it's all about for us, okay?	Við gætum staðið upp hver fyrir sig og kynnt okkur og sagt frá hvers vegna við viljum taka þátt í þessu.
You have any beers while we get acquainted?	Áttu bjór meðan við erum að kynnast?
Beers?	Bjór?
No, no beers.	Nei, engan bjór.
All right, I'll start this off.	Jæja, ég skal byrja.
My name is Bob, with a Welcome, Bob.	Ég heiti Bob með bé. Velkominn, Bob.
I love the town.	Ég elska bæinn.
I love my wife, I love my daughter.	Ég elska konuna mína og dóttur mína.
And I love getting a chance to hang with the guys.	Og það er frábært að fá að vera með ykkur.
So, I'm really into what you're doing here.	Ég er mjög spenntur fyrir því sem þið eruð að gera.
Once a week, away from the wife and kids.	Að komast frá konunni og krökkunum einu sinni í viku.
Telling some dirty jokes, having some beers, if we're good.	Segja klúra brandara, drekka bjór ef við erum þægir.
I really look forward to getting a chance at tearing this shit up.	Ég hlakka til að fá tækifæri til að hafa það fjörugt.
Really fucking it up.	Rosalegt fjör.
Thank you, Bob.	Takk, Bob.
Really great to meet you, bub.	Gaman að hitta þig.
You, too, pal. Uh...	Þig líka, félagi.
That was a great speech.	Þetta var góð ræða.
I'm Franklin.	Ég heiti Franklin.
Welcome, Franklin. Yeah.	Velkominn, Franklin.
A few years ago, I dropped out of high school.	Ég hætti í skólanum fyrir nokkrum árum.
I wasn't feeling the vibe.	Ég var á annarri bylgju.
I wanted to become a member of the Glenview Police Department.	Ég vildi komast í lögregluliðið í Glenview.
I guess they didn't see the magic that was me.	Þeir sáu líklega ekki töfrana mína.
Apparently, I didn't pass the written exam... or the physical exam, or the mental health exam.	Ég náði víst ekki skriflega prófinu eða því líkamlega og heldur ekki því andlega.
Whatever that means.	Hvað sem það þýðir.
So, here I am with this vigilante squad.	Svo hér er ég í þessu sjálfskipaða liði.
No, not a militia or a vigilante squad.	Nei, ekki þjóðvarðlið eða löggæslusveit.
Every group needs a wild card... and I think it's safe to say we found ours.	Allir hópar þurfa óþekkta stærð og ég held að hún sé fundin.
I dig it.	Ég er sáttur.
Thank you, Franklin.	Takk, Franklin.
You got a good one here.	Hér hefurðu góðan mann.
What are you about?	En hvað með þig?
Hello, my name is Jamarcus.	Sælir, ég heiti Jamarcus.
I'm recently very happily divorced... and just looking to get more involved in the local community.	Ég er hamingjusamlega nýskilinn og langar að taka meiri þátt í félagsstörfum.
Well, that was simple.	Það var einfalt.
Welcome, Jamarcus.	Velkominn, Jamarcus.
Best call the Neighborhood Watch.	Besta að hringja í nágrannavaktina.
I show up, look heroic and then, get this...	Ég birtist eins og hetja og hvað haldið þið?
She sucks my balls.	Hún sleikir á mér punginn.
Hear me now.	Þess vegna er ég hér.
I'm also interested in that happening to me.	Ég hef líka áhuga á að lenda í því.
Okay, well, Jamarcus, Bob, Franklin.	Jæja, Jamarcus, Bob, Franklin.
I guess it doesn't matter what brought us all here.	Það er víst sama hvers vegna við erum hér.
What matters is that we're all united in one cause.	Það sem máli skiptir er að við sameinumst um málstaðinn.
And, with that, I would like to welcome you all to the first official meeting of... the Neighborhood Watch. Yay!	Og þar með býð ég ykkur velkomna á fyrst fund... nágrannavaktarinnar.
Now, I've taken the liberty... of dividing Glenview into 12 sectors.	Ég leyfði mér... að skipta Glenview í 1 2 svæði.
Though some might argue there are 13... if you abide by the Yorktown Zoning Commission ruling.	Þótt sumir myndu segja að þau væru 1 3 ef farið er eftir úrskurði Yorktown svæðanefndarinnar.
I'm not buying it, but I'm not from Honeywell County. Thank God.	Ég ekki samþykkur, en ég er ekki frá Honeywell-sýslu, Guði sé lof.
I'm sorry to be the squeaky wheel... but it feels like you have a lot of dense material... that you're starting to go through here.	Fyrirgefðu ef það ískrar í mér en mér sýnist þetta vera mikið efni sem þú ætlar að fara yfir.
And to be honest with you, my house is about five blocks away... and I just fixed her up.	Og satt að segja er stutt heim til mín og ég er nýbúinn að gera endurbætur.
Gentlemen, I got drinks, I got La-Z-Boys, I got flat screens.	Herrar mínir, ég býð drykki, ég hef LazyBoy-stóla og flatskjái.
I got the whole nine.	Þar er allt til reiðu.
I know you guys are going to love it.	Ég veit þið verðið hrifnir.
I just want to throw it out there.	Þetta er bara tillaga.
If I'm overstepping, just say the word... and you're not going to hear another squeak from this little wheel.	Segðu bara til ef ég geng of langt og þú heyrir ekki annað ískur héðan.
Well, honestly...	Satt að segja...
That sounds a fuck-load better than this.	Það hljómar miklu betur en þetta.
No offense.	Engin móðgun.
I don't even know why I'm still sitting here.	Ég veit ekki af hverju ég sit hér enn.
I'm going to go warm up the car.	Ég fer og ræsi bílinn.
You're going to love this place.	Þið verðið hrifnir.
It's awesome.	Húsið er æðislegt.
Gentlemen...	Herrar mínir.
Welcome to paradise. Oh, yes.	Velkomnir í paradís.
I'm a construction manager, and... I built this little slice of heaven with my own two hands.	Ég er byggingaverktaki og ég byggði þessa dásemd með eigin höndum.
It's so nice. I love it.	Þetta er svo fínt.
I'll set up over there.	Ég set upp hérna.
It feels like this chair is inside me, Robert. That is the best $ 2,300 I ever spent. It's like Toys "R "Us for your ass and back.	Það er eins og stóllinn sé inni í mér. sem er eins og leikfangabúð fyrir rassinn og bakið.
It feels like a thousand little baby wizards are massaging my ass cheeks... with their little baby wands.	Það er eins og þúsund litlir álfar nuddi á mér rasskinnarnar.
No poison.	Ekkert eitur.
Scotch and yes.	Viskí og já.
No.	Nei.
Scotch and yes! We got a lot of ground to cover and we're already an hour behind.	Við þurfum að fara yfir mikið efni og við erum klukkustund á eftir áætlun.
So, why don't we just dig in and then we can get to whatever afterwards? Guitar.	Eigum við ekki að skella okkur í það og snúa okkur að hinu á eftir?
Come on, Evan, we're just bonding a little bit.	Svona, Evan, við erum bara að kynnast.
Tell me about yourself.	Segðu mér frá þér.
I know you got a wife.	Ég veit að þú ert kvæntur.
Do you have any kids?	Áttu börn?
How old?	Hve gömul?
Uh, zero years old.	Núll ára gömul.
No kids.	Engin börn.
That's a shame.	Það er synd.
I couldn't imagine my life without my little Chelsea.	Ég gæti ekki hugsað mér lífið án Chelsea minnar.
Being a parent is unbelievable.	Það er ótrúlegt að vera faðir.
That's great.	Það er frábært.
Dad, can I go to a movie at 11?	Pabbi, má ég fara í bíó klukkan 1 1?
Hell, no!	Andskotinn, nei!
It's a weeknight!	Ekki í miðri viku!
But Mandy and Judy are going. Mandy?	En Mandy og Judy fara. Mandy?
Thank you for proving my point.	Takk fyrir að sanna mál mitt.
Mandy's dead weight, she's a succubus. I told you that.	Ég sagði þér að Mandy væri byrði, hún er undirlægja.
Dad, I'm trying to talk to you like an adult, and you just...	Ég er að reyna að tala við þig eins og fullorðin manneskja og þú...
Don't want to listen!	Vil ekki hlusta!
Get up there and do your homework.	Einmitt svo farðu upp að læra.
Are you serious?	Í alvöru?
I fucking hate it here.	Ég þoli ekki að búa hér.
I fucking love it here!	Ég dýrka að búa hér!
That's my little princess. That's my little angel, Chelsea.	Þetta er litla prinsessan mín. Engillinn minn hún Chelsea.
I'm sorry I didn't get a chance to introduce you guys.	Fyrirgefið að ég náði ekki að kynna ykkur.
How about some drinks?	Hvað með drykki?
Fresh horses for my men.	Fersk glös fyrir mína menn.
Yes, thank you.	Já, takk.
Get in there, Frankfurter! Yeah. No.	Bjargaðu þér, Frankfurter.
Come on, Evaroo.	Komdu, Evaroo.
No, thanks.	Nei, takk.
You'll be bummed if you don't.	Annars verðurðu leiður.
Can I interest anyone in some finger foods?	Vill einhver fingramat?
I got to order some pies up in this thing, right?	Ég þarf að panta bökur.
Okay, you know what? You guys got your own thing going on there. I am going to put up some fliers.	Jæja, þið eruð uppteknir af ykkar málum svo ég fer að setja upp tilkynningar.
Come on, have one drink. No?	Komdu og fáðu þér drykk.
Okay.	Sjáumst seinna.
See you tomorrow night.	Já, sjáumst annað kvöld.
Same Bob time. Same Bob place.	Á sama Bob-tíma og sama Bob-stað.
Hey, fella!	NÁGRANNAVAKT EF ÞÚ SÉRĐ EITTHVAĐ, SEGĐU EITTHVAĐ Heyrðu!
What are you doing?	Hvað ertu að gera?
There you are.	Þarna ertu.
1162 Jerome Park Drive.	Jerome Park Drive 1 1 62.
Excuse me?	Hvað?
I'm 1157 Jerome Park Drive.	Ég bý á Jerome Park Drive 1 1 57.
Name's Paul.	Ég heiti Paul.
Oh. Oh, sorry.	Ég var að flytja inn.
I'm Evan, hi.	Fyrirgefðu.
Evan.	Ég heiti Evan.
Evan Trautwig, subscriber to Men's Fitness.	Evan Trautwig áskrifandi að Líkamshreysti Karla.
Oh, yeah, that's mine.	Já, ég á þetta.
Thank you.	Takk fyrir.
Not that you need it.	Ekki að þú þarfnist þess.
Excuse me?	Hvað þá?
You got the body of a decathlete, Evan.	Þú hefur líkama tugþrautarmanns.
And you got great skin.	Og þú hefur mjög góða húð.
You live here alone in this big old house?	Býrðu einn í þessu gamla húsi?
No, I live with my wife.	Ég bý með eiginkonunni minni.
My female wife, Abby.	Kvenkyns eiginkonu, henni Abby.
I'm going to go inside now. Mmm.	Nú fer ég inn.
All right, Evan Trautwig, nice to meet you.	Gaman að kynnast þér, Evan Trautwig.
Stay fit.	Haltu þér í formi.
Evan Trautwig!	Evan Trautwig!
It was really cute.	Það var svo sætt.
We all got our own puff paints... and made these little customized onesies.	Við fengum allar fataliti og við bjuggum til litla samfestinga.
Wow. So, you started another club.	Svo þú stofnaðir enn einn klúbbinn.
No, it's not a club.	Það er ekki klúbbur.
It's a task force of concerned citizens.	Það er lið áhyggjufullra bæjarbúa.
I went to the Spartan's game and made a speech.	Ég fór á leikinn og hélt ræðu.
And the community really responded.	Og samfélagið brást vel við.
Guess who peed on an ovulation stick on the plane?	Gettu hver pissaði á egglosprufu í flugvélinni?
You?	Þú?
It's kind of faint, but I think there's two pink lines.	Það er dauft en mér sýnist vera tvær bleikar línur.
Yeah?	Er það?
I can't tell.	Ég sé þær ekki.
Well, I think we should do it anyway.	Við skulum samt gera það.
I would love to do it.	Mig myndi langa það.
Just to be safe. Mmm.	Bara til öryggis.
Mmm. But I got to go meet the Neighborhood Watch guys for a patrol.	Ég verð að fara í eftirlitsferð með strákunum á vaktinni.
Evan, you promised.	Þú lofaðir því, Evan.
I know, but I also promised Antonio's family that I would catch his killer.	En ég lofaði líka fjölskyldu Antonios að finna morðingja hans.
I made a vow. Okay, okay.	Ég sór þess eið.
It's a great group of guys.	Þetta eru fínir strákar.
Really. I'm very excited.	Ég er mjög spenntur.
Here we go.	Hérna.
Badass jackets for the Watch.	Rosalegir jakkar fyrir vaktina.
I went to the mall this morning and I had them made up.	Ég lét sauma á þá í klasanum í morgun.
Get them while they're hot.	Fáið ykkur meðan þeir eru heitir.
Let's do it.	Gerum það.
All right, Bob, this is great.	Nöfnin ykkar eru á þeim. Þetta er flott, Bob.
What happened to my logo?	Hvað varð um merkið mitt?
This is just like your initial logo, only now it's awesome.	Þetta er alveg eins og það nema nú er það rosalegt.
This has nothing to do with my original logo.	Þetta er ekkert líkt því.
My logo was an eye that was watching over the neighborhood.	Mitt merki var auga sem vaktaði hverfið.
I don't know what this is.	Ég veit ekki hvað þetta er.
A tiger with wings?	Tígrisdýr með vængi?
Exactly.	Nákvæmlega.
This is a tiger, who's fierce and sleek.	Þetta er grimmt og glæsilegt tígrisdýr.
But it's got wings, so it flies above the neighborhood.	En það er vængjað svo það flýgur yfir hverfið.
And if it sees a domestic problem, it kills it.	Og ef það sér heimilisvandamál drepur tígrisdýrið það.
The other thing is, your original one is here.	Upprunalega merkið þitt er hérna.
Weird, how?	Hvernig skrýtið?
What are we, the Flaming Tigers?	Erum við tígrisdýrin logandi?
This is inspiring for the Watch.	Þetta er hvetjandi fyrir vaktina.
Whenever you have a tiger, flames and wings, all on the same logo... it's like the Chinese symbol for "Shut the fuck up and dance!"	Þegar tígrisdýr, logar og vængir eru í sama merkinu er það eins og kínverskt tákn fyrir: "Haltu kjafti og dansaðu."
This is inspiring for the Watch. I don't know.	Þetta er hvetjandi fyrir vaktina.
What, are we in a doo-wop group?	Erum við í blús-sönghóp?
Are we're going to stand over a garbage can with fire and harmonize?	Eigum við að standa yfir logandi öskutunnum og radda lög?
I would see this doo-wop group.	Ég myndi sjá þann sönghóp.
They're like ass collectors.	Þeir eru eins og píkusafnarar.
This is not about fashion.	Þetta snýst ekki um tísku heldur bræðralag.
This is about brotherhood.	Það snýst um samstöðu.
You should get that more than anybody.	Þú ættir að skilja það manna best.
He's actually right.	Það er rétt.
Can I just say, Bob, that these are the shits?	Má ég bara segja, Bob að þetta er magnaðra.
Just "the shit."	Bara "magnað".
These are just shit.	Þetta er bara magnað.
Okay, you know what?	Allt í lagi þá.
Fine, I'll wear it.	Ég skal vera í jakkanum.
But you have to promise me that tonight... we're actually going to do something. Okay?	En þið verðið að lofa að í kvöld gerum við eitthvað í alvöru.
Absolutely.	Algjörlega.
For sure. Gentlemen, we're part of more than a club.	Herrar mínir, þetta er meira en klúbbur.
Neighborhood Watch. One, two, three.	Nágrannavaktin, einn, tveir, þrír.
Neighborhood Watch.	Nágrannavaktin.
Yeah, this is boring.	Þetta er fúlt.
Franklin's right.	Já.
We're not going to sit here all night, are we?	Við ætlum þó ekki að sitja hér í alla nótt?
Yeah, guys, we are, if we need to.	Jú, ef þess þarf með.
It's a stakeout.	Þetta er umsátur.
I don't mean to sound childish, but I do have to pee.	Ég vil ekki vera barnalegur en mér er mál að pissa.
You should have peed earlier.	Þú áttir að gera það áður.
I'm sorry, as an adult, you're just going to have to hold it.	Þú verður bara að halda í þér eins og fullorðinn maður.
How are you doing, Jamarcus?	Hvernig hefurðu það, Jamarcus? Tilbúinn.
Ready. I still have to pee.	Mér er ennþá mál.
The liquid comes in, the liquid's got to come out.	Vökvi kemur inn, vökvi fer út.
I got to piss.	Ég verð að pissa.
Why don't you just pee in this? Oh, great.	Af hverju pissarðu ekki í þetta?
That's a good idea.	Góð hugmynd.
Don't pee in that.	Ekki pissa í þetta.
I'm mounting up to piss.	Ég er að undirbúa mig.
No, you're not going to pee in a can.	Nei, þú pissar ekki í dós.
Why not? No, Bob.	Af hverju ekki?
I've always done that shit.	Opnaðu dyrnar. Ég hef oft gert þetta á ferðalögum.
Piss out the door.	Pissaðu út um dyrnar.
And blow our stakeout position?	Og koma upp um umsátrið?
You're not going to pee in a can.	Þú pissar ekki í dós.
I 'd never hear the end of it from you if I blew our stakeout position.	Þú myndir aldrei þagna ef ég kæmi upp um okkur.
There's no shot.	Það kemur ekki til greina.
I got to mount up.	Ég verð.
I'm mounting up.	Ég geri það.
Tell him.	Segðu honum það.
It's incredibly controlled, Evan.	Hann hefur rosalega góða stjórn.
It's like he's threading a needle.	Eins og hann þræði nál.
I know I'm okay because I can feel the steel right around the tip.	Ég veit það því ég finn stálið á broddinum.
I've got the mushroom pushed right against the cold steel.	Ég þrýsti oddinum upp að köldu stálinu.
Bob, hit me with a beat.	Bob, gefðu mér takt.
That was a good idea.	Þetta var góð hugmynd.
Would you be a pal and hold this for me? Oh, come on!	Viltu vera svo góður að halda á þessu?
That's enough.	Nú er nóg komið!
I'm busting your chain!	Ég er að stríða þér!
Hey, did I miss anything while I was pissing?	Missti ég af einhverju meðan ég var að pissa?
You know what?	Veistu hvað?
He's right.	Það er rétt.
That sicko's probably out there right now, staring at us from a distance.	Þessi brjálæðingur er líklega að horfa á okkur úr fjarlægð.
The car's not moving.	Bíllinn er ekki á ferð.
There's not even a key in the ignition.	Lykillinn er ekki einu sinni í. Alveg sama.
Doesn't matter. Franklin, you failed the police test.	Franklin, þú féllst á lögregluprófinu.
Is this illegal?	Er þetta ólöglegt?
I'm going to drink this little, little cervezas.	Ég ætla að drekka þessa litlu "cerveza".
All right, Jamarky-Mark?	Hérna, Jamarky-Mark.
Cannonball coming at you, coming in hot.	Byssukúla að koma á fleygiferð.
Evaroo, you want to hold off?	Viltu bíða, Evaroo?
I don't blame you, you're driving.	Ég álasa þér ekki, þú keyrir.
Put it low, put it between your knees.	Setjið þá milli hnjánna.
Even lower.	Neðar.
I've been here many times, trust me.	Ég hef oft gert þetta.
Act like nothing's going on, you're fine.	Látið bara eins og ekkert sé.
No, officers.	Nei.
We're actually on...	Við erum reyndar...
Neighborhood Watch business.	Nágrannavakt.
Hide your bong, Chucho!	Feldu hasspípuna, Chucho!
Neighborhood Watch is here.	Nágrannavaktin er mætt.
Sergeant, do you remember me?	Manstu eftir mér? Nei.
No. Have I arrested you before?	Hef ég handtekið þig áður?
I'm not so good with faces.	Ég er gleyminn á andlit.
Not good with faces.	Gleyminn á andlit.
You're a cop.	Þú ert lögga.
What do you mean you're not good with faces?	Hvernig geturðu verið gleyminn á andlit?
I don't see the connection.	Ég sé ekki samhengið.
But what I have been seeing are these babies.	En ég hef séð þessar elskur.
How's it been going?	Hvernig hefur gengið?
Good, actually.	Bara vel.
Very good.	Mjög vel.
We thought we 'd start here at the Costco and stake it out for a while.	Við vildum byrja vaktina hér við Costco.
Because as you know, most killers return to the scene of the crime.	Eins og þú veist snúa morðingjar oftast aftur á glæpstað.
Oh, of course they do.	Að sjálfsögðu.
The killer always returns to the scene of the crime.	Morðinginn snýr alltaf aftur á glæpstað.
So, fancy seeing you here, Trautwig.	Hugsa sér að hitta þig hérna, Trautwig.
At the scene of the crime.	Á glæpstað.
I don't know what that means.	Ég veit ekki hvað þú átt við.
It means it's super-suspicious that you're here right now.	Ég á við að það er grunsamlegt að þú sért hér.
And, this one is for putting up 200 fliers without a permit.	Og þessi er fyrir að hengja upp 200 tilkynningar án leyfis.
What?	Hvað?
I'm sorry, guys.	Mér þykir það leitt.
You fellas have a safe night.	Farið varlega í kvöld.
Hit it, Chucho.	Af stað, Chucho.
God damn it!	Andskotinn hafi það!
I know he remembers me.	Ég veit að hann man eftir mér.
He's just messing with my head.	Hann er bara að rugla í mér.
You can't drink in your car any more?	Má ekki lengur drekka í bílnum sínum?
What the hell is this country coming to?	Hvernig er þetta land að verða?
Yes. Of course.	Já, að sjálfsögðu.
Noise complaint at the football field.	Kvörtun um hávaða á fótboltavellinum.
This is it, guys.	Þá er komið að því.
It's our first call. Hell, yeah! Let's roll.	Þetta er fyrsta útkallið Af stað!
Let's do it.	Gerum þetta.
Do you see anything?	Sérðu nokkuð?
We came to help!	Við komum til að hjálpa!
Yolks on you, ass-wipes!	Egg á þig, skíthæll!
Yolks on me?	Egg á mig?
A fucking pun! I'm going to kill this kid.	Andskotans þvaður!
I'm going to kill you.	Ég drep hann.
God damn it!	Ég drep þig! Fjandinn hafi það!
They're getting away, Bob!	Þeir eru að sleppa, Bob!
No, they're not.	Nei.
Because one of us is the founder of the Glenview Running Club!	Því einn okkar er stofnandi skokkklúbbsins í Glenview!
Yeah, you fucked him up, man!	Já, þú tókst í hann, maður!
Who's laughing now, kid?	Hver hlær núna?
I bet you didn't egg-spect to get your ass kicked.	Þú hefur víst ekki búist við að vera barinn.
You throw eggs at people.	Þú kastar eggjum í fólk.
You think that's funny?	Finnst þér það fyndið?
Look at how much pain he's in.	Sjáið hvað hann er sár.
Guess what you learned tonight?	Veistu hvað þú lærðir í kvöld?
You don't mess with the Neighborhood Watch, baby!	Þú ergir ekki nágrannavaktina!
Undefeated!	Ósigrandi!
Look at Evaroo with the high hands.	Sjáið Evaroo með hendur hátt á lofti.
Shit, we got him!	Við náðum honum!
This guys an egger.	Þessi kastar eggjum.
Eggs, huh?	Eggjum?
Yeah, eggs.	Já.
The coward's weapon.	Vopn gungunnar.
It's good you brought him in.	Það er gott að þú komst með hann.
And then he tried to run away on his little skitterboard.	Og svo reyndi hann að flýja á litla hjólabrettinu.
Did you really?	Er það rétt?
Hmm? Get back to the playground, and the monkey bars.	Farðu aftur á leikvöllinn að klifra í rimlunum.
Do you think it's nice to throw eggs at people?	Finnst þér fallegt að kasta eggjum í fólk?
Do you?	Er það?
Answer the question.	Svaraðu spurningunni.
It's rude.	Það er dónaskapur.
It hurts people's feelings, and it hurts their faces.	Þú særir tilfinningar fólks og andlitið á því.
And now, you deal with the consequences.	Og nú tekurðu afleiðingunum.
Homegirl's trying to make an omelet.	Litla stelpan er að reyna að laga eggjaköku.
Look at me.	Líttu á mig.
Look at his face.	Líttu á hann.
Look at him and listen to me.	Líttu á hann og hlustaðu á mig.
Look at him and understand me.	Líttu á hann og skildu mig.
Look at both of us, but understand no one.	Líttu á okkur báða en skildu engan.
Listen to my words and hear his face.	Hlustaðu á mín orð en heyrðu í honum.
Do you think it is funny to throw an egg in somebody's face?	Finnst þér fyndið að kasta eggjum framan í fólk?
You think it's a yolk?	Heldurðu það?
I'll shove a full egg inside your asshole and watch it hatch.	Ég skal reka egg upp í boruna á þér og sjá það klekjast út.
Franklin... Inappropriate.	Franklin... óviðeigandi.
I understand, that's too far.	Ég skil, of langt gengið.
Sorry.	Fyrirgefðu.
She's all yours.	Hún er þín.
Great work.	Gott hjá ykkur.
Here's your bag.	Hér er bakpokinn þinn.
Well, that was super weird.	Þetta var rosalega undarlegt.
Am I under arrest?	Er ég handtekinn?
Of course not.	Auðvitað ekki.
Those guys are a joke.	Þesir náungar eru hlægilegir.
Can one of you guys give me a ride home or something?	Getur einhver skutlað mér heim?
Fuck, no.	Nei, andskotinn.
I'm not a chauffeur, and neither is Chucho over here.	Ég er enginn bílstjóri og Chucho ekki heldur.
Right, buddy?	Er það nokkuð?
Get out of here.	Komdu þér út.
Real nice. Hello?	Fallegt af þér.
Okay. Really hilarious.	Þetta er rosalega fyndið.
Quit screwing around or I'm going to pelt somebody.	Hættu þessum fíflalátum eða ég læt vaða á einhvern.
Screw you.	Fjandinn hafi þig.
I'm out of here.	Ég er farinn.
Leave me alone!	Láttu mig í friði!
We are fucking gods!	Láttu mig í friði!
What did she say, Evan?	Við erum guðir!
You ain't seen nothing yet Come back again.	Hvað sagði hún, Evan?
All the way from London, England.	Alla leið frá London, Englandi!
Put your hands together.	Gefið honum klapp.
Make him feel welcome, everybody.	Takið vel á móti honum.
Now this is Jamarky-Mark.	Þetta er Jamarky-Mark.
Is everyone all right?	Er nokkur meiddur?
Are you guys okay?	Við keyrðum á einhvern.
What?	Hvað?
Was it a kid?	Var það strákurinn?
Evan, did you hit a kid?	Keyrðirðu á strák?
What?	Hvað?
Why did you take your eyes off the road to sing?	Af hverju leistu af veginum til að syngja?
There's beer and piss all over the car.	Bíllinn er útataður í bjór og hlandi.
We can't calm down.	Verið rólegir.
There's open alcohol, we're inebriated.	Slökum aðeins á. Við getum ekki slakað á.
I have weed in my pocket.	Hér eru opnar bjórdósir, við erum fullir, ég er með gras í vasanum.
Evan could get 15 years to life for this.	Evan gæti fengið 1 5 ár til lífstíðardóm fyrir þetta.
What?	Hvað?
Don't worry about that.	Hafðu ekki áhyggjur af því.
This can't happen to me.	Ég trúi ekki að þetta hendi mig.
Here's what we do, we focus on the living.	Við einbeitum okkur að þeim sem eftir lifa.
Just drive us out of here.	Keyrðu burt.
I'm not going to drive away.	Ég keyri ekki burt.
I'm going to see what it is.	Ég ætla að gá hvað þetta er.
Evan? What is it?	Hvað er þetta?
It looks like you just hit some freakishly big fly or something. What the fuck is this thing?	Það lítur út fyrir að þú hafir keyrt á risastóra flugu Hver fjandinn er þetta?
It looks like an octopus tentacle or something.	Það líkist armi af kolkrabba.
All right, I think it's very obvious what happened here, guys.	Ég held að það sé augljóst hvað hefur gerst.
It doesn't matter. Do you know why?	Vitið þið af hverju?
Because no one's going to say shit about this to anybody.	Af því enginn minnist á þetta við neinn.
Because we don't dime on our fellow Neighborhood Watchers, okay?	Því við kjöftum ekki frá félögum okkar á nágrannavaktinni.
Wait a second, I've seen this stuff before.	Augnablik. Ég hef séð þetta áður.
Back at Costco, this was the stuff by Antonio's body.	Í Costco.
Had he just won a Nickelodeon's Kids' Choice award?	Þetta var á líki Antonios.
Franklin, he was dead.	Var hann nýbúinn að vinna krakkaverðlaun? Hann var dáinn.
