Step aside.	Farið frá.
My all-seeing eye has peered into the very heart of China.	Alsjáandi auga mitt hefur séð inn í hjarta Kína.
And I've never seen two people more right for one another than this lovely couple right here, Mulan and Shang.	Engar aðrar manneskjur eiga eins vel saman og þetta yndislega par, Mulan og Shang.
Give it up for them, would you please?	Klappið fyrir þeim.
Now, I command you to proceed at once.	Nú skipa ég þér að gifta þau.
Yes, your greatness.	Já, yðar hágöfgi.
As you command.	Hvað sem þú segir.
Let's get to business.	Kýlum á þetta.
Mulan, do you love Shang?	Mulan, elskarðu Shang?
Of course.	Að sjálfsögðu.
Shang, do you love Mulan?	Shang, elskar þú Mulan?
Yes.	Já.
Moving on. By the power vested in me, by me, I hereby pronounce you husband and wife.	Þá höldum við áfram og ég lýsi því yfir að þið eruð nú orðin hjón.
You got anything to say, Lord Double Chin?	Hefurðu eitthvað að segja um það, Undirhaka lávarður?
Yes, I mean, no.	Já, ég meina nei.
I mean, whatever you say.	Hvað sem þú segir.
And furthermore, I hereby decree that the princesses of the Middle Kingdom, wherever they may be, are released from their vow, and may marry whomsoever they please.	Auk þess lýsi ég því yfir að prinsessurnar þrjár eru lausar undan skuldbindingu sinni og mega giftast hverjum sem þær vilja.
And who pleases them, that's very important.	Einnig verða þeir að vilja þær.
Honey pie. I can't believe I'm back on wake-up duty.	Ástin mín. Ég trúi ekki að ég sé kominn aftur á morgunvakt.
Well, Mulan is happy.	Mulan er hamingjusöm.
If she's happy, I'm happy.	Ef hún er hamingjusöm er ég hamingjusamur.
I did do good, didn't I?	Ég stóð mig vel.
You better get your rest.	Þú skalt hvíla þig.
I think I'm gonna be sick.	Mér er flökurt.
Shang, what are you doing?	Hvað ertu að gera?
Watch and see.	Sjáðu bara.
What is he doing?	Hvað er hann að gera?
It can't be.	Það getur ekki verið.
He's combining the family temples.	Hann er að sameina helgidóm þeirra beggja.
Excuse me, what does that mean exactly?	Hvað þýðir það fyrir mig?
It means... What?	Það þýðir...
It means what?	Hvað þýðir það?
Unfortunately, you get to keep your pedestal.	Því miður færð þú að halda stallinum.
Oh, yeah.	Það var laglegt.
I'm back, baby.	Ég er kominn aftur.
I am back. Yes.	Ég er kominn aftur.
So, this is the famous Mushu?	Svo þetta er hinn frægi Mushu.
Somehow, I pictured you bigger.	Ég hélt að þú værir stærri.
Say what?	Hvað segirðu?
You told him about me? About us?	Sagðir þú honum frá mér og okkur?
I have no secrets from my husband.	Ég leyni engu frá eiginmanninum.
I told him everything.	Ég sagði honum allt.
Everything everything?	Alveg allt?
Can you do this?	Er þetta hægt?
Aren't there rules?	Er það ekki bannað?
Right next to the rules about dressing up like a man and joining the army.	Það er líka bannað að klæðast karlafötum og ganga í herinn.
Well, what do you know?	Hvað haldið þið?
This might work out, after all.	Þetta gæti gengið.
Hey, where's my masseuse?	Hvar er nuddkonan mín?
Saving China gives me knots you wouldn't believe.	Það gerir mann stífan að bjarga Kína.
What about my pedicure?	Hvað með fótsnyrtingu?
Let's get jamming on the toe jam.	Ég er með sveppi.
And somebody heat up some oil.	Hitið olíuna.
I don't know what we're gonna do with it yet, but it's gonna be good.	Ég veit ekki til hvers en við notum hana samt.
Does a hero dragon deserve anything less?	Á hetjudreki eitthvað minna skilið en það?
Your number, sir? ]	Númerið þitt, herra?
[ Thank you. ]	Þökk fyrir.
[ Lot 663.	Gripur 663.
Do I have ten francs?	Hérna. 10 frankar?
Five, then.	Fimm þá.
Five I am bid.	Fimm boðnir.
Six, seven.	Sex, sjö.
Against you, sir, seven.	Gegn þér, herra, sjö.
Eight?	Átta?
Eight once.	Átta einu sinni.
Lot 664: A wooden pistol and three human skulls from the 1831 production of 'Robert le Diable ' by Meyerbeer.	Gripur 664: trébyssa og þrjár hauskúpur af mönnum úr sviðssetningunni á "Robert le Diable" eftir Meyerbeer.
Ten francs for this.	Tiu frankar fyrir þetta.
Ten, thank you.	Tiu, þökk fyrir.
Ten still.	Enn tíu.
Fifteen, thank you.	Fimmtán boðnir.
Fifteen I'm bid. Going at fifteen.	Seldur fyrir fimmtán.
Your number, sir?	Númerið þitt, herra?
Lot 665, ladies and gentlemen a papier-mache musical box in the shape of a barrel-organ.	Gripur 665, herrar minir og frúr.
Attached, the figure of a monkey in Persian robes playing the cymbals.	Pappirsdeigsspiladós í laginu eins og Iirukassi.
This item, discovered in the vaults of the theatre, still in working order.	Þessi gripur fannst i leikhúsinu og er enni lagi.
Showing here.	Hérna.
May I commence at fifteen francs?	Má ég byrja á 15 frönkum?
Fifteen, thank you.	Fimmtán, þakka þér fyrir.
Yes, twenty from you, sir.	Já, 20 frá þér.
Thank you very much.	Kærar þakkir.
Madame Giry, twenty-five.	Frú Giry, 25.
Thank you, madam.	Þakka þér fyrir, frú.
Twenty-five I am bid.	25 eru boðnir.
Do I hear thirty?	Heyri ég þrjátíu?
Thirty.	Þrjátíu.
And thirty-five?	Og Þrjátíu og fimm?
Selling at thirty francs, then...	Seldur á 30 franka.
Thirty once, thirty twice.	Einu sinni, tvisvar.
Sold for thirty francs to the Vicomte de Chagny.	Seldur de Chagny greifa á 30 franka.
Thank you, sir.	Þakka þér fyrir, herra.
[ A Collector's Piece indeed... ]	Ósvikinn safngripur.
[ Every detail ] [ Exactly as she said... ]	Í einu og öllu eins og hún sagði.
Gentlemen?	Herrar mínir?
[ Hear the drums Hannibal comes! ]	Heyrið trumbuslátt og Hannibal kemur.
[ You make my dress too long. ]	Kjóllinn minn er of síður.
[ Sad to return ] [ To find the land we love ] [ Threatened once more ] [ By Roma's far reaching grasp. ]	En sú hryggð aftur að snúa til vors kæra lands. Enn á ný ógnar oss rísakrumla Rómaveldis.
Gentlemen, gentlemen...	Herrar mínir, herrar mínir.
Rehearsals are under way for a new production of Chalumeau's' Hannibal '.	Æfingar standa yfir fyrir nýja sviðsetningu á Hannibal.
Monsieur Lefevre, I am rehearsing!	Ég er að æfa, hr. Lefevre. Hr.
Monsieur Reyer, Madame Giry, ladies and gentlemen please, if I could have your attention?	Reyer, frú Giry, dömur mínar og herrar. Má ég biðja um hljóð?
Thank you.	Þökk fyrir.
As you know, there have been rumours of my imminent retirement. I can now tell you that these were all true and it is my pleasure to introduce you to the two gentlemen who now own the Opera Populaire Monsieur Richard Firmin and Monsieur Gilles André.	Kvittur hefur verið á kreiki um yfirvofandi starfslok mín. Ég get sagt ykkur að það er á rökum reist og það er mér ánægjulegt að kynna fyrir ykkur herramennina tvo sem eiga núna óperuhúsið, hr. Richard Firmin og hr. Gilles Andre.
I'm sure you have read of their recent fortune amassed in the junk business.	Þið hafið lesið um hagnað þeirra í draslbransanum.
Scrap metal, actually.	Reyndar brotajárni.
They must be rich.	Þeir hljóta að vera ríkir.
And we are deeply honoured to introduce our new patron.	Okkur er það mikill heiður að kynna nýjan velgjörðarmann.
The Vicomte de Chagny.	Greifann af de Chagny.
It's Raoul.	Þetta er Raoul.
Before my father died at the house by the sea I guess you could say we were childhood sweethearts.	Áður en pabbi minn dó, í húsinu við hafið. Það má segja að við höfum verið kærustupar í æsku.
He called me Little Lotte.	Hann kallaði mig Lottu litlu.
Christine, he's so handsome.	Mikið er hann myndarlegur.
My parents and I are honoured to support all the arts, especially the world renowned Opera Populaire.	Okkur foreldrum mínum er heiður að því að styrkja listastarfsemi, Einkum hið heimsþekkta Opera Populaire.
Gentlemen, Signora Carlotta Giudicelli, our leading soprano for 5 seasons now. Bravo!	Ungfrú Carlotta Giudicelli, aðalsópransöngkona sl. 5 ár.
Signor Ubaldo Piangi.	Herra Ubaldo Piangi.
An honour, signor.	Heiður, herra.
He wouldn't recognise me.	Hann vildi ekki þekkja mig.
He didn't see you.	Hann sá þig ekki.
If you please.	Verið svo væn að koma.
Monsieur.	Herra.
We take particular pride in the excellence of our ballet, messieurs.	Við erum sérlega stolt af ballettflokknum, herrar mínir.
I see why.	Ég skil það.
Especially that little blonde angel.	Einkum af þessum litla, ljóshærða engli.
My daughter: Meg Giry.	Dóttir mín, Meg Giry.
And that exceptional beauty, no relation, I trust?	Engin tengsl við þessa friðleiksstúlku, vænti ég.
Christine Daae.	Christine Daae.
Promising talent, Monsieur Firmin.	Efnileg, hr. Firmin.
Very promising.	Afar efnileg.
Daae, did you say?	Sagðirðu Daae?
No relation to the famous Swedish violinist?	Ekki skyld hinum þekkta sænska fiðluleikara?
His only child.	Einkabarn hans.
Orphaned at 7 when she came to the ballet dormitories.	Varð munaðarlaus 7 ára þegar hún kom til ballettflokksins.
An orphan, you say?	Munaðarlaus?
I think of her as a daughter also.	Hún er mér líka sem dóttir.
Gentlemen, if you would kindly stand to one side.	Herrar mínir, viljið þið vera svo vænir að fara frá?
[ Hannibal's friends! ]	Vinir Hannibals.
Not on my dress!	Ekki á kjólinn minn.
[ The trumpeting elephants sound ] [ Hear, Romans, now and tremble! ]	Fílanna ferlega öskur ykkur Rómverjum skjóti skelk í bringu.
[ Hark to their step on the ground ] [ Hear the drums! ]	Heyrið þungt þramm þeirra og trumbunnar slátt.
[ Hannibal comes! ]	Hannibal kemur!
All day!	Allan liðlangan daginn!
All they want is the dancing!	Þær vilja bara dansa.
Well, the Vicomte is very excited about tonight's gala.	Greifinn er afar spenntur út af sýningunni í kvöld.
Allora, allora, allora.	Jæja, einmitt það.
I hope he is as excited by dancing girls as your new managers because I will not be singing!	Vonandi verður hann jafnhrifinn af dansmeyjunum og nýju stjórnendurnir af því að ég mun ekki syngja!
I'm finished.	Ég er hætt.
Get my doggy, bring my doggy.	Komið með hundinn. Bless.
What do we do?	Hvað gerum við þá?
Grovel.	Dekstrið hana, dekstrið.
I'm going now.	Ég er farin.
It is finished.	Þetta er búið. Heimsþekkta, fagra söngkona.
Princess.	Prinsessa.
Beautiful diva.	Fallega söngkona.
Yes!	Já.
But, no!	En, nei.
Monsieur Reyer?	Reyer?
Lf my diva commands.	Ef söngkonan mín skipar svo fyrir.
Yes, I do.	Já, ég vil það.
Oh my God, signora!	Guð minn góður, ungfrú!
Lift it up!	Lyftið því!
He's here.	Hann er kominn.
The Phantom of the Opera.	Óperudraugurinn.
Signora, are you all right?	Ertu ómeidd, ungfrú?
Buquet! For God's sake, man, what's going on up there?	Hvað gengur á þarna uppi, í öllum bænum?
Please, monsieur, don't look at me as God's my judge, I wasn't at my post.	Ekki horfa á mig, herra. Ég var ekki á mínum stað, Guð er mér til vitnis um það.
Please, monsieur, there's no-one there.	Þarna er enginn, herra.
Or if there is... well then, it must be a ghost...	En ef einhver er þarna þá hlýtur það að vera draugur.
Signora, these things do happen.	Ungfrú, svona lagað gerist.
For the past three years these things do happen.	Þetta hefur gerst undanfarin þrjú ár.
And did you stop them from happening?	Og þú komst ekki í veg fyrir það!
No! And you two, you are as bad as him."	Og þið tveir eruð jafnslæmir og hann.
These things do happen! "Until you stop these things from happening, this thing does not happen!	Svona lagað gerist þar til þið komiði veg fyrir að svona lagað gerist!
Amateurs.	Viðvaningar.
Now you see.	Þið sjáið að ég kveð núna.
Bye-bye, I'm really leaving.	Ég er farin.
Gentlemen, good luck.	Gangi ykkur vel, herrar mínir.
If you need me, I shall be in Australia. Signora Giudicelli, she will be coming back, won't she?	Ég verð í Ástralíu ef þið þarfnist mín. Kemur ungfrú Giudicelli ekki aftur?
You think so, monsieur?	Heldurðu það, herra?
I have a message, sir, from the Opera Ghost.	Ég flyt skilaboð frá óperudraugnum, herra.
Oh God in heaven, you're all obsessed!	Drottinn minn dýri, þið eruð öll gagntekin.
He welcomes you to his opera house.	Hann býður ykkur velkomna í óperuhúsið sitt.
His opera house?	Óperuhúsið hans?
And commands that you continue to leave Box Five empty for his use.	Og skipar svo fyrir að stúka 5 verði áfram mannlaus svo hann geti verið þar.
And reminds you that his salary is due.	Nú á hann að fá launin sin.
His salary?!	Launin?
Well, Monsieur Lefevre used to give him twenty thousand francs a month.	Hr. Lefevre borgaði honum 20 þúsund franka á mánuði.
Twenty thousand francs?!	20 þúsund franka?
Perhaps you can afford more, with the Vicomte as your patron?	Kannski hafið þið ráð á meiru úr því greifinn styrkir ykkur.
Madam, I had hoped to make that announcement public tonight when the Vicomte was to join us for the gala.	Ég hafði vonast til að gera þetta heyrinkunnugt í kvöld þegar greifinn átti að mæta á sýninguna.
Obviously we shall now have to cancel, as it appears we have lost our star!	En nú verðum við auðsýnilega að aflýsa sýningunni af því að aðalsöngkonan virðist horfin á braut.
But surely there must be an understudy?	En það hlýtur að vera forfallasöngkona.
There is no understudy for ' La Carlotta '!	Það er engin forfallasöngkona fyrir "La Carlottu ".
A full house, André. We shall have to refund a full house!	Við verðum að endurgreiða gestum sem fylltu húsið, Andre.
Christine Daae could sing it, sir.	Christine Daae getur sungið hlutverkið, herra.
What, a chorus girl?	Dansmeyjan?
Don't be silly.	Enga vitleysu.
She has been taking lessons from a great teacher.	Hún hefur sótt tíma hjá úrvalskennara.
Who?	Hverjum?
I don't know his name, monsieur.	Ég veit ekki hvað hann heitir, herra.
Let her sing for you, monsieur.	Leyfðu henni að syngja, herra.
She has been well taught.	Hún hlaut góða kennslu.
All right.	Gott og vel.
Come on, don't be shy.	Svona nú, vertu ófeimin.
[ Can it be? ]	Getur það verið?
[ Can it be Christine? ]	Er þetta Christine?
Bravo!	Bravó!
[ Long ago, ] [ It seems so long ago... ] [ How young and innocent we were. ]	Svo langt um liðið er, hve ung og saklaus við vorum þá.
[ She may not remember me, ] [ But I remember her. ]	Hún minnist mín kannski ekki en ég minnist hennar.
[ Flowers fade, ] [ The fruits of summer fade... ] [ They have their seasons, ] [ So do we. ]	Fölna blóm og kveður sumar, það lífsins gangur er eins og mönnum hjá.
[ But please promise me, ] [ That sometimes ] [ You will think ] [ Of ] [ Of me... ]	En heit mér því að þú við og við látir hugann til mín reika.
Magnificent!	Stórkostlegt!
Stupendous!	Undravert!
[ Brava, bravísima. ]	Brava, bravissima.
[ Christine, Christine. ]	Christine, Christine.
[ Christine. ]	Christine.
[ Who is your great tutor? ]	Hver er lærifaðir þinn undrasnjalli?
Meg, When your mother brought me here to live...	Meg. Þegar mamma þín kom með mig hingað...
[ Whenever I 'd come down ] [ Here alone ] [ To light a candle ] [ For my father, ] [ A voice, from above... ] [ Ln my dreams, ] [ He was always there. ]	Alltaf þegar ég fór ein hingað niður til að kveikja á kerti fyrir pabba minn, heyrði ég rödd að ofan og ég sá hann alltaf fyrir mér í draumi.
[ You see ] [ When my father lay dying ] [ He told me I would be ] [ Protected by an angel. ]	Þegar pabbi minn lá á dánarbeði Sagði hann ég nyti verndar engils.
An Angel of Music.	Engils hljómanna.
Christine, do you believe?	Ertu trúuð, Christine?
Do you think the spirit of your father is coaching you?	Heldurðu að andi pabba þíns þjálfi þig?
Who else, Meg?	Hver annar, Meg?
Who?	Hver?
[ Here in this room ] [ He calls me softly. ]	Nú er ég syng ég hann skynja og veit hann er hérna Hérna hann kallar mjúklega á mig.
[ Somewhere inside, hiding. ]	Einhvers staðar hérna í felum.
[ Somehow, I know, ] [ He's always with me. ]	Ég veit að hann er alltaf hjá mér.
[ He, the unseen genius. ]	Hann, ósýnilegi snillingurinn.
[ Christine, ] [ You must have been dreaming. ]	Christine, þetta var draumur.
[ Stories like this ] [ Can't come true. ]	Svona sögur geta ekki gerst.
[ Christine, ] [ You're talking in riddles. ] [ And it's not like you. ]	Christine, þú talar í gátum og það er ólíkt þér.
