No, a different one.	Ég á við aðra.
You mean, you've actually been sitting around...... eating sticks of butter from different lands?	Hefurðu virkilega raðað í þig smjörstykkjum frá ýmsum löndum?
The final week before the wedding is do-or-die.	Vikuna fyrir brúðkaupið er að duga eða drepast.
I left something there yesterday. - lt's very important that l- - - l so don't care.	Rétt að skjótast, ég gleymdi dálitlu í gær. Það er áríðandi... Mér er alveg sama.
Go on back. Miss Allen. Oh, hi.	Farðu bara.
Hi.	Ungfrú Allan.
Bit of Honey today?	Er það hunangsdropi í dag?
That's the one I loaded.	Ég er tilbúin með það.
Yes, but just a pre-wedding glow.	Já, en bara léttan blæ fyrir brúðkaupið.
Sure thing.	Auðvitað.
Okay, thanks.	Takk.
Wow. What happened to you?	Hunangsdropi Blóðappelsína Hvað kom fyrir þig?
You look like a traffic cone.	Þú ert eins og umferðarkeila.
Will it fade?	Dofnar liturinn?
Sort of.	Dálítið.
This is three loofahs. is it that bad?	Þetta eru þrjár umferðir.
I don't know.	Ég veit ekki.
I'm surprised I haven't been, you know, sent into my therapist's office.	Ég er hissa að ég hafi ekki verið send til sálfræðingsins.
That's what I've heard.	Ég hef heyrt þetta.
You should have heard me talking...... to the guy who messed up my centerpieces. Oh, gosh. - lt was unbelievable. - lt's one thing after another. Yeah.	Erfitt. Þú hefðir átt að heyra þegar ég talaði við náungann sem klúðraði borðskreytingunni.
Snowballs.	Það var ótrúlegt.
Can I get a bit more low-light?	Það er alltaf eitthvað.
Especially here.	Þetta hleður utan á sig.
Hold that thought.	Já, hérna.
I'm gonna get your color.	Bíddu aðeins, ég sæki litinn.
Just make sure it's not so- Like more gold base.	Sjáðu bara til þess að hann sé gylltari.
Maybe I should take up chanting.	Kannski ég ætti að fara að kyrja.
I think it's kind of- Might be necessary at this time of my life.	Ég held að það sé nauðsynlegt eins og ástandið er. Guð minn góður!
Oh, my God. ls it good?	Er það gott?
Great.	Frábært!
I get to do noth- Okay.	Ég geri ekkert...
I don't know what happened.	Ég veit ekki hvað gerðist.
I gotta let it sit for a day or two.	Það þarf að jafna sig í einn eða tvo daga.
Maybe I'll try to strip it down to white- My hair is blue!	Ég gæti reynt að aflita það... Ég er með blátt hár!
It's blue!	Það er blátt!
I have blue hair! - l'm getting married in a week.	Ég er bláhærð! Ég gifti mig eftir viku.
Congratulations.	Til hamingju.
In a week!	Eftir viku!
A week! liv: Come on, I know you're in here.	Svona, ég veit að þú ert hérna.
Here's your video montage.	Hér kemur myndasýningin.
Oh, yeah.	Já.
Absolutely.	Svo sannarlega.
EMMA: Fletch?	Fletch?
Bug?	Krútt?
Do you have something you need to tell me?	Þarftu að segja mér eitthvað?
Um.... Are we about to have a little orange baby?	Eignumst við bráðum appelsínugult barn?
Apparently we're registered at Babies "R "Us.	Við erum með gjafalista í ungbarnaverslun.
Isn't that nice?	Er það ekki gaman?
Marissa. Where are you?	Hvar ertu, Marissa?
I can barely hear you. - l can't believe you told Emma.	Ég trúi ekki að þú hafir sagt Emmu það.
Whatever.	Ef þú segir það.
You guys, don't get too attached to the dancers.	Ekki vera of hrifnar af dönsurunum.
They're paid to be nice to you.	Þeir fá borgað fyrir að vera indælir.
MAN: All right.	Halló, brúður!
All right. Now, a little birdie has just told me...... that we have a bride-to-be in the house tonight. Over here.	Lítill fugl var að segja mér að hér á meðal okkar væri tilvonandi brúður.
DJ: But she has been a very bad bride.	En hún hefur hagað sér mjög illa.
Officer Not-Your-Husband is here to arrest you!	Lögreglumaðurinn hérna er kominn til að handtaka þig!
AMlE: Get up, girl.	Já. Stattu upp!
You're under arrest for being too sexy.	Þú ert handtekin fyrir að vera of kynæsandi.
Oh, baby.	Ó, elskan.
Time to be frisked.	Ég þarf að leita á þér.
Oh, my goodness.	Hamingjan góða!
Great. Hey!	Frábært!
We got two brides in the house tonight!	Það eru tvær brúðir hér í kvöld.
Hold up. Hold up.	Bíðið við!
We have two brides in the house tonight.	Það eru tvær brúðir hér í kvöld.
Emma, this party is invitation only. - l'm getting married too, baby.	Þetta partí er bara fyrir boðsgesti. Ég er líka að fara að gifta mig!
DJ: Well, I'll invite you right up there.	Þá býð ég þér þarna upp.
DJ Jazzles invites bride number 2 up on stage.	Ég býð brúði númer tvö upp á sviðið.
Why not?	Af hverju ekki?
Come on up here, girl.	Komdu, stelpa!
You can't even let me have my own bachelorette party?	Má ég ekki einu sinni hafa gæsaveisluna mína í friði?
I'm not pregnant. Okay?	Ég er ekki ófrísk.
Now, I know y 'all can do better than that.	Ég veit að þú getur betur.
AMlE: Come on, Liv!	Svona nú, Liv!
Check out bride number two. marissa:	Sjáið brúði númer tvö!
Do it for Acapulco spring break!	Gerðu það fyrir vorfrí á Acapulco!
Light it, Emma!	Kraft í þetta, Emma!
Bride number two, you are the sexiest bride of the night, baby.	Brúður númer tvö, þú ert flottust, elskan.
Give it up for bride number two, y 'all!	Gefið brúði númer tvö gott klapp!
Sorry, bride number one.	Því miður, brúður númer eitt.
You can't win them all, girl.	Maður vinnur ekki alltaf.
It's weird, losing. - l gotta say I'm not loving it.	Ég er ekki mjög hrifin.
No, but you were both so good.	En þið voruð báðar svo góðar.
Yeah, you really got up there and you tried.	Já, þú fórst á sviðið og lagðir þig fram.
Forget it.	Gleymum því.
It's my bachelorette party, right?	Þetta er gæsaveislan mín. Já.
Yes. Good girl.	Dugleg stelpa.
Here you go. - lt's like you read my mind.	Hérna. Þú lest hugsanir mínar.
[ CAR ALARM wailing ] Oh, my God.	Guð minn góður!
Oh, my God.	Legubíll!
Taxi! Taxi.	Leigubíll!
Kevin.	Kevin.
Kevin. I need coffee.	Ég verð að fá kaffi.
Excuse me.	Afsakið.
Excuse me. I need coffee.	Ég verð að fá kaffi.
I need three Advil.	Og þrjár verkjatöflur.
Four waters.	Fjögur vatnsglös.
I was supposed to get it dyed back at 7.	Ég átti að mæta í litun klukkan sjö.
I am looking at the brief dated two weeks ago.	Mitt ágrip er tveggja vikna.
Where is the latest version? - l could have sworn I updated these.	Hvar er nýjasta útgáfan? Ég var viss um að ég hefði uppfært þetta.
Just a second.	Augnablik.
Goddamn it.	Fjandinn hafi það!
Your hair.	Hárið á þér.
Yes, my hair.	Já.
My hair is blue.	Hárið á mér er blátt!
My hair is blue, my wedding's in a week and I'm paying my maid of honor.	Ég gifti mig eftir viku og ég þarf að borga brúðarmey.
Or rather Mr. Colson is.	Eða Colson gerir það.
Maybe I misplaced the brief.	Og kannski týndi ég þessu ágripi!
And, yes, maybe my best friend in the world forever hates me.	Og kannski hatar besta vinkona mín mig!
Hates me.	Hatar mig!
I'm gonna be a bald bride.	Ég verð sköllótt brúður.
It's so not ideal.	Það var ekki draumurinn.
This is who's representing us?	Flytur hún málið fyrir okkur?
Not anymore.	Ekki lengur.
Miss Lerner's off the case.	Lerner starfar ekki lengur við þetta mál.
I'm taking over.	Ég tek við.
No, now look, calm down.	Verið róleg.
I'm gonna get it dyed back.	Ég læt lita það aftur.
Miss Lerner?	Ungfrú Lerner.
You're excused.	Þú mátt fara.
I'm not this girl.	Ég er ekki svona.
I just don't screw up.	Ég klúðra aldrei neinu.
I just don't get demoted.	Ég er ekki svipt málum.
It's like I don't have anybody.	Mér finnst ég ekki hafa neinn stuðning.
I feel so alone. Hey.	Ég er svo einmana.
Babe, I'm right here.	Elskan mín, ég er hérna.
You miss your friend.	Þú saknar vinkonu þinnar.
Especially now.	Sérstaklega núna.
She 'd know just what to say.	Hún gæti róað þig.
I'm mad at her too.	Ég er líka reið út í hana.
She went for the hair.	Hún eyðilagði hárið á mér.
Girlfriends don't do that.	Það gera vinkonur ekki.
You'll fix it.	Þú lagar það.
And if you can't, I love it. I do.	En annars er ég hrifinn af því.
You're like this very tall, very hot Smurf.	Þú ert eins og hávaxin, flott strumpastelpa.
Honey...... it's not just about the hair.	Elskan mín... Það er ekki bara hárið.
I'm mad because maybe she's right.	Ég er reið af því hún hefur rétt fyrir sér.
And it's exhausting having to try to be perfect all the time.	Og það er svo lýjandi að reyna að hafa alltaf rétt fyrir sér.
That's how I held it together ever since I was a kid.	Þannig hef ég varið mig síðan ég var lítil.
I figured nothing- Nothing bad would happen again...... if I was just one step ahead of everything and everybody...... all the time.	Ég hélt að ekkert slæmt henti mig oftar ef ég væri stöðugt skrefi á undan öllu og öllum.
Life isn't perfect, hon.	Lífið er ekki fullkomið.
It's messy.	Það er allt í óreiðu.
You're right.	Það er rétt.
I mean, I was gonna be perfect for you...... but now that you say it's impossible, hey.	Ég vildi vera fullkomin fyrir þig en það er ekki hægt.
You know, you don't have to be perfect.	Þú þarft ekki að vera fullkomin.
I've always wanted a human wife.	Ég vildi mennska eiginkonu.
Yeah, the other ones are just too hard to inflate.	Það er svo erfitt að blása hinar upp.
Hey.	Húðliturinn er næstum orðinn eðlilegur.
Hey.	Já.
I have, like, one layer of skin left, but that should be okay for our wedding.	Það er eitt húðlag eftir en það nægir fyrir brúðkaupið.
So, oops, sorry, Liv.	Fyrirgefðu, Liv.
I wish I had pictures. You know?	Ég vildi að ég ætti myndir af því.
It's like I was up there and there was this spotlight...... and when I hit that rope, oh, my God. Okay.	Ég var á sviðinu í ljósgeislanum og þegar ég greip reipið, Drottinn minn!
Enough, enough, enough.	Hættu, hættu!
I heard this story 1 0,000 times, Emma.	Ég hef heyrt söguna tíu þúsund sinnum.
You've been acting a little wild lately. Okay?	Þú hefur verið dálítið æst og ég er leiður á því.
And I'm tired of it.	Hættu því.
So knock it off. Lately you've been very mad and tense and excited.	Þú hefur verið svo reið og óróleg og spennt að undanförnu.
And you know what? I just don't know how to deal with this.	Ég veit ekki hvernig ég á að bregðast við því.
You have me questioning whether or not...... this is something with the wedding or if this is permanent.	Ég er farinn að velta fyrir mér hvort það sé vegna brúðkaupsins eða hvort þetta sé endanlegt.
Well, Fletcher, it is kind of permanent.	Það er eiginlega endanlegt.
It's possible I might be mad or tense or excited...... more than once in the next 40 years.	Ég get vel reiðst oft eða orðið æst eða spennt næstu 40 ár.
Really?	Virkilega?
Are you upset because of Liv or because I'm having feelings?	Ertu leiður vegna ósættisins við Liv eða af því ég hef tilfinningar?
I can't even talk to you right now.	Ég get ekki einu sinni talað við þig núna!
You haven't tried yet.	Þú hefur ekki reynt það.
Do you realize- -? Do you know how hard this is?	Skilurðu hvað þetta er erfitt?
You have not even tried to ask me about how I'm feeling.	Þú hefur ekki spurt hvernig mér líði.
I'm so confused.	Ég er svo ráðvillt.
I don't even know who you are. All right?	Ég þekki þig ekki einu sinni.
I don't want to talk.	Ég vil ekki tala núna.
It's a tense time.	Við erum spennt.
We're fine. Whatever.	Þetta verður allt í lagi.
I was gonna go to the gym.	Ég ætlaði í ræktina.
Bye.	Bless.
Emma?	Emma?
Emma!	Emma!
[ PHONE rings ] Liv Lerner's office.	Hjá Liv Lerner. Sæll, Kevin.
Hey, Kevin. it's Emma. - ls Liv there? - l'm sorry, can you hold on?	Er Liv þarna? Fyrirgefðu, geturðu beðið? Augnablik...
Just a minute.	Engir veggir.
Sorry. liv: It's my nightmare. - l'm cubicle-ized. - l'm sorry.	Þetta er martröð. Ég er í klefa.
Liv's dealing with a crisis right now.	Liv er að fást við erfitt ástand.
Can we return?	Getum við hringt seinna?
Fine. That's- Yeah.	Allt í lagi.
Okay, I get it.	Ég skil.
Hey! I'm sorry.	Fyrirgefðu.
Who is this?	Hver er þetta?
Hello?	Halló?
Hey.	Já.
I know. lt's my fault.	Það er mér að kenna.
I've been really busy.	Ég hef verið upptekin.
Oh, yeah. Right.	Upptekin, já.
Busy. Nothing to do with the fact that I'm the brother of your archenemy.	Það er alveg óviðkomandi því að ég er bróðir erkióvinar þíns.
I mean, best friend.	Ég meina, bestu vinkonu.
Hey, I have to rent a tux.	Ég þarf að leigja smóking.
You're coming with me.	Þú kemur með mér.
Come on.	Gerðu það.
Come on.	Komdu.
Um.... Okay.	Allt í lagi.
I'm a little surprised. I would have thought a big magazine writer would have his own tux.	Ég hefði haldið að mikils metinn greinahöfundur ætti smóking.
How you doing, Em?	Hvernig hefurðu það?
Hm? How you feeling?	Hvernig líður þér?
Feel fine.	Mér líður vel.
Fine's not really a feeling though.	Vel er samt ekki tilfinning.
Fine's a feeling. I feel fine.	Jú, það er tilfinning.
You could say that.	Mér líður vel.
People say that.	Fólk segir það.
Yeah, sure.	Já, þú getur sagt það.
You can say that.	Jæja þá.
Okay. lt's like....	Það er eins og...
Things are crazy with the wedding and there are all these details...... and, I don't know.	Það er svo mikið að gera við undirbúning brúðkaupsins öll smáatriðin og ég veit ekki.
I had this idea of how it was gonna be in my head, and.... And it's not as much fun as that.	Ég hafði hugsað mér hvernig það yrði og það er ekki jafn skemmtilegt.
And I don't know why.	Ég veit ekki hvers vegna.
But mostly, I am fine.	En annars líður mér vel.
Fix your tie.	Lögum bindið.
I can't look at a tie like this.	Ég get ekki séð það svona.
Yeah.	Já.
Thank you.	Takk.
And, Em, you're gonna make a beautiful bride.	Og Em, þú verður falleg brúður.
Really. Yeah?	Í alvöru?
Yeah. I always thought so.	Já, mér fannst það alltaf.
Thanks.	Takk.
Despite it all, when morning broke on that 6th of June it was the perfect day for a wedding.	6. júní rann upp og þrátt fyrir allt var dagurinn tilvalinn fyrir brúðkaup.
Well, two weddings.	Eða tvö brúðkaup.
T-minus three hours, people.	Þrír tímar til stefnu.
Guard your camps, execute your duties and we may make it out of here alive.	Hver sér um sitt og þá komumst við lifandi frá þessu.
MAN: Incoming, people.	Þau eru að koma.
Roses for Lerner, peonies for Allen.	Rósir fyrir Lerner, bóndarósir fyrir Allan.
This is not a dress rehearsal.	Þetta er ekki æfing.
Amazing.	Ótrúlegt.
She's so weird.	Hún er svo furðuleg.
God, I'm so nervous.	Ég er svo kvíðin.
I don't know why.	Ég veit ekki hvers vegna.
Hey, is the veil supposed to go like that?	Á slörið að vera svona?
Why?	Af hverju spyrðu?
Oh, no. You look fine.	Nei, þetta er fínt.
You know, honestly, the pressure we put on brides these days to look perfect.	Það er svo mikill þrýstingur á brúðum að vera fullkomnar.
It's just ridiculous.	Það er fáránlegt.
You don't have to look your most beautiful on your wedding day.	Maður verður ekki að vera fallegri en nokkru sinni þegar maður giftist.
Okay, everybody?	Er það nokkuð?
Mom?	Mömmur?
You know, if you want my opinion- - Deb, I don't want your opinion. What?	Ef þú vilt heyra mitt álit... Nei, ég vil ekki heyra það.
Can you do that?	Geturðu það?
Yes, I 'd like to.	Já, ég vil gera það.
Then we're good.	Þá skiljum við hvor aðra.
Harpist is Allen, quartet is Lerner.	Hörpuleikarinn fyrir Allan, kvartettinn fyrir Lerner.
How many times do I have to repeat myself?	Hve oft þarf ég að endurtaka það?
Check on the grooms'status and man your battle stations.	Kannið ástand brúðguma og takið ykkur stöðu.
If you're about to jump ship from one wedding, let someone know. Okay.	Láttu vita ef þú vilt fara milli brúðkaupa svo við getum beint athyglinni frá því.
I'm going to Liv's ceremony and Emma's reception.	Ég verð við athöfnina hjá Liv og veisluna hjá Emmu.
More booze.	Meira áfengi.
I'm gonna do a head count of the single guys, and then choose.	Ég kíki á flottu, fullu strákana og svo vel ég veislu.
Good call.	Góð hugmynd.
Allen.	Allan.
Lerner.	Lerner.
Hey, Mr. Allen.	Sæll, herra Allan.
How are you? - l'm good, bud.	Hvernig hefurðu það?
Yes, it is. Yeah.	Það er rétt.
I caught a glimpse of Emma earlier when I was scouting out the enemy camp.	Ég sá Emmu þegar ég var að njósna í óvinaherbúðunum.
She is beautiful, sir.	Hún er gullfalleg.
Thank you, Nathan.	Þakka þér fyrir, Nathan.
You think I could have a word with your sister?	Heldurðu að ég gæti talað við systur þína?
Not about the fight. About something else.	Það er ekki varðandi rifrildið.
Oh, yeah.	Já, auðvitað.
Sure.	Liv. Hæ.
Liv. Hi.	Hr.
Mr. Allen.	Allan.
Oh, Liv.	Ó, Liv.
Wow, your mom and dad would be so proud.	Mamma þín og pabbi væru afar stolt af þér.
Of both of you.	Og af ykkur báðum.
Thank you. Thanks.	Þakka þér fyrir.
I just want to pass on a blessing from our generation.	Ég vil veita ykkur blessun frá minni kynslóð.
We have Scotch. Okay.	Við eigum viskí...
Scotch is good. Okay.	Ég fæ viskí.
We have vodka and tequila.	Við eigum vodka og tekíla.
Tequila, tequila?	Tekíla?
Tequila!	Tekíla!
Tequila.	Tekíla.
Tequila's so trashy.	Tekíla er svo ósmekklegt.
No, no, no.	Nei.
No, no.	Nei, Kevin.
Kevin, listen.	Hlustaðu á mig.
You don't like tequila.	Þér finnst það ekki gott.
Take this to Marion.	Farðu með þetta til Marion.
Tell her I switched the DVDs.	Segðu að ég skipti á diskum.
She needs to play this when Emma walks down the aisle. - l thought we were rising above this. - l know.	Hún verður að spila þennan þegar Emma gengur inn gólfið. Ég hélt að við værum hætt þessu.
We are. Go, go, go.	Flýttu þér!
You'll thank me one day. [ knocking ] - l'll go get that.	Þú átt eftir að þakka mér fyrir þetta.
That's very helpful.	Ég skal fara.
Okay.	Það er gott.
Thank you.	Allt í lagi.
Oh, my God. lt's your parents.	Almáttugur. Það eru pabbi þinn og mamma.
Come on in.	Komið inn.
Look, isn't she a bridal beauty?	Er hún ekki falleg brúður?
She sure is.	Svo sannarlega.
Oh, my gosh. Oh, wow, Mom.	Hamingjan góða.
Oh, my God. ls that my dress?	Er þetta kjóllinn minn?
Are you happy? - l'm happy if you're happy.	Ertu hamingjusöm? Já, ef þú ert hamingjusöm.
Sweetheart, you could get married in a brown paper bag, I wouldn't care.	Mér væri sama þótt þú giftir þig í brúnum poka.
This is your day.	Þetta er þinn dagur.
Oh, boy, I need a tissue.	Mig vantar bréfþurrku.
Oh, my God. I'm gonna cry.	Ég er að fara að gráta.
You're gonna screw up your makeup, honey.	Þú eyðileggur farðann.
I found this when we moved to Boca.	Ég fann þetta þegar við fluttum til Boca.
Dad.	Pabbi.
And I saved it.	Hvað er þetta?
What is it? - l knew there 'd come a day...... to give it to you.	Ég vissi að þetta kæmi sér vel einn góðan veðurdag.
Go ahead. Open it.	Opnaðu það.
In case you need something old or blue.	Ef þig vantar eitthvað gamalt og blátt.
It's really Liv's.	Liv á þetta reyndar.
Well, something borrowed then.	Eitthvað að láni þá.
Daddy, I need to see her.	Ég verð að hitta hana.
I think she feels the same way. [ knocking ] I'll get that.	Ég held að henni líði eins.
Emma, you are the most beautiful bride I have ever seen.	Þú ert fallegasta brúður sem ég hef á ævinni séð.
Ready.	Tilbúin.
Bride one, walking. Bride one, walking.	Brúður númer eitt á leiðinni.
Okay. Okay.	Það er komið að því.
It's time.	Fröken.
Oh, my God. Okay.	Guð minn góður.
Okay. - l'm getting married.	Ég er að gifta mig.
You happy? Uh....	Ertu hamingjusöm?
When I get confirmation on bride one walking...... give video a five count and roll.	Þegar ég sé brúði eitt koma, telurðu upp að fimm og spilar diskinn.
And ready.	Tilbúin.
I'm here with Miguel.	Ég er hér með Miguel.
I love spring break.	Vorfrí er æðislegt!
I want to dance.	Mig langar að dansa!
Go, Emma!	Áfram, Emma!
Go, Emma! Go, Emma! I love being Emma.	Það er æðislegt að vera Emma!
I just want to dance.	Ég vil bara dansa!
[ SCREAMS ] We've been hit.	Við urðum fyrir árás.
Repeat, we've been hit. liv: Emma!	Ég endurtek, árás. Emma! Emma!
Let me tell you something about that tape!	Má ég segja þér hvað gerðist með diskinn!
EMMA: God, you swore!	Þú lofaðir því!
You swore you 'd never show that to anyone.	Þú sórst að sýna engum þetta!
Just let them go.	Láttu þær eiga sig.
Bring it on! liv: Emma!	Komdu bara! Emma!
EMMA: Liv! liv: Let me just tell you something!	Ég vil ekki slást!
EMMA: I don't want to fight!	Ég vil ekki slást!
I just- - lt's over. I can't do this anymore.	Ég get ekki haldið þessu áfram.
I can't do this anymore.	Ég get ekki haldið þessu áfram.
Thank God.	Guði sé lof.
I'm fine.	Það er allt í lagi.
Emma, what the hell are you doing?	Hvað ertu að gera, Emma?
Have you lost your mind?	Ertu orðin brjáluð?
You ruined our wedding.	Þú eyðilagðir brúðkaupið okkar.
You happy now?	Ertu nú ánægð?
She's a bad influence.	Gleymdu vinkonu þinni.
She always has been.	Hún hefur alltaf haft slæm áhrif á þig.
Judging by the DVD, you're more like her than I thought.	Eftir myndinni að dæma líkistu henni meira en ég hélt.
Good.	Gott.
I hope so.	Ég vona það.
Fletcher, you've been my friend for 1 0 years.	Þú hefur verið vinur minn í tíu ár.
I need you to be my friend now and tell me the truth.	Sannaðu það nú og segðu mér sannleikann.
You're in love with a girl that you met 1 0 years ago.	Þú ert ástfanginn af stúlku sem þú hittir fyrir tíu árum.
Hey, what's the matter with that?	Hvað er athugavert við það?
Huh? She's not here anymore.	Hún er ekki lengur hér.
I don't want to spend the rest of my life fighting, Fletch.	Ég vil ekki rífast alla ævi.
Or caving.	Þetta gengur ekki.
Neither do you.	Þú vilt það ekki heldur.
We're different. We want different things.	Við erum ólík og höfum ólíkar langanir.
You know that's true, don't you?	Þú veist að það er rétt, er það ekki?
I knew.	Ég vissi það.
Goodbye.	Vertu sæll.
Emma. I'm fine.	Það er allt í lagi með mig.
This is all my fault.	Þetta er mín sök.
That video was never supposed to happen.	Það átti ekki að sýna þessa mynd.
