Good girl.	Svona, já.
There'll be opportunities to race.	Þar leynast tækifæri í kappreiðum.
The Prefect is celebrating himself with a tremendous circus... and his champion, Messala.	Landstjórinn fagnar sjálfum sér með gríðarlegum leikum og meistara sínum, Messala.
I hope this keeps you warm.	Vonandi yljar þetta ykkur.
Thank you. My love to your family.	Ástarkveðja til fjölskyldunnar.
Good to see you, Simon.	Gott að sjá þig, Símon.
God bless you.	Guð blessi þig.
Esther, what is it?	Hvað er að, Esther?
My husband.	Maðurinn minn.
Oh, I've missed you.	Ég hef saknað þín.
I've missed you so much. Oh, Judah.	Ég hef saknað þín svo mikið.
Judah.	Júda minn.
Judah. Judah. I shouldn't have run.	Ég hefði ekki átt að flýja.
They would have killed you, too.	Þeir hefðu drepið þig líka.
I would have died with my family.	Þá hefði ég dáið með fjölskyldunni.
That's better than being alone with my guilt.	Betra en að lifa ein með sektarkenndinni.
I've filled my life in other ways.	Ég fann lífsfyllingu með öðrum hætti.
By serving others?	Með því að þjóna öðrum?
I've found people to care for.	Ég fann fólk til að hugsa um.
People who care for me.	Fólk sem hugsar um mig.
When I can, I spread the Word.	Ég ber út boðskapinn þegar ég get.
The message of Jesus.	Boðskap Jesú.
That carpenter, he showed you kindness when no one else would.	Smiðsins sem sýndi þér góðvild þegar aðrir litu undan.
I've seen him do acts of grace so small, but so much more than other people do.	Hann hefur gert örlítil góðverk sem skyggja á gjörðir annarra.
Every day for five years I asked myself the same questions. What happened to you?	Á hverjum degi í fimm ár hef ég spurt mig að því sama: Hvað kom fyrir þig?
What happened to my mother and sister?	Hvað varð um móður mína og systur?
Were they crucified?	Voru þær krossfestar?
Where are they buried?	Hvar eru grafir þeirra?
I don't know.	Ég veit það ekki.
Someone must know.	Einhver hlýtur að vita það.
He's become the pride of Roman Judea.	Hann er orðinn stolt Rómversku Júdeu.
He's the commander of the garrison, races chariots in Caesar's name.	Hann stjórnar setuliðinu og keppir á vögnum í nafni Sesars.
You couldn't go near him.	Þú kemst ekki nálægt honum.
You won't go near him.	Þú ferð ekki nálægt honum.
Get up.	Stattu á fætur.
You can't stay in Jerusalem. This isn't the place...	Þú getur ekki verið í Jerúsalem.
I'm staying in a cabin outside the garden gate.	Ég dvel fyrir utan garðhliðið.
I will find a way for us if that's what you still want.	Ég finn leið fyrir okkur ef þú vilt það ennþá.
Wait to hear from me.	Bíddu eftir boðum frá mér.
So, charlatans, religious indoctrinators, holy men.	Jæja... Skottulæknar, trúboðar... og helgir menn.
We will work with local people.	Við vinnum með innfæddum.
We will make arrests.	Við tökum menn höndum.
Anyone who doesn't get the message, we'll find an answer for.	Þeir sem skilja ekki skilaboðin verða þvingaðir til að skilja.
What's this?	Hvað er þetta?
A gift brought by a messenger with an invitation to meet.	Gjöf frá sendiboða ásamt boði um fund.
Meet where?	Hvar?
He said you would know.	Hann sagði að þú vissir það.
Have no fear of the Zealots.	Óttist ekki selótana.
They fight, they disrupt.	Þeir berjast og valda sundrung.
I haven't changed that much, have I, brother?	Hef ég nokkuð breyst svona mikið, bróðir?
What do you want?	Hvað viltu?
Where is my mother and sister?	Hvar eru móðir mín og systir?
They're dead.	Þær eru dauðar.
It was a quick death?	Tók þetta fljótt af?
Where are they buried?	Hvar eru líkin grafin?
You forced my hand, Judah.	Þú neyddir mig, Júda.
You chose the Zealots over me.	Þú valdir selótana fram yfir mig.
Listen Judah, your pride...	Stoltið...
Quickly!	Fljótir.
Surround this house!	Umkringið húsið.
Coward.	Heigull.
Faith brought you back to me. The same faith that kept you alive.	Trúin færði þig aftur til mín. Trúin sem hélt í þér lífinu.
That wasn't faith.	Það var ekki trúin.
Faith wasn't strong enough.	Trúin var ekki nógu sterk.
That was hate.	Það var hatrið.
I became hate.	Hatrið umvafði mig.
That's what kept me alive.	Það hélt í mér lífinu.
Let Messala go.	Gleymdu Messala.
Don't you see we've been given a second chance?	Sérðu ekki að okkur hefur verið gefið annað tækifæri?
Spend it on hatred, then you're still a slave.	Ef þú sóar því í hatur ertu ennþá þræll.
What else do I have?	Hvað annað hef ég?
Me.	Mig.
You have me.	Þú hefur mig.
Messala was down when we entered.	Messala lá niðri þegar við komum inn.
There was at least one man. He escaped over this balcony.	Við sáum einn mann stökkva fram af svölunum.
Were they Zealots?	Voru þetta selótar?
I don't know, Prefect.	Ég veit það ekki, landstjóri.
And at the house of Hur.	Í húsi Húr-fjölskyldunnar.
You were in uniform.	Þú varst einkennisklæddur.
An attack on you is an attack on Rome.	Árás á þig er árás á Rómaveldi.
An example needs to be made.	Við verðum að setja fordæmi.
What's the value of a Jew to a Roman?	Hvert er virði gyðings á móti Rómverja?
Ten to one.	Tíu á móti einum.
Twenty, I would say.	Ég segi frekar tuttugu.
Pull twenty Jews from the streets.	Takið tuttugu gyðinga af götunni.
Execute them in the name of the Emperor.	Takið þá af lífi í nafni keisarans.
And let the people know, Messala, the days of forgiveness are behind them.	Gerum fólkinu það ljóst, Messala, að dagar fyrirgefningar eru að baki.
Five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15, 16...	10, 11, 12, 13, 14, 15, 16...
Marcus! 17, 18, 19.	17, 18, 19.
I have two!	Ég er með tvær hérna.
We have 19!	Við erum með nítján.
Take one, leave the other!	Taktu aðra en slepptu hinni.
Have you been to the hillside?	Fórstu á hæðina?
Have you seen the twenty they've crucified?	Sástu þessa tuttugu sem þeir krossfestu?
What twenty?	Hvaða tuttugu?
There's talk. A Roman attacked at the house of Hur.	Einhver réðst á Rómverja í húsi Húr-fjölskyldunnar.
You did that.	Þú gerðir það.
If people are dead, that's on Rome.	Mannfallið skrifast á Róm.
You tried to kill Messala.	Þú reyndir að drepa Messala.
I told you to stay away from him, Judah.	Ég sagði þér að láta hann vera.
I warned you!	Ég varaði þig við.
I won't let him go unpunished for what he's done to us.	Ég get ekki látið það sem hann gerði okkur órefsað.
I can't. I watched my father be killed.	Ég horfði upp á morðið á föður mínum.
I know what it's like to want to take your feelings out on others.	Ég þekki það vel að vilja hefna mín á öðrum.
They deserve justice for what's happened to them.	Þeir verðskulda refsingu fyrir gjörðir sínar.
There's nothing here for you anymore.	Hér er ekkert fyrir þig að hafa lengur.
Nothing.	Ekki neitt.
Know the world you live in, Judah.	Þekktu heiminn sem þú lifir í, Júda.
The world you live in is Rome's.	Þú lifir í heimi Rómverja.
Their laws.	Þeir setja lögin.
Their power.	Þeir hafa völdin.
You cannot fight them in the streets.	Þú getur ekki barist gegn þeim á götunni.
But there is another way.	En það er önnur leið.
The circus.	Leikvangurinn.
In the circus, there is no law.	Á leikvanginum... gilda engin lög.
There is no right, no wrong.	Þar er ekkert rétt... og ekkert rangt.
What happens there is sport, not vengeance.	Það sem gerist þar kallast íþróttir.
Five years of pain after twenty of privilege, and now you think you know something about suffering.	Fimm erfið ár eftir tuttugu forréttindaár og þú þykist vita eitthvað um þjáningu.
Your situation is not unique, Judah.	Staða þín er ekki einstök, Júda.
Neither are you.	Ekki þú heldur.
My son spoke up for liberation. He was branded a rebel.	Sonur minn studdi frelsið og var kallaður uppreisnarseggur.
Dragged through the streets, his throat slit like a hog.	Hann var dreginn um göturnar og skorinn á háls eins og svín.
I traveled my all Romans must die phase, same as you.	Ég hef sjálfur viljað drepa alla Rómverja eins og þú.
All Romans won't die.	En þeir deyja ekki allir.
They can't die.	Þeir geta ekki dáið.
You can't kill them quickly enough.	Þú getur ekki drepið þá alla nógu hratt.
If Messala is the pride of Rome, take their pride.	Ef Messala er stolt Rómaveldis skaltu svipta þá stoltinu.
Beat him in their circus.	Sigraðu hann á leikvangi þeirra.
Give them a shame they will understand.	Færðu þeim smán sem þeir skilja.
I was accused.	Ég var ákærður.
I'm meant to be dead.	Ég ætti að vera dauður.
They won't let me race.	Þeir leyfa mér ekki að keppa.
They're Romans, Judah.	Þeir eru Rómverjar.
For the right price, they'll let you do anything.	Þeir leyfa þér hvað sem er fyrir réttu upphæðina.
I bring greetings, and congratulations on the opening of your games, Prefect.	Ég færi kveðjur og hamingjuóskir vegna leikanna, landstjóri.
This is a private gathering old man.	Þetta er einkasamkoma, gamli.
Move on.	Snáfaðu.
I'm not here to cause trouble.	Ég vil ekki vera til vandræða.
Same as you, I'm here for the love of sport.	Ég hef áhuga á íþróttinni, eins og þið.
So, where do I have to go to make a bet?	Hvert fer ég til að leggja undir?
What's the wager?	Á hvað viltu veðja?
My chariot.	Vagninn minn.
If that's not enough, how about this?	Ef það nægir ekki, hvað með þetta?
I'll give 3-to-1 odds on all bets.	Ég býð öllum líkurnar 3-1 á móti okkur.
My book is open.	Ég tek við veðmálum.
That's very generous against a strong field.	Rausnarlegar líkur á móti sterkum keppendum.
I'm not betting the field.	Ég veðja ekki gegn öllum hinum.
I'm betting that my driver will be victorious over... Messala.	Ég veðja á að ekillinn minn vinni sigur... á Messala.
A bet like that's not customary.	Það er óvenjulegt veðmál.
And it's not appropriate.	Það er ekki við hæfi.
Not appropriate for who?	Ekki við hæfi fyrir hvern?
All of those citizens who stand to gain when you beat my man?	Alla borgarana sem græða þegar þú sigrar minn mann?
You will beat him, won't you?	Sigrarðu hann ekki örugglega?
He's just a Jew.	Hann er bara gyðingur.
Oh, I'm sorry.	Fyrirgefðu.
I failed to mention that.	Ég gleymdi að minnast á það.
But you've crushed an entire people. I should think crushing one man wouldn't be difficult.	Þið hafið bugað alla þjóðina svo ef þú vilt buga einn mann... verður það varla erfitt.
You're on soft ground.	Þú ert kominn á hálan ís.
My money... against your pride.	Mitt fé... gegn stolti þínu.
Seems even.	Hljómar sanngjarnt.
3-to-1 not enough?	Er 3-1 ekki nóg?
How about 6-to-1?	Hvað með 6-1?
With the agreement, that should my driver cross the line first, any and all claims against him are quit.	Gegn loforði ykkar um það að ef ekillinn minn verður á undan í endamarkið fellið þið niður allar kröfur gegn honum.
Any, and all.	Allar með tölu.
Good.	Fínt er.
I will leave this with you, until the race is settled.	Ég skil þetta eftir hérna þar til eftir kappreiðarnar.
African!	Afríkumaður.
What's the name of the driver?	Hvað heitir ekillinn?
You know his name.	Þú veist hvað hann heitir.
Step forward!	Stígðu fram.
Good.	Gott.
Steady.	Stöðugur.
Okay.	Allt í lagi.
It will get better.	Þetta skánar.
I couldn't see anything.	Ég sá ekki glóru.
In the circus, be aware of the drivers'tricks.	Gættu þín á brellunum þeirra.
Two riders part, suck you in between them, and crush you under their wheels.	Tveir vagnar fjarlægjast, plata þig á milli og kremja þig undir hjólunum.
It's called the gate.	Það kallast "hlið".
I just need to get to Messala.	Ég þarf aðeins að komast að Messala.
Well, you think they're just gonna give it to you?	Heldurðu að þeir geri þér þetta auðvelt?
No. The circus is a blood sport, but it is sport.	Nei, íþróttin er blóðug en íþrótt engu að síður.
There is strategy, and you have to know it.	Þetta krefst leikni sem þú þarft að læra.
Good?	Allt í lagi?
Esther, I need to ask something of you.	Ég vil biðja þig um svolítið.
There's nothing to speak of.	Við höfum ekkert að ræða.
I'm going to race Messala in the circus.	Ég keppi við Messala á leikvanginum.
It's the only way to end this.	Það er eina leiðin til að ljúka þessu.
You always cared deeply for my family.	Þér þótti alltaf vænt um fjölskylduna mína.
If you ever find their graves, bury us together, put us all to rest.	Ef þú finnur grafir þeirra skaltu grafa okkur saman svo við hvílum í friði.
Judah, you can't give up hope.	Ekki gefa upp vonina.
You must believe there's a better way.	Þú verður að trúa á betri leið.
There's none.	Hún fyrirfinnst ekki.
Messala rides like the devil.	Messala ekur eins og djöfulllnn.
He will do whatever he must to win.	Hann svífst einskis til að sigra.
Now, when you cut first, they'll tend to put you up on one wheel. So, you have to learn how to tilt.	Ef þú ert fremstur endarðu oft á öðru hjólinu svo þú verður að læra að halla þér.
It's all about balance, Judah.	Þetta snýst allt um jafnvægi.
It's a dangerous maneuver, of course, but with courage and practice, it can be mastered.	Þetta er auðvitað stórhættulegt en með hugrekki og æfingu nærðu tökum á þessu.
This is the spina.	Þetta er hryggurinn.
This is where I'll be. And I will try to guide you.	Ég verð hérna og reyni að leiðbeina þér.
Now, when the race begins, do not try to take the lead.	Þegar kappreiðarnar hefjast skaltu ekki taka forystuna.
Lay back. Let the other drivers fight for position.	Haltu þig til baka og leyfðu hinum að berjast um stöður.
And the best strategy...	Besta leiðin...
But if I'm in the back, how do I get to him?	Hvernig næ ég honum ef ég er aftastur?
The race will bring him to you.	Keppnin leiðir ykkur saman.
With each successive lap, there will be fewer and fewer chariots.	Með hverjum hringnum... fækkar vögnunum stöðugt.
Which is why it's important for you to stay back.	Þess vegna verður þú að halda þig til baka.
And remember Judah, first to finish, last to die.	Mundu, Júda. Fyrstur í mark... síðastur til að deyja.
She wants you. Messala!	Hún biður um þig.
Calm down.	Rólegir.
You can't race him.	Ekki keppa við hann.
There's no stopping it.	Það verður ekki hjá því komist.
I'm asking you to remember that Judah is your brother.	Mundu að Júda er bróðir þinn.
The Hurs are your family.	Þú ert einn af Húr-fjölskyldunni.
My past is lost to me.	Fortíðin er gleymd.
Each one of us has a choice.	Við eigum öll val.
You and Judah can make things right.	Þið Júda getið náð sáttum.
How?	Hvernig?
Disqualify him, or disqualify yourself.	Felldu hann úr leik... eða dragðu þig úr keppni.
And be branded as a coward?	Til að vera kallaður heigull?
I'll die first.	Fyrr dey ég.
Yes, one of you will die.	Já, annar ykkar deyr.
There is no victory in this.	Hér er engan sigur að fá.
Oh, so, you've come to ask for my public humiliation.	Þú komst til að biðja um opinbera auðmýkingu mína.
No, Messala.	Nei, Messala.
I've come to tell you of the hell you'll unleash.	Ég vildi vara þig við skelfilegum afleiðingum.
God punishes just as God forgives.	Guð refsar rétt eins og hann fyrirgefur.
We have different gods.	Við trúum ekki á sömu guðina.
Marcus!	Marcus.
She's asking for too much.	Hún fer fram á of mikið.
Get up.	Vaknaðu.
You recognize him?	Kannastu við hann?
No.	Nei.
Then he's a thief.	Þá er hann þjófur.
Take him, and give him a thief's reward.	Refsið honum sem slíkum.
No, Judah Ben-Hur.	Nei, Júda Ben Húr.
You don't remember.	Manstu ekki?
I remember you.	Ég man eftir þér.
You never forget a man who's held a knife to your throat.	Maður gleymir aldrei þeim sem leggur hníf að hálsi manns.
I'll kill him!	Ég drep hann.
Drusus.	Drúsus.
What's happened to you?	Hvað kom fyrir þig?
I know where your family is.	Ég veit um fjölskylduna þína.
My family are dead.	Þau eru öll dáin.
No, they're not.	Það er ekki rétt.
He's lying.	Hann lýgur.
Rome doesn't keep prisoners, it executes them.	Rómverjar taka alla fanga sína af lífi.
Pilate ordered your family to be crucified, but I had them intercepted.	Pílatus vildi krossfesta þær en ég lét stöðva það.
Sent to the caves at Timnath-Serah.	Ég sendi þær í hellana í Timnat-Sera.
Please, pay me, and I can take you to your family.	Borgaðu mér... og ég fylgi þér til fjölskyldunnar.
I have to go with him.	Ég verð að fara með honum.
Ilderim, you must allow me this.	Leyfðu mér að fara.
I beg you. If there's even a chance they're alive...	Ef það er möguleiki á að þær séu á lífi...
They are.	Þær eru á lífi.
Let him up.	Hjálpið honum á fætur.
Prepare a horse for him.	Finnið hest fyrir hann.
I'll be back, I swear.	Ég kem aftur, ég sver það.
Take this.	Taktu þetta.
What for?	Til hvers?
He's a Roman.	Hann er Rómverji.
That's all the reason you need.	Það er næg ástæða.
Why would you save them?	Því bjargaðirðu þeim?
I did it for Messala.	Fyrir Messala.
He cherished your sister.	Honum þótti vænt um systur þína.
If he wouldn't save her himself, then I would save him from his own mistake.	Hann bjargaði henni ekki, en ég bjargaði honum frá eigin mistökum.
Judah, please, wait.	Gerðu það, bíddu.
Mother?	Mamma?
Oh, my God, you're alive. Mother, it's me.	Guð minn góður, þú ert á lífi.
It's Judah.	Mamma, þetta er ég, Júda.
It's Judah.	Þetta er Júda.
It's your son.	Þetta er sonur þinn.
I miss my boy.	Ég sakna sonar míns.
Mother, I'm here.	Ég er hérna, mamma.
No.	Nei.
He's outside playing in the sun.	Hann er úti að leika í sólinni.
No, I'm Judah.	Nei, ég er Júda.
I'm Judah. You can't help us.	Þú getur ekki hjálpað okkur.
Tirzah, what's happened?	Hvað gerðist, Tirzah?
If you love us, forget about us.	Gleymdu okkur ef þú annt okkur.
You are not my boy! Mother, what's wrong?	Hvað gerðist? Þú ert ekki sonur minn.
We're lepers. Get out.	Við erum holdsveikar.
We're unclean, Judah!	Flekkaðar.
We're lepers!	Við erum holdsveikar.
Get him out now!	Út með hann.
Get him out!	Út með hann.
Go away!	Farðu.
You go away!	Burt með þig.
Gesius, they are dying.	Gesíus, þær eru að deyja.
Let us take them.	Leyfðu okkur að taka þær.
They have leprosy.	Þær eru holdsveikar.
Judah, please.	Gerðu það, Júda.
I did what I could.	Ég gerði mitt besta.
I'll be back for them.	Ég kem aftur og sæki þær.
They're lepers, they 'd be stoned in the street!	Þær eru holdsveikar og verða grýttar.
I will be back for you!	Ég kem aftur til ykkar.
Judah, I tried.	Ég reyndi.
I saved them.	Ég bjargaði þeim.
I saved them! You didn't save them!	Þú bjargaðir þeim ekki.
You condemned them to a life worse than death.	Þú dæmdir þær til lífs sem er dauðanum verra.
A life worse than death!	Lífs sem er dauðanum verra.
He'll pay for what he's done to us.	Hann skal borga fyrir það sem hann gerði okkur.
People of Jerusalem.	Íbúar Jerúsalem.
Friends of Rome!	Vinir Rómar.
We celebrate the power of man!	Við fögnum mætti mannsins.
You idiot!	Fíflið þitt.
Get it now!	Sæktu þetta strax.
Men gathered here today hailing from Persia, Greece, Arabia, Syria, Ethiopia, Egypt, Judea.	Hingað eru saman komnir menn alla leið frá Persíu...
We pay tribute to Caesar, and give thanks for his virtue and his mercy, in this circus.	Við hyllum Sesar og þökkum fyrir dyggð hans og miskunnsemi hans á þessum leikvangi.
A grand arena, ten years in the making.	Stórkostlegum leikvangi sem tók áratug að útbúa.
You will have the pleasure, for the first time in Judean history.	Þið eruð svo lánsöm... í fyrsta sinn í sögu Júdeu...
Ready?	Ertu tilbúinn?
Oh, don't look so worried.	Ekki vera svona áhyggjufullur.
This wise old man once told me, First to finish, last to die.	Viturt gamalmenni sagði eitt sinn: Fyrstur í mark, síðastur til að deyja.
Good advice.	Góð ráðlegging.
You will see them race for glory.	Þið sjáið þá keppa um dýrðina.
You will see them fight for honor.	Þið sjáið þá berjast um heiðurinn.
You will see them die for you!	Þið sjáið þá deyja fyrir ykkur.
Judah! Pull back!	Hægðu á þér.
Pull back!	Haltu þig til baka.
What is going on?	Hvað gengur á?
Enjoy this lap!	Njóttu þessa hrings.
I'll kill you on the next one!	Ég drep þig í þeim næsta.
Get back!	Farðu frá.
My helmet.	Hjálmurinn minn.
The gate, Judah! The gate!	Varaðu þig á "hliðinu", Júda.
Good move, Judah.	Vel gert, Júda.
Good move. Another trick for you!	Önnur brella handa þér.
Fetch him!	Sækið hann.
I'll kill you!	Ég drep þig.
Are you not Roman?	Ertu ekki Rómverji?
Come on, Messala!	Áfram, Messala.
Horses!	Hestar!
Go, Aliyah!	Áfram, Aliyah.
Go, go! Judah!	Áfram, áfram.
No shame to be second! We're riding now!	Engin skömm af öðru sæti.
Come on! Come on!	Nú hefst keppnin.
Are we having fun now, brother?	Er ekki gaman núna, bróðir?
Come on, Judah.	Áfram, Júda.
Kill him!	Dreptu hann.
Messala, kill him! Judah!	Dreptu hann, Messala.
Wait! Congratulations, African.	Til hamingju, Afríkumaður.
Take your winnings.	Taktu sigurlaunin.
Condolences on your loss.	Ég samhryggist vegna tapsins.
They're all Romans now.	Nú eru þau öll Rómverjar.
What's wrong?	Hvað er að?
You've won!	Þú sigraðir.
You should be celebrating.	Þú ættir að fagna.
Do you know what's ahead for us?	Veistu hvað bíður okkar?
The riches we can make in Rome?	Hversu auðugir við getum orðið í Róm?
Wandering around the desert with nothing, for nothing.	Að ráfa um eyðimörkina án alls og til einskis.
What kind of life is that?	Hvers konar líf er það?
It's something other than loneliness.	Það er betra en einmanaleikinn.
It's the only life I know.	Það er eina lífið sem ég þekki.
Find something for yourself.	Finndu eitthvað fyrir þig.
Peter.	Pétur.
Jesus!	Jesús.
Soldiers!	Hermenn.
Jesus of Nazareth... Stop! In the name of Caesar, you are under arrest. Peter!	Jesús frá Nasaret, þú ert handtekinn í nafni Sesars.
Peter!	Pétur.
No trouble.	Enga mótspyrnu.
Not from any of you.	Ekki frá nokkrum ykkar.
Those who live by the sword, will die by the sword.	Allir sem sverði bregða munu fyrir sverði falla.
Dear Lord, please help us!	Hjálpaðu okkur, Drottinn.
He's our Savior!	Hann er frelsari okkar.
Please let him go!	Sleppið honum.
Please help! Esther!	Hjálpið okkur.
Esther!	Esther.
Esther?	Esther.
Esther?	Esther?
Impostor!	Svikari!
Move!	Áfram.
No water for him.	Ekkert vatn handa honum.
No water for him!	Ekkert vatn handa honum.
Drink.	Drekktu, gerðu það.
Please drink. No water for him!	Ekkert vatn handa honum.
No, Judah.	Nei, Júda.
Jesus? Remember me when you come into your kingdom.	Líf mitt... gef ég af fúsum og frjálsum vilja.
Father, forgive them, for they know not what they do. It's... finished. Come on. That's it! Come on! Let's move out! Come on!	Faðir... fyrirgef þeim... því að þeir vita ekki hvað þeir gjöra.
We're healed. Judah.	Við höfum læknast.
How could this be?	Hvernig má það vera?
I will take them.	Ég tek við þeim.
Come.	Komið.
You are free.	Þið eruð frjálsar.
I lost him.	Ég missti hann.
I've lost my brother.	Ég missti bróður minn.
No, you must have faith, Judah.	Þú verður að trúa, Júda.
I see you.	Ég sé þig.
Don't stand so far away.	Ekki standa svona langt frá mér.
Come close.	Komdu nær.
Come see what you did to me.	Sjáðu hvað þú gerðir mér.
I won't go that easy.	Ég gefst ekki upp svona auðveldlega.
As long as I live, I'll claw at you.	Á meðan ég dreg andann skal ég slá til þín.
And if I die, I'll drag you beneath the ground beside me!	Ef ég dey dreg ég þig undir moldu með mér.
With the last of me, I'll choke the life from you!	Ég bana þér þótt það verði mitt síðasta.
I'll make myself whole again, I swear, and when I do, I'll kill you!	Ég sver að ég kemst til heilsu og þá drep ég þig.
No more killing.	Ekki meiri dráp.
You did this to me!	Þú gerðir mér þetta.
No more slaughter.	Ekki meiri morð.
You did this!	Þú gerðir þetta.
Remember when we were young?	Manstu þegar við vorum ungir?
When I was hurt and you carried me with all your strength for as long as you could.	Þegar ég slasaðist og þú barst mig með öllum þínum kröftum eins lengi og þú gast.
I can't fight anymore.	Ég get ekki barist lengur.
I can't hate anymore.	Ég get ekki hatað lengur.
All I can do is carry you.	Ég get ekki annað en borið þig.
Oh, Judah, forgive me.	Fyrirgefðu mér, Júda.
No, forgive me.	Nei, fyrirgef þú mér.
Forgive me.	Fyrirgefðu mér.
There were many miracles that day, and in the days that followed.	Það voru mörg kraftaverk unnin þennan dag og næstu daga.
As time passed, forgiveness and understanding had reunited the family.	Þegar tíminn leið hafði fyrirgefning og skilningur sameinað fjöiskylduna á ný.
To give hope and promise for a better way.	Til að færa von og vissu um betri framtíð.
To fight the good fight, to finish the race, to keep the faith.	Til að berjast góðu baráttunni, fullna skeiðið og varðveita trúna.
Don't look back, Judah.	Ekki líta til baka, Júda.
Your whole life is ahead of you.	Þú átt allt lífið fram undan.
You ready, brother?	Tilbúinn, bróðir?
By LESAIGNEUR Sync corrections July 2017 1 1707 9987 utf-8 20 0 1 Action,Adventure,Drama 2016 123 N/A USA English 2017-07-18 01:57:43,124 1/1 1533 1.0	Icelandic 1269 Icelandic 1.0 1/1 2017-01-22 02:03:17,933 USA 123 Action,Adventure,Drama 2016 N/A 0 1409 0 7816 9 utf-8 0
It took the Earth's population 100,000 years to reach a billion people.	Það tók ibúafjölda jarðar 100 þúsund ár að ná milljarði.
And then just 100 more to reach two billion.	En aðeins 100 ár í viðbót að ná tveimur milljörðum.
And only 50 years to double again. Four billion people in 1970.	Og aðeins 50 ár að tvöfaldast aftur Fjórir milljarðar manna árið 1970.
We're nearly at eight billion now.	Við erum næstum átta milljarðar núna.
We are destroying the very means by which life is sustained.	Við erum að eyðileggja allt það sem er undirstaða lífsins.
Every single global ill that plagues the Earth can be traced back to human overpopulation.	Hvert einasta böl sem hrjáir jörðina má rekja til offjölgunar mannsins.
Why do we demand inaction?	Af hverju krefjumst við aðgerðarleysis?
We clear-cut.	Við höggvum tré.
We dump.	Við fleygjum.
We consume.	Við neytum.
We destroy.	Við rústum.
Half the animal species on Earth have vanished in the last 40 years.	Helmingur dýrategunda jarðarinnar hefur horfið á síðustu 40 árum.
But still we keep attacking our own environment.	En við höldum áfram árásum á okkar eigið umhverfi.
Does it take a catastrophe to learn our lesson?	Þurfa að verða hamfarir til að við skiljum þetta?
To get our attention?	Að við tökum eftir?
Nothing changes behavior like pain.	Ekkert breytir hegðun á við sárauka.
Maybe pain can save us.	Kannski sársauki geti bjargað okkur.
Mankind is the cancer in its own body.	Mannkynið er krabbamein í eigin líkama.
Do you love humanity enough to save it?	Er mannkynið þér svo kært að þú bjargir því?
In case they find me, I left you a path.	Ég skildi eftir vísbendingar ef þeir skyldu finna mig.
The hardest one yet.	Þær erfiðustu hingað til.
Inferno will be at the end.	Víti geisar að lokum.
You are my contingency plan. You are humanity's final hope.	Þú ert varaáætlunin mín. Þú ert siðasta von mannkynsins.
Make sure Inferno is unleashed.	Sjáðu til þess að víti geisi á jörðu.
Seek and find. Long road but here we are.	Leitaðu og þú finnur Löng leið, en hér erum við.
Better me than the Americans.	Frekar ég en Bandaríkjamenn.
You're going to want to tell me where it is.	Þú munt vilja segja mér hvar hann er.
