Affirmative.	Staðfest.
Try Pulitzer.	Frekar Pulitzer.
Ladies and gentlemen, while waiting to land, our cabin attendants are turning on local Washington broadcasting.	Dömur mínar og herrar,... á meðan við bíðum eftirað lenda..... ætlum við að kveikja á sjónvarpsútsendingu frá Washington.
Put me through to Ruben in the newsroom.	Gefðu mér samband við Ruben í fréttaherberginu.
Uh, he's about to go live.	Uh, hann erað fara íloftið.
I know he's about to go on.	Ég veit að hann er að fara í loftið.
That's why I need him.	Þess vegna vil ég tala við hann.
You'll have to hold on...	Þú verðurað bíða...
Put me through, Celia, or start typing your resume.	Gefðu mér samband, Celia, eða byrjaðu að vélrita starfsumsókn.
Esperanza's down... But he's hurt.	Esperanza er lentur..... en hann er meiddur.
He took a round in his shoulder.	Hann meiddist á öxl.
Plus I got one more of their guys.	Auk þess náði ég einum í viðbót.
That's six they lost altogether.	Þeir misstu sex í allt.
Maybe if we knew how many they had to start with, we could get excited, but if they got 50 guys, it's a little early to break out the champagne!	Kannski ef við vissum hve margir þeir voru til að byrja með,..... gætum við orðið spenntir,..... en ef þeir eru með 50 gaura,..... er aðeins of snemmt að skála í kampavíni!
Now, we appreciate your effort, McClane, but we don't need a loose cannon on this deck!	Við þökkum þér viðleitnina, McClane,..... en við megum ekkert missa á þessari stundu!
What if they decide to crash another plane in retaliation for your little stunt?	Hvað ef þeir ákveða að brotlenda annarri vél..... til að hefna fyrir þín verk?
They can't do that anymore, right, Barnes?	Þeir geta það ekki lengur, ekki satt, Barnes?
Besides, if I grabbed Esperanza, this would all be over by now.	Þar fyrir utan, ef ég næði Esperanza,..... væri þetta allt búið núna.
Well, maybe they're just a little bit more creative than you think!	Kannski þeir þyrftu að vera aðeins hugmyndaríkari..... heldur en þú heldur!
Well, at least I'm thinking, goddamn it!	Ég er allavega að hugsa, andskotinn hafi það!
Listen, you wise-ass, we're here to jerk off that cocksucker until he tries to take off.	Heyrðu, vitringur, við erum hér til að ná þessum dela..... áður en hann reynir að fara í loftið.
Period!	Punktur!
Now, you're the wrong guy in the wrong place at the wrong time!	Þú ert rangur maður..... á röngum stað á röngum tíma!
The story of my life.	Saga lífs míns.
Major, Pentagon situation room, sir!	Hershöfðingi,.... Pentagon, herra!
Pentagon.	Pentagon.
I'll take it in here.	Ég tek það hér.
Thank you, Telford.	Þakka þér, Telford.
You men come with me.	Þið menn, komið með mér.
Yeah, Barnes.	Já, Barnes.
You said those guys showed up out there right away?	Þú sagðir að þeir hefðu birst þarna eins og skot?
That means they're on the field or close, and I think I know where.	Það þýðir að þeir eru nálægt vellinum,..... og ég held ég viti hvar.
Let me show you something.	Má ég sýna þér svolítið?
These are the old plans when the longer runways went in.	Þetta eru gömlu kortin þegar lengri brautirnar voru til staðar.
That's 12 years ago.	Það var fyrir 12 árum.
Looks like they've done some modifications on site... moved Tra Con phones, ILS, all the underground stuff so they could handle drainage.	Það lítur út fyrir að þeir hafi gert einhverjar breytingar,..... fært Tra-Con símana, ILS, allt neðanjarðardótið..... svo þeir gætu átt við holræsin.
If I'm right, all of it would run right along the airport property and go right past this neighborhood.	Ef ég hef rétt fyrir mér,..... ætti þetta allt að liggja beint undir flugvallarbyggingunum,..... og hingað framjá okkur.
We should have been on the ground two hours ago!	Við áttum að vera lent fyrir tveimur tímum!
I understand, but if you just relax...	Ég veit, en ef þið mynduð bara slappa af,...
It's hopeless.	Þetta er vonlaust.
Somebody ought to get their ass kicked for this mess, that's for sure.	Það þarf að sparka í rassinn á einhverjum fyrir þetta, það er víst.
Well, unfortunately, there really isn't anyone we can blame for the weather.	Við getum því miður,..... ekki kennt neinum um fyrir hvernig veðrið er.
Oh, yeah?	Ekki það?
What about that porker Willard Scott?	Hvað um bjánann hann Willard Scott?
I should have taken the bus.	Ég hefði átt að taka rútuna.
At least they can pull over for food and gas.	Þeir hefðu þó getað stoppað og keypt mat og bensín.
Yes?	Já?
I was just wondering.	Ég var bara að pæla.
This flight originally was supposed to be 51 / 2 hours, right?	Þetta flug átti upprunalega að vera 5Ŋ stund, ekki satt?
Mm-hmm.	Mm-hmm.
Do we have enough fuel to keep circling like this?	Erum við með nóg bensín til að hringsóla svona?
Oh, of course.	Ó, auðvitað.
They anticipate little problems like this.	Þeir gera ráð fyrir smá vandræðum eins og þessu.
Barnes, we looked at 12 fucking houses, and we're nowhere.	Barnes, við erum búnir að skoða 12 fokkíng hús,..... og við erum engu nær.
This is our last possibility.	Þetta er síðasti sénsinn okkar.
Over here there's an old church.	Þarna hinum megin er gömul kirkja.
Let's go.	Komum.
There's the church over there.	Kirkjan er þarna.
Could be a sentry.	Gæti verið varðmaður.
And he could just be out for a walk.	Eða hann sé bara úti í göngutúr.
Then why is he going over his own footsteps?	Af hverju gengur hann þá fram og til baka?
Come on.	Komum.
Just stay here and get ready to call the marines.	Vertu bara hér og vertu tilbúinn að kalla á landgönguliðana.
I thought they were the army.	Ég hélt þeir væru hermenn.
Who gives a fuck?	Hverjum er ekki sama?
Just be ready.	Vertu bara tilbúinn.
Oh, shit.	Ó, sjitt.
Not now. Aah!	Ekki núna Aah!
Lorenzo, it's Barnes.	Lorenzo, þetta er Barnes.
Barnes, where the hell did you go?	Barnes, hvertíandskotanum fórstu?
He's with me.	Hann er með mér.
We're at the Hidey Lake Community Church on the west side of the airport.	Við erum við Hidey Lake kirkjuna..... vestan við flugvöllinn.
You're where?	Eruð þið hvar?
Goddamn it!	Andskotans?
You crazy idiot, why didn't...	Þið brjálæðingar, af hverju...
Code red!	Rauður kódi?
Sit rep.	Sitrep.
We got positive I.D. On Stuart's location.	Við erum með jákvætt auðkenni þar sem Stuart er.
Let's move.	Koma sér.
Yo! Our escape plane will be ready within 30 minutes, General.	Flóttavélin okkar verður tilbúin innan 30 mínútna, hershöfðingi!
If there are no more surprises.	Ef það verða ekki fleiri uppákomur.
Gentlemen, we have a situation here. Aah!	Herrar, það eru vandræði hérna.
Over here.	Hérna.
Jeez, McClane, you all right?	Jiii, McClane, er allt í lagi?
You want a medic?	Viltu hjúkrun?
What the hell you think you're doing out there, playing John Wayne?	Hvað í helvítinu heldurðu að þú sért að gera þarna úti,..... að leika John Wayne?
How would you like to spend the night in a cell?	Hvernig líst þér á að eyða nóttinni í fangaklefa?
Lorenzo, shut the fuck up and do something useful.	Lorenzo, haltu kjafti og gerðu eitthvað að gagni.
Go seal off the street.	Farðu og girtu göturnar af.
Hey, you can't talk to me like that.	Hey, þú getur ekki talað við mig svona.
Oh, no, Carmine?	Ekki það, Carmine?
Sergeant, get this bureaucrat out of Mr. McClane's face now.	Ofursti, fjarlægðu þetta möppudýr frá hr.McClane.
With pleasure, sir.	Með ánægju, herra.
Major... the men are in position, sir.	Ofusti,..... mennirnir eru tilbúnir, herra.
Close up the back.	Lokaðu að aftan.
Fire only on my order.	Skjótið bara þegar ég segi.
Roger that, sir.	Náði því, herra?
Guess I was wrong about you.	Ég hafði sennilega rangt fyrir mér.
You're not such an asshole after all.	Þú ert ekki svo slæmur eftir allt.
No, you were right.	Nei, þú hafðir rétt fyrir þér.
I'm just your kind of asshole.	Ég er frekar slæmur á þinn hátt.
Garber, sit rep!	Garber, sitrep!
Army Special Forces on three sides, closing in fast around the back!	Sérstakar hersveitir á þrjár hliðar lokið af bakhliðinni!
Another problem, Colonel?	Annað vandamál, ofursti?
No problem, General.	Ekkert mál, herforingi.
Gentlemen, you know what to do.	Herrar, þið vitið hvað á að gera.
Down!	Niður!
Get down!	Beygja sig!
General... it's time.	Ofursti,..... tíminn er kominn.
Come on, let's move it!	Komum, drífum okkur!
They're pulling out out the back!	Þeir eru að fara út að aftan!
Move it!	Áfram!
Albertson, take your men around the back. Aah!	Albertson, farðu með þína menn að baka til.
Aah! This equipment, it could land our planes.	Þessi tæki, gættu lent flugvélunum okkar.
There were trip wires outside.	Það voru vírar úti.
They could have booby-trapped...	Þeir gætu haft lagt sprengjuvíra...
They did.	Þeir gerðu það.
Got one here, too.	Það er annar hér.
Looks like C-4.	Hann er eins og C-4.
The motherfucker is armed.	Helvítið er með vopnabúnað.
Clear the area!	Burt af svæðinu!
Everybody, now!	Allir! Núna!
They booby-trapped all the equipment.	Þeir lögðu sprengjuvíra um öll tækin.
Seal off the building!	Lokaðu bygginguna af!
Post sentries.	Engir verðir.
No civilians allowed.	Engir borgarar fá aðgang.
Hey, where the fuck is McClane?	Hey, hvar í fjandanum er McClane?
Miller, take him!	Miller, taktu hann!
I'll cover you! Aah!	Ég skýli þér!
So much for the element of chance.	Þar fór sénsinn okkar.
Let's move out.	Komum okkur héðan.
Ohh...	Ohh...
I had the bastard in my sights.	Bastardinn var beint fyrir framan mig.
I know I did.	Ég veit það.
Oh, Jesus Christ.	Ó, Jesús Kristur.
Attention, Tower.	Takið eftir, turn.
Attention, Dulles Tower.	Takið eftir { y: i } Dulles turn.
Is our plane prepared?	Er vélin okkar tilbúin?
It is.	Hún er það.
It's in hangar 11.	Hún er í skýli 11.
It's the most remote building we've got.	Það er fjarlægasta byggingin sem við eigum.
We're on our way.	Við erum að koma.
Have a ground crew there to confirm the condition of the plane.	Vertu með lið tilað staðfesta..... ástand vélarinnar.
Major Grant, isn't it?	Grant herforingi, er það ekki?
If you remember me, Colonel, then you remember I know the drill as well as you do.	Efþú mannst eftir mér ofursti..... man ég að ég kann eins vel á borinn ogþú.
Check out your own fucking plane.	Tékkaðu þína eigin helvítis flugvél.
We move out in five minutes.	Við förum eftir fimm mínútur.
Flak jackets for everybody.	Skotheld vesti fyrir alla.
Body armor for the assault team.	Skothelda galla fyrir árásarliðið.
Night scopes for the snipers.	Náttskanna fyrir leyniskytturnar.
We will take them in the hangar, and I will pull that detonator out of Stuart's dead fucking hand myself.	Við förum með þá fyrir dauðadóm, og ég skal sjálfur fjarlægja sprengjuna,..... úr dauðri hönd Stuarts.
Take all your men back to the airport.	Lorenzo, farðu með alla þína menn aftur á flugvöllinn.
Seal off every exit in case they try to slip past us to break out onto the ground.	Lokaðu öllum útgönguhliðum..... ef þeir ætla að reyna að flýja frá okkur út af vellinum.
You got it.	Skal gert.
All right, here we go.	Allt í lagi, nú byrjar ballið.
Dick, this is nuts.	Dick, þetta erbrjálæði.
Every station in town has people out at the airport, and none of them has heard even a whisper of this shit you're running now!	Hver einasta sjónvarpsstöð er með fólk útiá flugvellinum,..... og enginþeirra hefur heyrt einu sinnibrot... -.. afþessum skítsemþú ertað gera.
Well, none of them is me.	Enginn þeirra er ég.
You want proof, try this.	Viltu sönnun, prófaðu þetta.
Connie's got one.	Connie á eitt.
The maps... get one from weather.	Náðu í kortin, náðu í veðurkort.
We're on it.	Það er allt í gangi.
We're cutting in five minutes!	Förum í loftið eftir fimm mínútur!
Tell the affiliates if they want in, they got three minutes to shout.	Segðu tæknimönnunum að þeir hafi þrjár mínútur til að kalla.
Let's do this.	Drífum í þessu.
Network, here I come.	Network, hér kem ég.
Hey, Telford, what was your chicken shit outfit doing while we were taking Grenada? Ha ha ha! Ha ha ha!	Hey, Telford,..... hvað var kjúklingagervið þitt að gera..... á meðan við vorum í Grenada?
Grenada... five minutes of fire fight, five weeks of surfing.	Grenada. Fimm mínútna skothríð og fimm vikna sörf.
I wish I was with you guys for that.	Ég vildi ég væri með ykkur í því.
Me, too, kid.	Ég líka gamli.
Really, sir?	Vissulega.
Sure. Then we wouldn't have to do this.	Þá þyrftum við ekki að gera þetta.
Eagle Nest, this is Hatchling.	Eagle Nest, þetta er Hatchling.
On schedule... and in position.	Á áætlun... og tilbúnir.
Roger, Hatchling.	Roger, Hatchling.
We are secure here.	Við erum öruggir hér.
You have a green light.	Þú færð græntljós.
I repeat, a green light.	Ég endurtek, græntljós.
Jesus, Officer, where did you come from, Pearl Harbor? Uh!	Jesús, stjóri, hvaðan komst þú,..... Pearl Harbour?
All right, let's clear it out, please.	Allt í lagi, tökum til, takk.
Stand by.	Tilbúnir.
5, 4, 3...	5, 4, 3...
This is a special bulletin from WZDC News.	Þetta ersérstaktfréttaskot frá W { y: i } Z { y: i } D { y: i } C fréttastofunni.
There was a plane crash earlier this evening at Dulles, where other aircraft continue to circle, with no explanation from airport or FAA officials.	Fyrr íkvöld varð flugslys á Dulles,..... þar sem aðrarflugvélar halda áfram að hringsóla,..... án nokkurra skýringa frá flugvellinuum eða yfiirmönnum F { y: i } A { y: i } A. Og nú með einstaka { y: i } W { y: i } Z { y: i } D { y:
And now, with an exclusive WZDC report, here's Dick Thornberg reporting from the skies over Washington.	i } C frétt,..... hér erDick { y: i } Thornberg, sem talar frá háloftunum yfiir, Washington.
I'm one of the thousand people who has been circling our nation's capital under the assumption that whatever problem was going on far below was a normal one, but the truth is far from normal.	Ég er einnþeirraþúsund..... sem hafa verið að hringsóla um höfuðborg lands okkar..... undirþvíyfiirskini að hvertsem vandamálið væri..... ájörðu niðri, væriþað venjulegt,..... en sannleikurinn er langtífrá venjulegur.
The truth is terrifying.	Sannleikurinn erhræðilegur!
Ho!	Hó!
Hey, hey, look out!	Hey passaðu þig!
This is a recording of a conversation between Dulles Tower and a captive aircraft overhead.	Þetta er hljóðritað samtal á milli..... Dulles turnar og flugmanns einnar flugvélarinnar.
Get out of the way!	Fariði frá!
Lorenzo!	Lorenzo!
McClane, are you out of your fucking mind?	McClane, ertu snarbrjálaður?
The Blue Light team... where are they?	Bláa liðið, hvar eru þeir?
Stuart's got explosives in the church rigged with a remote.	Stuart er með sprengurnar í kirkjunni tengdar við fjarstýringu.
Where's Grant?	Hvar er Grant?
They're going to kill that son of a bitch and get it from them!	Þeir ætla að drepa þann helvítis bjána... -.. og ná öllu af þeim!
They're not going to do that!	Þeir gera það ekki!
They're going to get on the same plane with him and take off with him!	Þeir ætla í loftið með sömu flugvél... -.. og hann!
Get the fuck out of here!	Og drullast héðan!
When the army canned Stuart, he loaded that unit with his own men!	Þegar herinn jarðaði Stuart, setti hann sína menn í það lið!
Are you nuts?	Ertu bilaður?
That fire fight...	Skotárásin...
Sideshow to buy them some time.	Smá sjó til að kaupa tíma.
McClane, you are completely around the fucking bend.	McClane, þú ert algerlega genginn af göflunum.
You're under arrest, you motherfucker.	Þú ert handtekinn, hálfviti.
Here!	Hérna!
These are the bullets they used out there tonight!	Þetta eru skotin sem þeir notuðu í kvöld!
Blanks!	Takk!
Jesus Christ.	Jesús Kristur.
This is Chief Lorenzo.	Þetta er Lorenzo varðstjóri.
I want every officer recalled and assembled in body armor and full weaponry in the motor pool in five minutes.	Ég vil að allir lögregluþjónar verði kallaðir aftur..... og settir í skothelda galla og full vopnaðir..... í vélageymslunni innan fimm mínútna.
It's time to kick ass.	Nú tökum við þetta.
Just like Iwo Jima!	Eins og lwo Jima!
This reporter has learned that the terrorists have virtual control of the entire airport, a fact that the authorities have repressed.	Fréttamaðurinn hefurkomist að þvíað hryðjuverkamennirnir,..... hafa stjórn yfiir öllum flugvellinum..... staðreynd sem yfiirvöldhafa falið.
The terrorists promise more bloodshed unless their demands are met, and now that the Special Army commandos have arrived at the airport, the likelihood of a full-scale, deadly battle is dangerously close.	Hryðjuverkamennirnir hóta frekara blóðbaði..... verði kröfumþeirra ekkimætt. Og nú þegar séstakt herlið..... er komið á flugvöllin eru líkurnar..... á harkalegum og banvænum átökum hættulega nálægt.
That stupid, arrogant son of a bitch.	Þessi heimski, hrokafulli, hálfviti.
It's all over the airport.	Það er allt í rúst á flugvellinum.
300 people have died...	300 manns hafa látist...
All right, listen up!	Allt í lagi! Hlustiði!
All units, I want you to converge on hangar 11, all sides!	Allar sveitir, ég vil að þið umkringið skýli 11..... allar hliðar!
This car, McClane!	Þessi bíll, McClane!
Get in!	Sestu inn!
When the City Blue show up with their backup, they'll pick up the pieces!	Þegar varaliðið loksins kemur,..... koma þeir til að týna upp leyfarnar!
Now, move out!	Áfram, nú!
McClane, say hi to my brother Vito.	McClane, heilsaðu bróður mínum Vito.
Merry Christmas.	Gleðileg jól.
Vito, get the fuck out of the car and get your ass in gear and help me.	Vito, drullaðu þér út úr bílnum..... og hjálpaðu mér.
Will you get...	Viltu gjöra svo vel...
Move that car right now!	Færðu þennan bíl núna!
Right there.	Þarna.
Get that.	Náðirðu því.
Hey, Coleman!	Hey, Coleman!
Sam!	Sam!
Sam Coleman!	Sam Coleman!
Hi!	Hæ!
Coleman! But at least the truth is not among the hostages because I, Richard Thornberg, just happened to be here to put his life and talent on the line for humanity and country, and if this should be my final broadcast...	Coleman!.. en allavega vita gíslarnir ekkert..... því ég, Richard Thornberg, var hér fyrir tilviljun..... til að láta líf mitt og hæfileika að veði fyrir mannúð og föðurlandið,..... og verði þetta síðasta útsending mín...
Amen to that...	Amen fyrir því...
Dick?	Dick? { y:
We're live, Dick.	i } Við eru íbeinni, { y: i } Dick.
Where are you now?	Hvar ertu núna?
Dick?	Dick?
Truck lights approaching, sir.	Vörubílaljós nálgast, herra.
They're here, right on schedule.	Þeir eru komnir, á áætlun.
The hangar door, open it.	Skýlisdyrnar, opnaðu þær.
Clockwork.	Gangverk.
Jeez, you give me this story, and I'll have your baby.	Jees, þú segir mér þessa frétt, og ég skal eignast barn með þér.
Not the kind of ride I'm looking for.	Ég er ekki að leitast eftir svoleiðis reiðtúr.
Colonel, if I may say so, you are some piece of work.	Colonel, ef ég má orða það þannig, þá ertu algjört listaverk.
Thank you, Major.	Þakka þér, herforingi.
You're not so bad yourself.	Þú ert ekki svo slæmur sjálfur.
Congratulations on your escape, sir.	Til hamingju með flóttann, herra.
Thank you, Major.	Takk, herforingi.
Maybe you should save them until we are all safe, hmm?	Kannski við ættum að spara okkur þangað til allir eru öruggir, herra?
Sir.	Herra!
My congratulations, gentlemen.	Ég óska ykkur til hamingju, herrar.
You've won a victory for our way of life, my pride, my admiration, and a kick-ass vacation.	Þið hafið unnið sigur,..... stolt mitt, aðdáun, og helvítis fríið mitt.
Now, get on board.	Um borð, núna.
What's the matter, cowboy, ride too rough?	Hvað er að kúreki, er ferðin of harkaleg?
I don't like to fly.	Mér er illa við að fljúga.
Then what are you doing here?	Hvað ertu þá að gera hér?
For you, gentlemen, we'll import it.	Handa ykkur herrar, munum við flytja hann inn.
They left the hangar!	Þeir eru farnir úr skýlinu!
All right, now what?	Allt í lagi, hvað nú?
Get in front of them!	Farðu fyrir framan þá!
Take it down!	Lækkaðu flugið!
Block their path so they can't get out of there!	Farðu í veg fyrir þá svo þeir komist ekki héðan!
I'm not playing chicken with a 200-ton plane!	Ég er ekkert að leika mér að 200-tonna flugvél!
I'm crazy, man, but I ain't that crazy.	Ég er brjálaður maður, en ekki svona brjálaður.
Forget it.	Gleymdu því.
Dulles, this is Northeast 140.	Dulles, þetta ernorðaustur 140.
We're down to fumes, and we have to land, and in five minutes we're coming in one way or another.	Við erum bensínlausir, og við verðum að lenda,.... og innan fimm mínútna komum við inn..... á einn eða annan hátt.
That's my wife's plane!	Konan mín er í þessari vél!
Take it fucking down!	Niður með hana!
I'm not getting in front of that plane!	Ég fer ekki fram fyrir þessa vél!
All right, how about getting over top of it?	Allt í lagi, hvað með að fara ofaná hana?
Ladies and gentlemen, this is the captain.	Dömur mínar og herrar, þetta erflugstjórin.
Your attention.	Takið eftir.
We have no choice but to attempt an emergency landing.	Við höfum engra kosta völ nema að reyna nauðlendingu.
Please fasten your seat belts and assume crash positions as instructed by your cabin attendants.	Vinsamlegast festið sætisólarnar og setjið ykkurístellingar..... samkvæmt fyrirmælum.
Let's have the emergency check list.	Förum yfir neyðarlistann.
Attention all air traffic in Dulles area.	Takið eftir allar vélar á Dulle svæðinu.
This is Northeast 140.	Þetta er norðaustur 140.
We're going to attempt an emergency landing.	Við ætlum að reyna nauðlendingu.
Be advised.	Verið viðbúin.
I don't want to die.	Ég vil ekki deyja.
Just buckle your seat belt.	Festu bara sætisólarnar.
I'm sorry.	Fyrirgefðu.
Lean forward.	Beygðu þig fram.
God!	Guð!
Oh, God.	Ó, Guð.
O God, Thy rod and Thy staff they comfort me.	Ó, Guð,..... stoð mín og stytta hjálpaðu mér.
Just hang on!	Bíddu aðeins!
What are you doing?	Hvað ertu að gera?
You wanted a story, didn't you?	Þú vildir frétt, ekki satt?
Nice and easy, boys.	Hægt og hljótt, strákar!
Get me in low!	Farið lægra með mig!
You got it!	Allt í lagi.
Bring me down!	Niður með mig!
You'll get yourself killed!	Þú verður drepinn!
Come back inside!	Komdu aftur inn!
Bring it in low!	Neðar!
Keep over the wing!	Vertu yfir vængnum!
Lower!	Neðar!
John, what the fuck are you doing out on the wing of this plane?	John, hvað í fjandanum ætlarðu að gera á vængnum á þessari vél?
Damn!	Helvítis!
Mierda.	Mierda.
There's something wrong.	Það er eitthvað að.
The ailerons.	Hallastýrið.
We can't take off.	Við getum ekki farið í loftið.
Hijo de puta.	Hijo de puta.
It's McClane again.	Þetta er aftur McClane.
Son of a bitch!	Helvítið!
I'll do him.	Ég tek hann.
This time do it right.	Í þetta sinn gerið þetta rétt.
You just get us in the air, General.	Komdu okkur bara í loftið, hershöfðingi.
You're the only man who can do it.	Þú ert sá eini sem getur það.
Don't shoot.	Ekki skjóta.
That wing is fully fueled.	Vængurinn er fullur af bensíni.
Ya!	Já!
Too bad, McClane.	Leiðinlegt McClane.
I kind of liked you!	Ég kunni sæmilega við þig!
Whoa!	Vá!
I got enough friends!	Ég á nóg af vinum!
Aah! O.K., McClane... time for the main event!	Ókei, McClane..... kominn tími á aðalatriðið!
Aah! Aah!	Fáviti!
How's it going?	Hvernig gengur?
Bon voyage!	Góða ferð!
Holly!	Holly!
Here's your fucking landing light!	Hérna er fokkíng lendingarljósið þitt!
Whoo!	Vú!
Look!	Sjáðu!
O.K., I see it!	Ókei, ég sé það!
I see it!	Ég sé það!
They used the fire to see!	Þeir notuðu eld til við sæjum!
They used the fucking fire to see!	Þeir notuðu fokkíng eld svo við sæjum!
They can all do that.	Það geta allir lent.
Tell them.	Segðu þeim það.
They already know.	Þeir vita það.
If any landing you can walk away from is a good one, that's great.	Hver lending sem þú getur gengið frá er góð. Þetta er frábært!
Whew!	Vá!
Jump!	Hoppa!
I got you!	Ég held þér!
There you go.	Svona.
That's it.	Allt í lagi.
There he is!	Þarna er hann!
That's it!	Nú er nóg komið!
Come on!	Svona!
We got you!	Við höldum þér!
Oh, baby.	Ó, elskan.
I thought I was never going to see you again.	Ég hélt ég myndi aldrei sjá þig aftur.
That's what I thought about you.	Ég hélt það sama um þig.
I love you so much.	Ég elska þig svo mikið.
They told me there were terrorists at the airport.	Þeir sögðu að það væru hryðjuverkamenn á flugvellinum.
I heard that, too.	Ég heyrði það, líka.
God, that's beautiful.	Guð, þetta er fallegt.
Yup, it sure is.	Jamm, þetta er það.
Oh, I love you so much.	Ó, ég elska þig svo mikið.
Oh, John.	Ó, John.
Why does this keep happening to us?	Af hverju erum við alltaf að lenda í þessu?
Let's go home.	Förum heim.
Get in the truck!	Náðu í trukkinn!
Let's get her out of here!	Komum okkur héðan!
Somebody help me, please!	Getur einhver hjálpað mér, takk!
Oh, honey, help me up here, please.	Ó, elskan, hjálpaðu mér nú upp.
Asshole!	Fávíti!
Hey, Officer!	Hey, lögreglustjóri.
Hey, come on!	Hey, komdu!
Hey, hey!	Hey, hey!
Hop on in here!	Hoppaðu inn!
Get your missus in!	Komdu frúnni inn!
What do you say, Marv?	Hvað segirðu, Marv?
I'll be damned if I'm going to clean up this mess! Ha ha ha!	Ég dett niður dauður ef ég á að þrífa þetta allt!
Hey, McClane!	Hey, McClane!
What the fuck is that?	Hver fjandinn er þetta?
What's up?	Hvað?
Did I hit something?	Ók ég á eitthvað?
Maybe you got a flat?	Kannski er sprungið.
No.	Nei.
What the fuck? You better pull over and see.	Þú ættir að stoppa og athuga hvað er að.
He's still alive.	Hann er enn á lífi.
You piece of shit!	Skíthællinn þinn!
Die, you motherfucker!	Drepstu, helvítið þitt!
Look at me!	Líttu á mig!
As far back as I can remember, I always wanted to be a gangster.	Frá fyrstu tíð langaði mig að verða glæpamaður.
To me being a gangster was better than being president of the United States.	Fyrir mitt leyti var betra að vera glæpamaður en forseti. Brooklyn í austurhluta New York.
Even before I went to the cabstand for an after-school job I knew I wanted to be part of them.	1955 Áður en ég fór að vinna á leigubílastöðinni eftir skóla vissi ég að ég vildi verða einn af þeim.
It was there that I knew I belonged.	Ég vissi að þar ætti ég heima.
To me, it meant being somebody in a neighborhood full of nobodies.	Fyrir mér var það að vera merkilegur í hverfi þar sem enginn var neitt.
They weren't like anybody else.	Þeir voru engum öðrum líkir.
They did whatever they wanted.	Þeir gerðu það sem þeim sýndist.
They parked in front of hydrants and never got a ticket.	Þeir lögðu við hliðina á brunahana án þess að fá sekt.
