Bye, Jimmy.	Bless, Jimmy.
Um... the girl I love is getting married... and I have to stop the wedding.	Stúlkan sem ég elska er að gifta sig og ég þarf að stöðva brúðkaupið.
That's fantastic.	Það er stórkostlegt.
Next!	Næsti.
Next in line, please.	Næsti, takk fyrir.
Have a nice day.	Vertu sæll.
The white zone's for loading and unloading only.	Hvíta svæðið er bara fyrir farangur og farþega.
Hey, are you all right? Are you all right? What is it?	Skær og skínandi Ertu ómeiddur?
Oh, he's alive!	Hvað er að? Hann er lifandi!
I need to get to Niagara Falls... by Saturday to stop Chloe from getting married.	Ég verð að komast til Niagara - fossa fyrir laugardaginn... til að stöðva brúðkaup Chloe.
I'm Todd.	Ég heiti Todd.
And I'm Lorraine.	Og ég heiti Lorraine.
And we can get you to Niagara Falls. Yeah!	Við getum komið þér til Niagara-fossa.
Bright and shiny!	Skær og skínandi!
Stick him in the rear!	Setjið hann inn að aftan!
Excuse me, Todd.	Afsakaðu, Todd.
But more on that later.	En meira um það seinna.
This will help explain.	Þetta varpar ljósi á það.
Put it in the decontamination bay.	Settu pésann í hreinsunarhólfið.
Right there.	Þarna.
First, we prepare our souls... by stripping ourselves of all material possessions... and sexual desires.	Fyrst undirbúum við sál okkar með því að losa okkur... við alla veraldlega muni... og kynlífslöngun.
Kool-aid, Lorraine?	Viltu fá Kool-Aid, Lorraine?
Thanks, Lorraine. Lorraine? Ooh!	Þakka þér fyrir, Lorraine.
Her name's Lorraine, too?	Heitir hún líka Lorraine?
We're all Lorraine. And you will be Todd... a name chosen especially for you by Gil.	Við heitum öll Lorraine... og þú verður Todd, Gil velur það nafn sérstaklega handa þér!
What does Bill do with all your stuff?	Hvað gerir Bill við dótið ykkar?
He's holding it for us at the compound.	Hann geymir það fyrir okkur á svæðinu.
Where's the compound?	Hvar er það?
I'm not really sure.	Ég veit það ekki alveg.
In Texas?	Í Texas?
This isn't Niagara Falls! This is a desert!	Þetta eru ekki Niagara-fossar heldur eyðimörk!
Yes--yes, I realize that in typical cases... you have to wait 48 hours.	Ég veit að maður þarf yfirleitt að bíða í tvo sólarhringa.
But this is not a typical case.	Þetta er ekki dæmigert tilfelli.
My son is a bubble boy.	Sonur minn þarf að búa í plastkúlu.
He'll die out there!	Hann deyr þarna úti!
Well, you'll certainly be in my prayers tonight. And I'll be praying you get nut cancer!	Ég bið þess í kvöld að þú fáir krabbamein í eistun!
All right, Plan B. Did you finish the note?	Allt í lagi, varaáætlun. Ertu búinn með miðann?
Come on."	Hr.
Mr. and Mrs. Livingston, we have kidnapped your son."	Og frú Livingston, við rændum syni ykkar.
Pay $ 1 00,000 or he dies.	Borgið 100 þúsund dali, annars deyr hann.
Signed, the Jews."	Gyðingarnir.
Are you kidding?	Ertu að grínast?
Are you kidding me?	Ertu að grínast?
Who in their right mind is gonna believe this note?	Hver með réttu ráði tæki mark á þessum miða?
It's the Jews, Morton!	Þetta eru gyðingarnir, Morton!
They're gonna want more than $ 1 00,000!	Þeir vilja fá meira en hundrað þúsund.
Think, man, think!	Hugsaðu, maður!
Have you seen my son? Hello?	Hefurðu séð son minn?
I think he's deaf.	Ég held að hann sé heyrnarlaus.
Have you seen my boy?	Hefurðu séð son minn?
I heard that.	Ég heyrði þetta.
Mort, let's move it!	Drífum okkur.
I'll have you know that I've lost two pounds.	Ég læt þig vita að ég hef misst fjögur kíló.
I have my ankle weights on right now... and it's very hot in here and I'm losing weight.	Ég er með ökklalóð... og það er heitt hérna og ég grennist.
I've lost four pounds in the last two months.	Ég hef misst átta kíló á tveimur mánuðum.
What are you... some kind of astronaut?	Hvað ertu? Geimfari af einhverju tagi?
No, I'm some kind of bubble boy.	Nei, ég er plastkúludrengur.
How do you take a dump in that thing?	Hvernig kúkarðu í þessu?
I think I could help you with your situation here.	Ég held að ég geti hjálpað þér.
How's some bubble vato gonna help me?	Hvernig getur plastkúlugaur hjálpað mér?
I got patches.	Ég er með plástra.
Patches?	Plástra?
I could use some stinkin' patches. Gil! Gil, we love you!	Ég gæti þegið nokkra.
Welcome, my children. Welcome.	Verið velkomin, börnin góð.
Today will truly be a time of spiritual illumination.	Í dag verður sannarlega andleg upplýsing.
Now, can anyone guess why we're all here? Ooh! Ooh, me!	Getur einhver giskað á af hverju við erum öll hérna?
Yes, Todd.	Já, Todd. Til að komast að því...
No, the other Todd.	Nei, hinn Todd.
To find out the final incarnation of the Chosen One?	Til að fræðast um lokaholdtekju hins útvalda?
Exactly.	Einmitt.
I can see you've been reading your Kloobda.	Ég sé að þú hefur lesið Kloobda.
The Chosen One is among us!	Hinn útvaldi er meðal okkar!
He walks the earth.	Hann gengur um Jörðina.
His final incarnation will be... A round one!	Lokaholdtekja hans verður... kringlótt!
Yes, the round one.	Já, kringlótt.
The holy messenger trapped in a living globe.	Sendiboðinn helgi innilokaður í lifandi hnetti.
We must find him and release him... so that he may carry us... only true believers, to the kingdom of Heaven.	Við verðum að finna hann og leysa hann úr viðjum... svo að hann geti borið okkur... þau einu sem trúa í raun og veru, til himnaríkis.
And those who reject him will mutate... and burn eternally on Planet PX-41.	Þau sem hafna honum stökkbreytast... og brenna að eilífu á plánetu PX-41.
I gotta get there by Saturday... to stop Chloe from marrying the wrong man. Ha ha ha!	Ég verð að vera þar á laugardaginn til að koma í veg fyrir að Chloe... giftist vitlausum manni.
Let's cut the vato, ese!	Ætlarðu að skera kauða?
I wasn't planning on cutting the vato, no.	Ég ætlaði ekki að gera það.
Somebody run off with your old lady... Legally you're allowed to cut him.	Ef einhver stingur af með konunni manns má maður skera hann!
She wasn't technically my old lady. I just never...	Hún var ekki eiginkona mín. Ég hef bara aldrei...
I just never told her how I felt.	Ég hef aldrei sagt henni hug minn.
When I was your age, I was in love with a woman.	Á þínu reki... elskaði ég konu.
No.	Nei.
To this day, ese, I regret not finding him... and cutting his heart out in a really violent way.	Til þessa dags iðrast ég þess... að hafa ekki fundið hann og skorið hjartað úr honum.
Don't be like me, ese.	Vertu ekki eins og ég, vinur.
Don't live in regret.	Lifðu ekki í eftirsjá.
Wildfire I'm OK.	Það er allt í lagi.
Look at the lights!	Líttu á ljósin!
Now this is Las Vegas, Jimmy!	Þetta er Las Vegas, Jimmy!
Paris!	París!
That's beautiful, ain't it?	Er þetta ekki fallegt?
And New York!	Og New York?
That's big New York.	Hin frábæra New York.
This is amazing, Slim.	Þetta er ótrúlegt, Slim!
We can win some gas money to get to Niagara Falls!	Við getum unnið bensínpeninga til að komast til Niagara-fossa.
All right, chicas! Chicas! Ha ha ha ha ha! Ow!	Allt í lagi, stelpur!
Ha ha ha! This is amazing!	Þetta er ótrúlegt.
This town never goes to sleep.	Þessi borg sefur aldrei.
We'll do some partying!	Við skemmtum okkur.
Jimmy!	Jimmy!
Where are you, baby?	Hvar ertu, elskan?
Coming through.	Elsku Jimmy minn.
Excuse us.	Farið frá.
Come on, talk to me, babies.	Talið við mig, elskurnar.
Lookin' good!	Þetta lítur vel út.
Yes, all right. Slim? Yeah.	Flottar meyjar Hvernig er það?
I could tell you what it was like with me and Wildfire.	Hjá okkur Ástarbáli var það eins og...
1,200 CCs of American steel vibrating between your legs. Oh, man.	1200 rúmsentímetrar af bandarísku stáli... titrandi milli fótanna.
I'm talking fourth gear.	Í fjórða gír.
You want to win the money for our trip, don't you?	Viltu ekki vinna peninga fyrir ferðina?
But what if I lose again?	Hvað ef ég tapa?
You didn't get out of that bubble room to play it safe.	Ég er búinn með peningana. Ég stel peningum af blindu konunni.
You're right.	Bíddu hérna.
Go for it.	Ég verð að fara.
Slim, I don't think- I gotta go.	Ég verð að fara, Slim.
I only have two days- No, Slim! I gotta go!	Það eru bara tveir dagar til stefnu.
I only have two days left! It'll be awesome! I only have two days left!	Ég hef bara tvo daga til stefnu.
Bow-wow ba-ba-ba bow-wow Ba-ba-ba-ba Bow-wow ba-ba-ba bow-wow Ba-ba-ba-ba Bow-wow ba-ba-ba bow Rrrow-wow ba-ba-ba bow-wow I didn't like leaving Slim without saying good-bye... but I knew the vato would understand.	Freistið gæfunnar Mér þótti leitt að yfirgefa Slim án þess að kveðja hann... en vinur minn myndi skilja það.
The wedding was two days away... and I only had 12 CCs of American steel to get me there.	Brúðkaupið var eftir tvo daga... og ég hafði bara 12 rúmsm af bandarísku stáli... til að komast þangað.
Don't think I can't see you gawking at those neon boobies.	Ég sé að þú starir á þessar neóntúttur.
Just keep your eye on the road, mister.	Hafðu bara glyrnurnar á veginum, væni.
Hey, have you seen my little buddy?	Hafið þið séð litla vininn minn?
He's got frizzy hair, and he's in a bubble.	Hann er með hrokkið hár og hann er í plastkúlu.
Hey, what's up?	Hvað er að þér?
Uhh! Have you seen this little bubble guy, ma 'am?	Hefurðu séð þennan litla plastkúludreng?
I didn't mean it.	Ég meinti það ekki.
Excuse.	Afsakaðu.
Hola.	Halló.
We're a bit lost.	Við erum dálítið villt.
Could you tell us the way to- Niagara Falls?	Viltu vísa okkur til... Niagara-fossa?
I beg your pardon?	Hvað þá?
'Cause that's where my little buddy was headed... when you left him in the desert to die!	Vinur minn ætlaði þangað þegar þið skilduð hann eftir... í eyðimörkinni til að bíða dauðans!
Come back!	Komið aftur!
You Bright and Shinies- - come back and get shiny on my knife! Hey! Hey! Hey!	Þið skær og skínandi, komið og aftur og kynnist hnífnum mínum!
Aah! This looks like Area 51.	Þetta er dularfullt svæði.
Holy mother of shit, Morton!	Hvert í hoppandi, Morton.
A space creature? An alien?	Er þetta geimófreskja?
Oh, my God!	Guð minn góður!
Stop the car! Jimmy!	Stöðvaðu bílinn!
Aah! I wasn't quite sure just how I 'd gotten on board... but I 'd always dreamed of riding a train.	Ég vissi ekki hvernig ég hafði komist um borð... en mig hafði alltaf dreymt um að ferðast með lest.
Thank goodness the worst was behind me... or so I thought.	Guði sé lof að það versta var að baki.
What did you say?	Hvað sagðirðu?
He said be quiet or the doctor will hear you. Shh!	Hann sagði þér að þegja, annars heyrði læknirinn í þér.
Who are you?	Hver ert þú?
They call me the Human Sasquatch. What's your real name?	Ég er kallaður mennski Stórifótur.
Um... Clark?	Hvað heitirðu í alvöru? Clark?
So what's your deal?	Því ertu hérna?
Why are you in a bubble?	Af hverju ertu í plastkúlu?
To protect me from germs.	Til að vernda mig fyrir sýklum.
He's not your average doctor.	Hafðu hljótt! Hann er ekki neinn venjulegur læknir.
He's Dr. Phreak.	Hann er Frík læknir.
We're all part of his traveling Phreak Show.	Við komum fram í viðrinasýningu hans.
He owns us.	Hann á okkur.
Owns you?! Shh!	Á hann ykkur?
He's an ex-con. If he finds you in this train, he'll own you, too.	Ef hann fréttir að þú sért í lestinni eignast hann þig líka.
Now you did it, bubble butt.	Núna fórstu með það.
Here he comes!	Hérna kemur hann!
Run for your life!	Hann er hrotti.
You're Dr. Phreak?	Ert þú Frík læknir?
Ha ha ha ha! You're so mini!	Þú ert svo lítill!
I'm not mini! Not!	Ég er ekki lítill!
Not!	Nei!
I'm not mini! Who the hell are you?	Hver í fjandanum ert þú?
He's the bubble boy.	Hann er plastkúludrengurinn.
Shut your beak!	Haltu þér saman.
What are you doing out of your coop?	Því ertu ekki í búrinu? Ég þegi.
I shut up. I could use some fresh meat in my show.	Ég gæti notað nýtt fólk í sýningunni.
Then I kicked her ass out of the car.	Í tíu mínútur, síðan sparkaði ég henni út úr bílnum.
Well, I gotta get going.	Ég verð að fara.
Going?! Oh! Oh!	Ætlarðu að fara?
What are you gonna do?	Þú ert viðrini.
You're a freak, and I should know.	Ég ætti að vita það.
That's my business.	Það er mitt mál.
No decent girl wants to marry a bubble freak.	Engin sómakær stúlka giftist plastkúluviðrini.
Once you get that through your thick, freaky skull... then give me a call.	Þegar þú kemur því inni í hausinn á þér skaltu láta mig vita.
What's wrong with being a freak? Aah! Oh! Oh!	Hvað er að því að vera viðrini?
That hurt! Doctor?	Er hann ómeiddur?
Is he OK? I didn't mean to...	Ég ætlaði ekki...
He looks so sweet when he's not yelling.	Hann er svo sætur þegar hann æpir ekki.
You've killed him. What are we going to do? Whoa!	Þú drapst hann.
Good luck!	Gangi ykkur vel.
Bye!	Bless!
Uhh! Heads up, Bubble! OK. Bye!	Vertu vakandi, plastkúludrengur!
Get your own bags!	Taktu töskurnar.
What do you think I am--bellhop?	Ég er ekki enginn hótelþjónn.
Hey, where are you guys going?	Hvert ætlið þið?
We're going with you, Dr. Bubble.	Við ætlum með þér, dr. Plastkúludrengur.
We're going with you.	Dr.
Dr. Bubble?	Plastkúludrengur?
No, no!	Nei.
You guys are free.	Þið eruð frjáls.
You can do whatever you want now.	Þið getið gert hvað sem er.
Oh, we're free!	Við erum frjáls.
On to Niagara Falls!	Til Niagara-fossa!
Look, you guys...	Þið...
I gotta do this alone. Oh, yeah.	Ég verð að gera þetta einn.
It sure was nice... of the train man to loan me his vehicle... but if I was gonna make it to the wedding on time...	Það var fallegt af lestar - karlinum að lána mér vagninn... en ég þurfti vélknúið farartæki til að komast í brúðkaupið.
Could anybody give me a ride?	Getur einhver skutlað mér?
Tofu gives me such gas!	Ég fæ vindverki af tofu.
Bloody red meat!	Andskotans rautt kjöt!
I don't want any trouble.	Ég vil engin vandræði.
I'm just- Really?	Í alvöru?
Why are you in that bubble, boy? Huh?	Því ertu í kúlunni, strákur?
Because I was born without any immunities- Immunities?!	Af því ég fæddist með ónýtt ónæmiskerfi.
What the hell are immunities?	Hvað í fjandanum er ónæmiskerfi?
Well, I ain't sticking around to find out! Me, neither.	Ég ætla ekki að vera hér til að komast að því.
Everybody out!	Allir fari út!
I don't have germs!	Ég er ekki með sýkla!
I'm not contagious!	Þetta er ekki smitandi!
I just need a ride!	Ég þarf bara að fá far!
I need a ride!	Mig vantar far!
I hereby declare this place quarantined!	Ég set þennan stað í sóttkví.
I don't have germs! Oh! Ohh!	Ég er ekki með neina sýkla!
What's going on, Sheriff? Oh!	Hvað gengur á, lögreglustjóri?
Guys, I think your building's on fire.	Ég held að það sé kviknað í húsinu.
Carl Peterson's best pig just died!	Besta svín Carls Petersons drapst!
It's spreading!	Sjúkdómurinn breiðist út!
Just like Calcutta in the summer! Come!	Rétt eins og Kalkútta á sumrin.
Follow me!	Fylgdu mér.
Come on! Whoa!	Flýttu þér!
I don't think I'm in!	Ís Karrí Ég er ekki kominn inn í bílinn!
Stop messing about!	Enga vitleysu!
This whole town is going to blow!	Allur bærinn springur!
Morton, that's the one! Jimmy!	Morton, þetta er vagninn!
We're here!	Við erum hérna!
Morton, get this thing open.	Opnaðu, Morton.
Jimmy?!	Jimmy?
Look at this cute little boy, Morton!	Líttu á þennan litla, sæta pilt.
Can you tell me, have you seen my son?	Hefurðu séð son minn?
He's wearing a large plastic bubble suit.	Hann er í stórum plastbúningi.
I know what you want.	Ég veit hvað þú vilt.
I'll give you some candy.	Langar þig í sælgæti?
He stole my freaks, that son of a bitch! Oh!	Helvítið stal viðrununum mínum.
What a potty mouth you have!	Sorakjaftur!
Where was he going?	Hvert ætlaði hann?
Screw you, lady! Aah!	Farðu til andskotans, kerling.
Thanks.	Þökk fyrir.
Thanks for saving me back there.	Þakka þér fyrir að bjarga mér.
You're welcome.	Það var lítið.
Those were some crazy vatos.	Þetta voru óðir piltar.
For some unknown reason, Shiva has brought you... into my life like a hot flash.	Af einhverri ástæðu hefur Síva komið með þig í líf mitt.
You came to my defense... and the law of karma requires me to return the favor.	Þú varðir mig. Karmalögmálið býður mér að endurgjalda þér.
This ice cream truck is merely a catalyst... a way to teach the wisdom of the Sacred Cow.	Ísbíllinn gerir mér kleift að kenna visku heilagrar kýr.
For who can resist ice cream, eh?	Hver getur staðist ís?
I know I can't.	Ég get það ekki.
So, how may I be of service to you... my Zip-locked friend?	Hvernig get ég orðið að liði, læsti vinur?
That's the whole point.	Brellurnar eru ósannfærandi. Það er málið.
What? It's supposed to look fake?	Á þetta að virðast vera óekta?
I'm not here. Hello?	Ég er ekki heima.
What have you done with my son?	Hvað hefurðu gert við son minn?
Mrs. Livingston?	Frú Livingston?
Is he with you?	Er hann hjá þér?
How could he be here?	Hvernig gæti hann verið hérna?
Well, apparently he's on his way... to your wedding in a bubble suit... exposing himself to all the wickedness and filth... this world has to offer!	Hann er á leið í brúðkaupið þitt í plastbúningi... og afhjúpar sig fyrir illsku og sora heimsins.
And you're responsible! Come on!	Og þú berð ábyrgð á því.
Let's go, Morton.	Komdu, Morton.
You two aren't going anywhere... until I get my freaks back.	Þið farið hvergi fyrr en ég fæ viðrinin mín aftur.
Don't you take that tone of voice with me, young man!	Ekki svona tón við mig, piltur minn.
Morton, are you gonna let him talk to me like that?	Ætlarðu að leyfa honum að tala svona við mig, Morton?
Yeah, Mort.	Já, Mort.
Are ya? My car! My freaks!	Ætlarðu að leyfa mér það?
Help!	Bíllinn minn!
Jimmy!	Viðrinin mín!
Aah! Jimmy!	Hjálp, Jimmy!
Help!	Hjálp!
Thanks for saving me, Mark.	Þakka þér fyrir að bjarga mér, Mark.
How do you do it?	Hvernig fórstu að því?
Immunities, baby.	Ónæmiskerfið, elskan.
Immunities. Aah! Aah! Aah!	Hamingjan sanna.
Oh! Look at that.	Líttu á þetta.
It's an elk.	Það er elgur.
Or is it a caribou?	Eða hreindýr?
Or an American bison? I, uh...	Eða amerískur vísundur?
I think that it's a cow.	Ég held að það sé belja.
Oh, really?!	Er það satt?
A cow?!	Belja?
I didn't know.	Ég vissi það ekki!
What have I done?	Hvað hef ég gert?
It's just a cow, Pushpop.	Þetta er bara belja, Pushpop.
Just a cow?	Bara belja?
Heh heh heh!	Bara belja?
I have transgressed against Shiva!	Ég hef syngdað gegn Sívu!
I'll take that as a no! Oh!	Ég lít á þetta sem nei!
Um... It's OK, Pushpop.	Það er allt í lagi, Pushpop.
Your religion's all lies.	Trúarbrögð þín eru tóm lygi.
Pardon?	Hvað þá?
That's what my mom says.	Það segir mamma mín. Kjaftæði.
I mean... Bollocks. I must atone.	Ég verð að bæta fyrir misgjörðir mínar.
His mother taught him.	Mamma hans kenndi honum það.
No!	Nei!
One for the road. What?	Einn fyrir ferðina.
No, no, no. There are germs in here!	Nei, það eru sýklar hérna.
Frozen!	Frosinn.
No germs!	Engir sýklar.
No germs?	Engir sýklar?
When did this happen?	Hvenær gerðist þetta?
Thanks for the lift!	Þakka þér fyrir farið!
Stripper.	Strippari.
Dykes.	Lessa.
Dear Lord, if Thou findest... the stealing of this truck offensive in any way... please direct Thy wrath upon that midget... and not upon us, Thy humble servants.	Drottinn, ef Þér finnst gróft að stela bílnum... beindu þá reiði Þinni að þessum dvergi, ekki okkur. Auðmjúkir þjónar þínir.
Amen.	Amen.
Let's haul ass.	Drífum okkur.
One of you drive.	Annað ykkar þarf að keyra.
I can't reach the pedals.	Ég næ ekki niður á pedalana.
Upsy-daisy.	Oppsadeisí.
I am coming back as a cockroach.	Ég kem aftur sem kakkalakki.
Definitely a cockroach.	Örugglega kakkalakki.
Aah! Now, we don't know where those hands have been, do we?	Við vitum ekki hvar þessar hendur hafa verið.
Rub them together.	Nuddaðu hendurnar.
Kill those germs!	Dreptu sýklana.
That's right. Good boy.	Svona já, góður strákur.
No! Stop!	Nei, stansið!
Yo, hippie!	Já, hippi!
You seen a big, yellow bus with a lot of bright... and shiny cabrones pass through here?	Ók stór, gul rúta með skærum og skínandi þrjótum fram hjá?
No, sir. I don't believe I have.	Nei, ég held ekki.
You got any bomb pops on that truck?	Ertu með Bomb Pops?
Please, take the whole damn truck.	Takið alla bíldrusluna.
Uhh! What have I done?	Hvað hef ég gert?
You OK?	Er allt í lagi?
Yeah.	Já.
It's just- Jimmy's my best friend.	Jimmy er besti vinur minn.
We basically spent every day together in high school. Yeah?	Við vorum alltaf saman þegar við vorum í miðskóla.
Did you ever... you know, get in his bubble?	Komstu nokkurn tíma í kúluna til hans?
No.	Nei.
You're way better off with my brother. Yeah.	En þú ert betur sett með bróður mínum.
Way better off.	Miklu betur sett.
Taxi! Hi!	Velkomin til Rydell í Illinois Leigubíll!
I need to get to Niagara Falls by tomorrow.	Ég þarf að komast til Niagara - fossa fyrir morgundaginn.
Can you take me there?	Það fer eftir ýmsu.
Depends. On what?	Hverju þá?
Goin'that far I'll have to get me some Depends.	Fyrst þú ætlar svona langt þarf ég að kaupa bleiur.
And 500 smackers! $ 500?!	500 dalir.
Where am I gonna get $ 500?	500 dali? Hvar fæ ég 500 dali?
Who wants to be next?	Aðeins í kvöld 500 dalir Hver vill verða næstur?
Who wants the $ 500?	Hver vill fá 500 dali?
Now, we need some fresh blood here!	Við þurfum nýtt blóð.
Whoa! Spotlight on the dance floor!	Sviðsljósið á dansgólfinu!
Whoa, I like the look of this!	Mér líst vel á þetta!
Mr. Alien, is it?	Heitirðu Geimvera?
What are you doing here, dummy?	Hvað ertu að gera hérna?
I saw the sign outside... and it said that you have $ 500, and so...	Ég sá skiltið úti og á því stóð að þú ættir 500 dali...
You want $ 500? Yes.	Viltu fá 500 dali?
I would like $ 500.	Já, 500 dali.
Please, I would like $ 500.	Já, ég vil fá 500 dali!
You want $ 500?	Viltu fá 500 dali?
Yes, I want $ 500! $ 500! $ 500! All right!	Já, ég vil fá 500 dali! 500 dali? 500 dali!
Our next contestant, Mr. Alien!	Næsti keppandi, hr. Geimvera!
Red Hot, Working Girl, bring him on over!	Komið með hann, glæsikvendi!
A big cheer for Mr. Alien! Mud!	Klappið fyrir hr. Geimveru!
Goddess Shiva, I really need that money!	Ég þarf peningana!
We have winner! Winner! Winner!	Það er kominn sigurvegari!
I was listening to that!	Morton, ég var að hlusta á þetta.
A girl can't get five minutes of quality time with Jesus.	Ég fæ ekki að vera fimm mínútur í friði með Jesú.
Man, this is some good curry!	Þetta er gott karrí.
Yeah! I got the money!	Ég er með peningana!
Look! There he is!	Þarna er hann!
I've got the money!	Ég er með peningana!
Ha ha! We found you, Todd.	Við fundum þig, Todd.
We know who you are.	Við vitum hver þú ert.
We've come to set you free! Ow!	Við komum til að frelsa þig!
You are the Chosen One!	Þú ert hinn útvaldi!
I don't need you to set me free!	Þið þurfið ekki að frelsa mig!
I got a plan.	Ég er með áætlun.
What size shirt you wear?	Hvaða stærð af skyrtu notarðu?
And now, to avoid mutating and burning on planet PX-41... we release the Chosen One using the ceremonial tweezers.	Til að forðast stökkbreytingu og að brenna á plánetu PX-41... frelsum við hinn útvalda með viðhafnartöngum.
With this tiny prick, I release thee!	Með þessari smátöng leysi ég þig úr viðjum!
No! Don't!	Nei, ekki!
I'll die!	Ég dey!
It must be a test!	Þetta hlýtur að vera próf.
Where's my Kloobda?	Hvar er Kloobda?
Right there, Lorraine!	Þarna, Lorraine.
Thank you.	Þakka þér fyrir!
You're welcome.	Það var lítið.
Wait a minute!	Bíddu við.
You're not a Shiny!	Þú ert ekki úr hópnum.
Who are you? Uh...	Hver ert þú?
Todd? Oh! Hi, Todd.	Todd?
What's the matter with your arms?	Hvað er að handleggjunum á þér?
What are you talking about?	Hvað áttu við?
There's nothing wrong with my arms!	Það er ekkert að...
We're too late!	Við erum of sein!
We're mutating!	Við erum að stökkbreytast!
We'll get you out through the front of the bus.	Við náum þér út.
Oh, God! Why won't you help me?	Því hjálpið þér mér ekki?
I miss him, too.	Ég sakna hans líka.
Todd!	Todd!
Hey, Shinies! We have some unfinished business, huh?	Eigið þið eitthvað óuppgert, Shinies?
No, no, Slim.	Nei, Slim.
They're my friends.	Þau eru vinir mínir.
They got him brainwashed! No!	Þau heilaþvoðu hann!
No! No! Wait!	Bíðið við.
Don't worry! I'll take you on with one flipper behind my back!	Ég berst við ykkur með annað bægslið bundið bak við mig.
Free Willy!	Free Willy!
Where's Bubble Boy?	Hvar er plastkúludrengurinn?
Chasing a dame, ain't you?	Ertu að eltast við stelpu?
Who am I to judge you Last time I was in a commotion like that... it was all on account of Poon.	Síðast þegar ég var í svona miklu uppnámi... var það út af kvennafari.
Oh, what the astronauts drink. No, no.	Það sem geimfarararnir drekka.
My little China doll. Yeah, till that damn brother of mine... took her off to Waxahachie.	Nei, konan mín. Litla postulínsbrúðan mín. Þessi árans bróðir minn fór með hana til Waxahachie.
Snatched my Poon right out from under me.	Stal stelpunni af mér fyrir framan nefið á mér.
86 years ago.	Fyrir 86 árum.
I ain't spoke to that bastard since.	Ég hef ekki talað við dónann síðan.
Don't live in regret, ese.	Lifðu ekki í eftirsjá, vinur.
He's your family.	Hann er bróðir minn.
Family.	Bróðir.
Heh. I really gotta go!	Ég verð að fara á klósettið.
I told you, once we're on the road we're not stopping!	Ég sagði þér að við stönsum ekki þegar við förum af stað.
Poor little thing.	Greyið litla.
You must be tired.	Þú hlýtur að vera þreyttur.
Is Chloe there?	Er Chloe þarna?
Who can I say is calling?	Hver er þetta með leyfi?
It's Jimmy.	Jimmy.
Hello, Jimmy.	Sæll, Jimmy.
Where the hell are you?	Hvar ertu eiginlega?
