Chapter 1 - Of Fiddle Mord	Kafli 1
Auzur asked them into his booth to drink, so their horses were unsaddled, and they went in and drank, and while they were drinking, Hrut said to Auzur, "Now, kinsman, thou must ride west with me, and stay with me this winter."	Hrútur mælti til Össurar: «Nú skalt þú ríða vestur með mér frændi og vera með mér í vetur.»
"That cannot be, kinsman, for I have to tell thee the death of thy brother Eyvind, and he has left thee his heir at the Gula Thing, and now thy foes will seize thy heritage, unless thou comest to claim it."	«Eigi hendir svo,» sagði hann, «því að eg segi þér lát Eyvindar bróður þíns en hann leiddi þig til arfs á Gulaþingi og munu nú taka óvinir þínir ef þú kemur eigi til.»
"Thou must ride south," said Hauskuld, "and see Mord, and ask him to change the bargain which ye two have made, and to let his daughter sit for thee three winters as thy betrothed, but I will ride home and bring down thy wares to the ship."	Höskuldur mælti: «Þú skalt ríða suður til fundar við Mörð og bið hann að þið skipið máldaga annan og sitji dóttir hans þrjá vetur í festum. En eg mun ríða heim og flytja vöru þína til skips.»
Then said Hrut, "My wish is that thou shouldest take meal and timber, and whatever else thou needest out of the lading".	Hrútur mælti: «Nú vil eg að þú takir mjöl og við og slíkt annað sem þér líkar af varningi.»
So Hrut had his horses brought out, and he rode south, while Hauskuld rode home west.	Hrútur lét taka hesta sína og reið hann suður en Höskuldur reið heim vestur.
Hrut came east to the Rangrivervales to Mord, and had a good welcome, and he told Mord all his business, and asked his advice what he should do.	Hrútur kom austur á Rangárvöllu til Marðar og hafði þar góðar viðtökur. Hrútur sagði Merði allt efni sitt og bað hann ráð á leggja.
"How much money is this heritage?" asked Mord, and Hrut said it would come to a hundred marks, if he got it all.	Mörður mælti og spurði hversu mikið fé það væri. Hrútur sagði vera tvö hundruð marka ef hann fengi allt.
"Well," said Mord, "that is much when set against what I shall leave behind me, and thou shalt go for it, if thou wilt."	Mörður mælti: «Mikið er það í móti erfðinni minni og skalt þú víst fara ef þú vilt.»
After that they broke their bargain, and Unna was to sit waiting for Hrut three years as his betrothed.	Síðan breyttu þeir máldaganum og skyldi Unnur sitja þrjá vetur í festum.
Now Hrut rides back to the ship, and stays by her during the summer, till she was ready to sail, and Hauskuld brought down all Hrut's wares and money to the ship, and Hrut placed all his other property in Hauskuld's hands to keep for him while he was away.	Nú ríður Hrútur til skips og er við skip um sumarið þar til er búið var. Höskuldur færði fé allt til skips það sem Hrútur átti. Hrútur fékk Höskuldi í hendur fjárvarðveislu sína vestur þar meðan hann væri utan.
Then Hauskuld rode home to his house, and a little while after they got a fair wind and sail away to sea.	Reið Höskuldur heim til bús síns. Litlu síðar gaf þeim byr og sigla þeir í haf.
At that time Harold Grayfell reigned in Norway;	Haraldur gráfeldur réð fyrir Noregi.
he was the son of Eric Bloodaxe, who was the son of Harold Fairhair; his mother's name was Gunnhillda, a daughter of Auzur Toti, and they had their abode east, at the King's Crag.	Hann var sonur Eiríks blóðöxar Haraldssonar hins hárfagra. Gunnhildur hét móðir hans og var dóttir Össurar tota.
"I am going to send thee to the Bay to find out Auzur and Hint, and tell them that I ask them both to spend this winter with me.	«Eg vil senda þig norður í Víkina á fund Össurar og Hrúts og seg að eg býð þeim báðum til mín í vetur og eg vil vera vinur þeirra.
Say, too, that I will be their friend, and if Hrut will carry out my counsel, I will see after his suit, and anything else he takes in hand, and I will speak a good word, too, for him to the king."	Og ef Hrútur fer mínum ráðum fram þá skal eg sjá um fémál hans og um það annað er hann tekur að henda. Eg skal og koma honum fram við konunginn.»
for I know Gunnhillda's temper; as soon as ever we say we will not go to her she will drive us out of the land, and take all our goods by force;	Jafnskjótt sem við viljum eigi fara til hennar mun hún reka okkur úr landi en taka fé okkað allt með ráni.
but if we go to her, then she will do us such honour as she has promised."	En ef við förum til hennar þá mun hún gera okkur sæmd slíka sem hún hefir heitið.»
Augmund went home, and when he saw Gunnhillda, he told her how his errand had ended, and that they would come, and Gunnhillda said -	Ögmundur fór heim. Og er hann fann Gunnhildi sagði hann henni erindislok sín og það að þeir mundu koma. Gunnhildur mælti:
Hrut and Auzur went east to the King's Crag, and when they reached the town, their kinsmen and friends went out to meet and welcome them.	En er þeir komu þar gengu í mót þeim frændur og vinir og fögnuðu þeim vel.
They asked, whether the king were in the town, and they told them he was.	Þeir spurðu hvort konungur var í bænum. Þeim var sagt að hann var þar.
After that they met Augmund, and he brought them a greeting from Gunnhillda, saying, that she could not ask them to her house before they had seen the king, lest men should say, "I make too much of them".	Síðan mættu þeir Ögmundi. Hann sagði þeim kveðju Gunnhildar og það með að hún mundi eigi bjóða þeim fyrr en þeir hefðu fundið konung fyrir orðs sakir «að svo þyki sem eg grípi gulli á við þá.
Still she would do all she could for them, and she went on, "tell Hrut to be outspoken before the king, and to ask to be made one of his body-guard"; "and here," said Augmund, "is a dress of honour which she sends to thee, Hrut, and in it thou must go in before the king".	En eg mun þó til leggja slíkt er mér sýnist og veri Hrútur djarfmæltur við konung og biðji hann hirðvistar.» Eru hér og klæði er drottningin sendir þér og skalt þú í þeim ganga fyrir konunginn.»
After that he went away.	Síðan fór Ögmundur aftur.
The next day Hrut said -	Annan dag eftir mælti Hrútur við Össur:
So they went, twelve of them together, and all of them friends or kinsmen, and came into the hall where the king sat over his drink.	Þeir gengu tólf saman og voru þeir allir frændur þeirra og vinir. Þeir komu í höllina er konungur sat yfir drykkju.
Hrut went first and bade the king "good day," and the king, looking steadfastly at the man who was well-dressed, asked him his name.	Gekk Hrútur fyrstur og kvaddi konunginn. Konungur hugði vandlega að manninum er vel var búinn og spurði hann að nafni.
"Art thou an Icelander?" said the king.	«Ert þú íslenskur maður?» sagði konungur.
He answered, "Yes".	Hann sagði að svo var.
"What drove thee hither to seek us?" Then Hrut answered -	«Hvað hvatti þig hingað á vorn fund?»
"To see your state, lord; and, besides, because I have a great matter of inheritance here in the land, and I shall have need of your help, if I am to get my rights."	«Að sjá tign yðra herra og það annað að eg á erfðamál mikið hér í landi og mun eg yðvar verða við að njóta að eg fái rétt af.»
The king said -	Konungur mælti:
"It seems to me as if this man offered you the greatest honour, for me thinks if there were many such men in the body-guard, it would be well filled."	«Svo líst mér sem sjá maður bjóði yður hina mestu sæmd því að mér líst svo ef slíkir væru margir innan hirðar sem þá væri vel skipað.»
"Is he a wise man?" asked the king.	«Er hann vitur maður?» sagði konungur.
"He is both wise and willing," said she.	«Bæði er hann vitur og framgjarn,» segir hún.
"Well," said the king, "methinks my mother wishes that thou shouldst have the rank for which thou askest, but for the sake of our honour and the custom of the land, come to me in half a month's time, and then thou shalt be made one of my body-guard.	«Svo þykir mér sem móðir mín vilji að þú fáir nafnbót slíka sem þú mælir til. En fyrir tignar sakir vorrar og landssiðar þá kom þú til vor á hálfs mánaðar fresti.
Meantime, my mother will take care of thee, but then come to me."	Skalt þú þá gerast hirðmaður minn en móðir mín haldi þér kost þar til og kom síðan á minn fund.»
Then Gunnhillda said to Augmund -	Gunnhildur mælti við Ögmund:
"Follow them to my house, and treat them well."	«Fylg þeim til húsa minna og ger þeim þar góða veislu.»
So Augmund went out, and they went with him, and he brought them to a hall built of stone, which was hung with the most beautiful tapestry, and there too was Gunnhillda's high-seat.	Ögmundur gekk út og þeir með honum og fylgdi hann þeim í eina steinhöll. Þar var tjaldað hinum fegursta borða. Þar var og hásæti Gunnhildar.
Then Augmund said to Hrut -	Þá mælti Ögmundur:
"Now will be proved the truth of all that I said to thee from Gunnhillda.	«Nú mun það sannast er eg sagði þér frá Gunnhildi.
Here is her high-seat, and in it thou shalt sit, and this seat thou shalt hold, though she comes herself into the hall."	Hér er hásæti hennar og skalt þú í setjast og halda mátt þú þessu sæti þó að hún komi sjálf til.»
After that he made them good cheer, and they had sat down but a little while when Gunnhillda came in.	Síðan veitti hann þeim veislu. Þeir höfðu skamma hríð setið áður þar kom Gunnhildur.
Hrut wished to jump up and greet her.	Hrútur vildi upp spretta og fagna henni.
Then she sat herself down by Hrut, and they fell to drink, and at even she said -	Síðan settist hún hjá Hrúti og drukku þau. Og um kveldið mælti hún:
"Thou shalt be in the upper chamber with me to-night, and we two together."	«Þú skalt sofa í lofti hjá mér í nótt og við tvö saman.»
"You shall have your way," he answers.	«Þér skuluð ráða,» sagði hann.
After that they went to sleep, and she locked the door inside.	Síðan gengu þau til svefns og læsti hún þegar loftinu innan og sváfu þau þar um nóttina.
Thus they spent their life all that half-month, and Gunnhillda said to the men who were there -	Þá mælti Gunnhildur við þá menn er þar voru:
"Ye shall lose nothing except your lives if you say to any one a word of how Hrut and I are going on."	«Þér skuluð engu fyrir týna nema lífinu ef þér segið nokkurum frá um hagi vora.»
[When the half-month was over] Hrut gave her a hundred ells of household woollen and twelve rough cloaks, and Gunnhillda thanked him for his gifts.	Hrútur gaf henni hundrað álna hafnarvoðar og tólf vararfeldi. Gunnhildur þakkaði honum gjöfina.
Then Hrut thanked her and gave her a kiss and went away.	Hrútur gekk í braut og minntist við hana áður og þakkaði henni.
She bade him "farewell".	Hún bað hann vel fara.
And next day he went before the king with thirty men after him and bade the king "good-day".	Um daginn eftir gekk Hrútur fyrir konung við þrjá tigu manna og kvaddi konung.
The king said -	Konungur mælti:
"Now, Hrut, thou wilt wish me to carry out towards thee what I promised."	«Nú munt þú vilja að eg efni við þig Hrútur það sem eg hét þér.»
"My mother shall settle that," said the king.	«Móðir mín skal því ráða,» sagði konungur.
Then she got him a seat in the highest room, and he spent the winter with the king in much honour.	Síðan fékk hún honum hinn sæmilegasta sess og var hann með konungi um veturinn vel metinn.
Chapter 4 - Of Hrut's cruise	Kafli 4
When the spring came he asked about Soti, and found out he had gone south to Denmark with the inheritance.	Um vorið spurði hann til Sóta að hann var farinn suður til Danmerkur með erfðina.
Then Hrut went to Gunnhillda and tells her what Soti had been about.	Þá gekk Hrútur á fund Gunnhildar og segir henni frá ferðum Sóta.
Gunnhillda said -	Gunnhildur mælti:
"I will give thee two long-ships, full manned, and along with them the bravest men. Wolf the Unwashed, our overseer of guests;	«Eg mun fá þér tvö langskip skipuð mönnum og þar með hinn hraustasta mann, Úlf óþveginn, gestahöfðingja vorn.
but still go and see the king before thou settest off."	En þó gakk þú að finna konung áður þú farir.»
Hrut did so;	Hrútur gerði svo.
and when he came before the king, then he told the king of Soti's doings, and how he had a mind to hold on after him.	Og er hann kom fyrir konung þá segir hann konungi um ferð Sóta og það með að hann ætlar eftir honum að halda. Konungur mælti:
The king said, "What strength has my mother handed over to thee?"	«Hvern styrk hefir móðir mín til lagið með þér?»
"Well given," says the king.	Konungur mælti: «Vel er þar til fengið.
"Now I will give thee other two ships, and even then thou'lt need all the strength thou'st got."	Nú vil eg fá þér önnur tvö langskip og munt þú þó þurfa þessa liðs alls.»
After that he went down with Hrut to the ship, and said "fare thee well".	Síðan fylgdi hann Hrúti til skips og mælti: «Farist þér nú vel.»
Then Hrut sailed away south with his crews.	Síðan sigldi Hrútur liði sínu suður.
Chapter 5 - Atli Arnvid son's slaying	Kafli 5 Atli hét maður.
He had kept back the taxes from Hacon Athelstane's foster child, and both father and son had fled away from Jemtland to Gothland.	Faðir hans hafði haldið sköttum fyrir Hákoni Aðalsteinsfóstra og stukku þeir feðgar til Gautlands úr Jamtalandi.
After that, Atli held on with his followers out of the Mælar by Stock Sound, and so on towards Denmark, and now he lies out in Öresound.	Atli hélt liðinu úr Leginum út um Stokkssund og svo suður til Danmerkur og liggur úti í Eyrasundi.
He is an outlaw both of the Dane-King and of the Swede-King.	Hann var og útlagi bæði Danakonungs og Svíakonungs af ránum og manndrápum er hann hafði gert í hvorutveggja ríkinu.
Hrut held on south to the Sound, and when he came into it he saw many ships in the Sound.	Hrútur hélt suður til Eyrasunds. Og er hann kom í sundið sér hann fjölda skipa í sundinu.
Then Wolf said -	Þá mælti Úlfur:
"What's best to be done now, Icelander?"	«Hvað skal nú til ráða taka Íslendingur?»
My ship and Auzur's shall go first, but thou shalt lay thy ship where thou likest."	Skal skip okkað Össurar fara fyrst en þú skalt leggja fram sem þér líkar.»
"Seldom have I had others as a shield before me," says Wolf, and lays his galley side by side with Hrut's ship; and so they hold on through the Sound.	«Sjaldan hefi eg haft aðra að skildi fyrir mér,» segir Úlfur. Leggur hann fram skeiðina jafnfram skipi Hrúts og halda svo fram í sundið.
Now those who are in the Sound see that ships are coming up to them, and they tell Atli.	Nú sjá þeir er í sundinu eru að skip fara að þeim og segja Atla til. Hann svaraði:
After that men took their stand on board each ship; "but my ship," says Atli, "shall be in the midst of the fleet".	Skip mitt skal vera í miðjum flotanum.» Síðan greiddu þeir róðurinn á skipum Hrúts.
Meantime Hrut's ships ran on, and as soon as either side could hear the other's hail, Atli stood up and said -	Og þegar er hvorir heyrðu mál annarra stóð Atli upp og mælti:
Hrut tells his name. "Whose man art thou?" says Atli.	«Hvers maður ert þú?» segir Atli.
"One of king Harold Grayfell's body-guard."	«Hirðmaður Haralds konungs gráfeldar,» segir Hrútur.
"Worse luck for thee," says Hrut.	«Ykkur ógæfa er það,» segir Hrútur.
"Well," says Atli, "the upshot of our meeting will be, that thou shalt not be left alive to tell the tale;" and with that he caught up a spear and hurled it at Hrut's ship, and the man who stood before it got his death.	«Svo hefir borið saman fund okkarn,» segir Atli, «að þú skalt eigi kunna frá tíðindum að segja» og þreif upp spjót og skaut á skip Hrúts og hafði sá bana er fyrir varð.
After that the battle began, and they were slow in boarding Hrut's ship.	Síðan tókst orusta með þeim og sóttist þeim seint skip þeirra Hrúts.
Wolf, he went well forward, and with him it was now cut, now thrust.	Úlfur gekk vel fram og gerði ýmist að hann skaut eða lagði.
Atli's bowman's name was Asolf;	Ásólfur hét stafnbúi Atla.
he sprung up on Hrut's ship, and was four men's death before Hrut was ware of him;	Hann hljóp upp á skip Hrúts og varð fjögurra manna bani áður Hrútur varð var við.
then he turned against him, and when they met, Asolf thrust at and through Hrut's shield, but Hrut cut once at Asolf, and that was his death-blow.	Snýr hann þá í mót honum. En er þeir finnast þá leggur Ásólfur í skjöld Hrúts og í gegnum en Hrútur hjó til Ásólfs og varð það banahögg.
Wolf the Unwashed saw that stroke, and called out -	Þetta sá Úlfur óþveginn og mælti:
"Truth to say, Hrut, thou dealest big blows, but thou'st much to thank Gunnhillda for."	«Bæði er nú Hrútur að þú höggur stórt enda átt þú mikið að launa Gunnhildi.»
"Something tells me," says Hrut, "that thou speakest with a 'fey' mouth."	«Þess varir mig,» segir Hrútur, «að þú mælir feigum munni.»
Now Atli sees a bare place for a weapon on Wolf, and shot a spear through him, and now the battle grows hot:	Nú sér Atli beran vopnastað á Úlfi og skaut spjóti í gegnum hann. Síðan varð hin strangasta orusta.
Atli leaps up on Hrut's ship, and clears it fast round about, and now Auzur turns to meet him, and thrust at him, but fell down full length on his back, for another man thrust at him.	Atli hleypur upp á skip að Hrúti og ryðst um fast og nú snýr í mót honum Össur og lagði til hans og féll sjálfur á bak aftur því að annar maður lagði til hans.
Now Hrut turns to meet Atli:	Hrútur sneri nú í mót Atla.
he cut at once at Hrut's shield, and clove it all in two, from top to point;	Atli hjó þegar í skjöld Hrúts og klauf allan niður.
just then Atli got a blow on his hand from a stone, and down fell his sword.	Þá fékk Atli steinshögg á höndina og féll niður sverðið.
Hrut caught up the sword, and cut his foot from under him.	Hrútur tók sverðið og hjó undan Atla fótinn.
After that he dealt him his death-blow.	Síðan veitti hann honum banasár.
There they took much goods, and brought away with them two ships which were best, and stayed there only a little while.	Þar tóku þeir fé mikið og höfðu með sér tvö skip, þau er best voru, og dvöldust þar litla hríð síðan.
"How long meanest thou to be here?"	«Hve lengi ætlar þú hér að vera?»
"Three nights," says Soti.	«Þrjár nætur,» segir Sóti.
"West, to England," says Soti, "and never to come back again to Norway while Gunnhillda's rule is in Norway."	«Vestur til Englands,» segir Sóti, «og koma aldrei til Noregs meðan ríki Gunnhildar er.»
Augmund went away, and goes and finds Gunnhillda, for she was a little way off at a feast, and Gudred, her son, with her.	Ögmundur gekk þá í braut og fer á fund Gunnhildar því að hún var þaðan skammt á veislu og Guðröður sonur hennar.
Augmund told Gunnhillda what Soti meant to do, and she begged Gudred to take his life.	Ögmundur sagði Gunnhildi frá ætlan Sóta. En hún bað þegar Guðröð son sinn fara og taka Sóta af lífi.
So Gudred set off at once, and came unawares on Soti, and made them lead up the country, and hang him there.	Guðröður fór þegar og kom á óvart Sóta og lét leiða hann á land upp og festa þar upp en tók fé allt og færði móður sinni.
But the goods he took, and brought them to his mother, and she got men to carry them all down to the King's Crag, and after that she went thither herself.	Hún fékk til menn að færa allt féið á land upp og austur til Konungahellu og fór sjálf þangað.
Hrut came back towards autumn, and had gotten great store of goods. He went at once to the king, and had a hearty welcome.	Hrútur hélt aftur um haustið og hafði fengið fjár mikils og fór þegar á fund konungs og hafði af honum góðar viðtökur.
He begged them to take whatever they pleased of his goods, and the king took a third.	Hann bauð þeim að hafa slíkt af fénu sem þeir vildu en konungurinn tók af þriðjunginn.
Gunnhillda told Hrut how she had got hold of the inheritance, and had Soti slain.	Gunnhildur segir Hrúti að hún hafði tekið erfðina en látið drepa Sóta.
He thanked her, and gave her half of all he had.	Hann þakkaði henni og gaf henni allt hálft við sig.
Hrut stayed with the king that winter in good cheer, but when spring came he grew very silent.	Hrútur var með konungi um veturinn í góðu yfirlæti. En er voraðist gerist Hrútur hljóður mjög.
Gunnhillda finds that out, and said to him when they two were alone together -	Gunnhildur fann það og talaði til hans er þau voru tvö saman:
"Wilt thou to Iceland?" she asks.	«Vilt þú til Íslands?» segir hún.
"Yes," he answered.	«Það vil eg,» sagði hann.
"Hast thou a wife out there?" she asked; and he answers, "No".	«Átt þú konu nokkura út þar?» segir hún.
"Will thine honour be greater there than here?" asks the king.	«Mun þar þinn sómi meiri en hér?» segir konungur.
"No, it will not," said Hrut; "but every one must win the work that is set before him."	«Eigi mun það vera,» sagði Hrútur, «en það verður hver að vinna er ætlað er.»
"It is pulling a rope against a strong man," said Gunnhillda, "so give him leave to go as best suits him."	Gunnhildur mælti: «Við ramman mun reip að draga og gefið honum gott orlof að hann fari sem honum líkar best.»
There was a bad harvest that year in the land, yet Gunnhillda gave Hrut as much meal as he chose to have;	Þá var ært illa í landi en þó fékk konungurinn honum mjöl sem hann vildi hafa.
and now he busks him to sail out to Iceland, and Auzur with him;	Nú býst hann út til Íslands og Össur með honum.
and when they were all-boun, Hrut went to find the king and Gunnhillda.	Og er þeir voru búnir þá gekk Hrútur að finna konunginn og Gunnhildi.
She led him aside to talk alone, and said to him -	Gunnhildur leiddi hann á eintal og mælti til hans:
"Here is a gold ring which I will give thee;" and with that she clasped it round his wrist.	«Hér er gullhringur er eg vil gefa þér» og spennti á hönd honum.
"Many good gifts have I had from thee," said Hrut.	«Marga gjöf góða hefi eg af þér þegið,» segir Hrútur.
Then she put her hands round his neck and kissed him, and said -	Hún tók höndum um háls honum og kyssti hann og mælti:
"If I have as much power over thee as I think, I lay this spell on thee that thou mayest never have any pleasure in living with that woman on whom thy heart is set in Iceland, but with other women thou mayest get on well enough, and now it is like to go well with neither of us; - but thou hast not believed what I have been saying."	«Ef eg á svo mikið vald á þér sem eg ætla þá legg eg það á við þig að þú megir engri munúð fram koma við þá konu er þú ætlar þér á Íslandi að eiga en fremja skalt þú mega við aðrar konur vilja þinn. Og hefir nú hvortgi okkað vel. Þú trúðir mér eigi til málsins.»
Hrut laughed when he heard that, and went away;	Hrútur hló að og gekk í braut.
after that he came before the king and thanked him;	Síðan fór hann til fundar við konunginn og þakkaði honum hversu höfðinglega hann hafði alla hluti til hans gert.
and the king spoke kindly to him, and bade him "farewell".	Konungurinn bað hann vel fara og kvað Hrút vera hinn röskvasta mann og vel kunna að vera með tignum mönnum.
As soon as the ship was made fest to the land, Hrut rode west home, but Auzur stayed by the ship to unload her, and lay her up.	En þegar er skip var landfast reið Hrútur vestur heim en Össur lét ryðja skipið.
Hrut rode straight to Hauskuldstede, and Hauskuld gave him a hearty welcome, and Hrut told him all about his travels.	Hrútur reið á Höskuldsstaði og tók bróðir hans vel við honum og sagði Hrútur honum allt um ferðir sínar.
After that they sent men east across the rivers to tell Fiddle Mord to make ready for the bridal feast;	Síðan sendi hann mann austur á Rangárvöllu til Marðar gígju að búast við boði.
but the two brothers rode to the ship, and on the way Hauskuld told Hrut how his money matters stood, and his goods had gained much since he was away.	En þeir bræður riðu síðan til skips og sagði Höskuldur Hrúti fjárhagi hans og hafði mikið á aflast síðan Hrútur fór í braut.
Then Hrut said -	Hrútur mælti:
"The reward is less worth than it ought to be, but I will give thee as much meal as thou needst for thy household next winter."	«Minni mun umbun verða bróðir en skyldi en fá vil eg þér mjöl svo sem þú þarft í bú þitt í vetur.»
Then they drew the ship on land on rollers, and made her snug in her shed, but all the wares on board her they carried away into the Dales westward.	Síðan réðu þeir skipinu til hlunns og bjuggu um en færðu varning allan vestur í Dala. Hrútur var heima á Hrútsstöðum til sex vikna.
